in/out/ambiguous,start,end,Transcript
out,FALSE,FALSE,SETH: Excuse me.
out,FALSE,FALSE,ENV: .
out,FALSE,FALSE,LARR: Hey how are you guy?
out,FALSE,FALSE,SETH: Are you Larry?
out,FALSE,FALSE,SETH: Are you Larry?
out,FALSE,FALSE,LARR: Yes.
out,FALSE,FALSE,LARR: How are you.
out,FALSE,FALSE,SETH: Are you
out,FALSE,FALSE,SETH: You're the guy.
out,FALSE,FALSE,LARR: Hunh:?
out,FALSE,FALSE,SETH: You're the guy to talk to then.
out,FALSE,FALSE,LARR: I'm the guy.
out,FALSE,FALSE,LARR: Yeah.
in,TRUE,FALSE,SETH: I didn't know if I had the right place.
in,FALSE,FALSE,LARR: Yeah you got it.
out,FALSE,FALSE,LARR: I just
out,FALSE,FALSE,SETH: What are you doing there.
out,FALSE,FALSE,LARR: You're probably trying t
in,FALSE,FALSE,LARR: Yeah this is strange what's this guy doing.
out,FALSE,FALSE,SETH: .
in,FALSE,TRUE,LARR: I'm putting water in a six gallon container inside my truck.
out,FALSE,FALSE,ENV: .
out,FALSE,FALSE,SETH: Wow.
out,FALSE,FALSE,SETH: That's quite a p
in,TRUE,FALSE,LARR: Cause I had to haul it to a property which doesn't have any water and I have to spray the road.
out,FALSE,FALSE,SETH: Ah:.
in,FALSE,FALSE,LARR: Cause the road before you can drive on it.
out,FALSE,FALSE,SETH: Interesting.
in,FALSE,FALSE,LARR: it needs more uh
in,FALSE,FALSE,LARR: more stability.
out,FALSE,FALSE,LARR: Evidently.
in,FALSE,FALSE,LARR: So give me one second to lock this thing and then xxx.
out,FALSE,FALSE,SETH: Is that to keep the dust keep the dust down?
out,FALSE,FALSE,LARR: well no it's not that so much it's uh.
out,FALSE,FALSE,ENV: .
in,FALSE,FALSE,LARR: they put they put a: uh a type of uh base on it that needs water and.
out,FALSE,FALSE,ENV: .
in,FALSE,FALSE,LARR: that just hasn't happened yet.
out,FALSE,FALSE,SETH: Oh.
out,FALSE,FALSE,LARR: X
out,FALSE,FALSE,SETH: I see.
in,FALSE,FALSE,SETH: So there's some chemical reaction that has to take place.
out,FALSE,FALSE,LARR: Yeah.
in,FALSE,FALSE,LARR: I guess a good a- analogy.
out,FALSE,FALSE,ENV: .
out,FALSE,FALSE,LARR: Chelsea no.
out,FALSE,FALSE,ENV: .
in,FALSE,FALSE,LARR: That should hold it in there.
out,FALSE,FALSE,LARR: Okay.
out,FALSE,FALSE,LARR: Nice to meet you.
out,FALSE,FALSE,SETH: How you doing.
out,FALSE,FALSE,SETH: Good to see you.
out,FALSE,FALSE,LARR: What's your name?
out,FALSE,FALSE,ENV: .
out,FALSE,FALSE,SETH: Seth.
out,FALSE,FALSE,LARR: Seth.
out,FALSE,FALSE,LARR: Okay.
out,FALSE,FALSE,SETH: Here's my card here.
out,FALSE,FALSE,LARR: Thanks Seth.
out,FALSE,FALSE,ENV: .
out,FALSE,FALSE,LARR: I think it's warming up a bit here.
out,FALSE,FALSE,SETH: Is this the house we're looking at?
out,FALSE,FALSE,LARR: I'll take you down in the basement.
out,FALSE,FALSE,SETH: Is the furnace down in the basement?
out,FALSE,FALSE,LARR: What's left of it yeah.
out,FALSE,FALSE,SETH: .
in,FALSE,FALSE,LARR: We had all these
out,FALSE,FALSE,SETH: Is it a ol:d system?
out,FALSE,FALSE,LARR: Yeah.
in,FALSE,FALSE,LARR: We had the asbestos uh all removed from it and and uh.
out,FALSE,FALSE,SETH: Oh really.
in,FALSE,FALSE,LARR: so that's been done.
out,FALSE,FALSE,SETH: I was j
in,FALSE,FALSE,SETH: I was just at a place that does asbestos removal.
out,FALSE,FALSE,LARR: Yeah where.
out,FALSE,FALSE,SETH: Cal
out,FALSE,FALSE,SETH: Cal Tech?
in,FALSE,FALSE,LARR: they're the guys that did it.
out,FALSE,FALSE,SETH: Are they?
out,FALSE,FALSE,SETH: Alright.
out,FALSE,FALSE,LARR: Yeah.
out,FALSE,FALSE,SETH: .
out,FALSE,FALSE,LARR: that's down in Berkeley right?
in,FALSE,FALSE,SETH: No they're
in,FALSE,FALSE,SETH: they've got an office here in Nappa.
out,FALSE,FALSE,LARR: Cal Tech.
out,FALSE,FALSE,LARR: What was the
out,FALSE,FALSE,LARR: No.
out,FALSE,FALSE,LARR: Synergy.
out,FALSE,FALSE,LARR: That's who.
out,FALSE,FALSE,SETH: Synergy.
out,FALSE,FALSE,SETH: Dif- different one.
out,FALSE,FALSE,LARR: ʔI: I'm sorry.
in,FALSE,FALSE,LARR: It's a different outfit.
in,FALSE,FALSE,LARR: I didn't know they had one up here.
out,FALSE,FALSE,SETH: Yeah.
in,FALSE,FALSE,SETH: Though I think they had just recently mo:ved here.
out,FALSE,FALSE,LARR: Unhunh.
in,FALSE,FALSE,SETH: Cause I was wondering t
in,FALSE,FALSE,LARR: So where's the man with the uh camera and the
in,FALSE,FALSE,SETH: Oh I got the
in,FALSE,FALSE,SETH: I got my recorder right here.
out,FALSE,FALSE,LARR: That's pretty clever.
in,FALSE,TRUE,SETH: Yeah my brother is uh teaches linguistics and I guess he's doing this study.
out,FALSE,FALSE,LARR: Oh: okay.
in,TRUE,FALSE,SETH: and they just want business conversations.
out,FALSE,FALSE,LARR: alright.
out,FALSE,FALSE,LARR: Well?
out,FALSE,FALSE,SETH: Wow.
out,FALSE,FALSE,LARR: Here's the animal.
out,FALSE,FALSE,SETH: My: go:sh.
out,FALSE,FALSE,SETH: .
out,FALSE,FALSE,LARR: .
out,FALSE,FALSE,SETH: W:ow.
in,FALSE,TRUE,LARR: They took uh some of it with em obviously.
out,FALSE,FALSE,SETH: Did this used to be
out,FALSE,FALSE,SETH: used to be an old oil
out,FALSE,FALSE,LARR: Yeah.
in,TRUE,FALSE,LARR: I think it was an old.
out,FALSE,FALSE,"""SETH: +, ⌊ fire ⌋ ? ▶"""
out,FALSE,FALSE,LARR: I think it was an old see the oil tank here?
out,FALSE,FALSE,LARR: Isn't that an oil tank?
out,FALSE,FALSE,SETH: Yeah.
out,FALSE,FALSE,LARR: That's what my guess is.
out,FALSE,FALSE,LARR: A:nd uh.
out,FALSE,FALSE,X: .
out,FALSE,FALSE,SETH: Wow.
out,FALSE,FALSE,LARR: do you have a flashlight on you?
out,FALSE,FALSE,SETH: Sure do.
out,FALSE,FALSE,LARR: Yeah.
out,FALSE,FALSE,SETH: So then you get duct work?
out,FALSE,FALSE,SETH: Or is this the flue.
out,FALSE,FALSE,LARR: We:ll yeah.
out,FALSE,FALSE,LARR: ⌈ What they did.
in,FALSE,TRUE,SETH: That's the flue I guess.
in,TRUE,FALSE,LARR: they they ⌉ took the stubs and they cleaned em up.
in,FALSE,TRUE,LARR: So you can tie right into em.
out,FALSE,FALSE,LARR: See?
out,FALSE,FALSE,SETH: Yeah.
in,TRUE,FALSE,SETH: So this used to have asbestos.
out,FALSE,FALSE,SETH: Hunh?
out,FALSE,FALSE,LARR: Yeah.
out,FALSE,FALSE,SETH: Where did all this connect?
out,FALSE,FALSE,SETH: Was there a a plenum on top of here?
out,FALSE,FALSE,LARR: So Yeah.
in,FALSE,TRUE,LARR: There was a bi:g hood that went over the top of this thing with these stack that went this way.
out,FALSE,FALSE,SETH: Okay.
in,TRUE,FALSE,SETH: Yeah like an octopus type.
in,FALSE,TRUE,LARR: and then one that goes back un- underneath there to the
in,TRUE,FALSE,LARR: to the: uh: kitchen there are- there are different
in,FALSE,FALSE,LARR: there are different ones that kinda go all the way up.
in,FALSE,TRUE,SETH: I see one r- there's a rectangular one right there.
out,FALSE,FALSE,LARR: Yeah.
out,FALSE,FALSE,SETH: is that one right there w- that I'm flashing my light on?
out,FALSE,FALSE,LARR: ʔYeah: it might be.
out,FALSE,FALSE,LARR: ʔIt kinda looks like it.
in,TRUE,FALSE,LARR: And then there was
in,FALSE,TRUE,LARR: there's one farther up and then there is this one here.
in,TRUE,FALSE,SETH: So you have one two three: at least two there.
in,FALSE,FALSE,LARR: Three and then there's another one way down.
in,FALSE,FALSE,LARR: I don't know if you can see it or not but it's
in,FALSE,TRUE,LARR: it's up into the kitchen.
out,FALSE,FALSE,SETH: So there's probably three back there?
out,FALSE,FALSE,SETH: and a
out,FALSE,FALSE,SETH: and any over on this side?
in,TRUE,FALSE,LARR: Well no but what- what we
in,FALSE,TRUE,LARR: we want to p- you to kinda give us an idea on a- w- what your thoughts are.
out,FALSE,FALSE,SETH: You wanna add a c
out,FALSE,FALSE,SETH: add a few more?
out,FALSE,FALSE,LARR: Add a couple.
out,FALSE,FALSE,LARR: Yeah.
out,FALSE,FALSE,LARR: Back ee way back there?
out,FALSE,FALSE,LARR: Is that one way back?
out,FALSE,FALSE,LARR: Can't see it.
out,FALSE,FALSE,SETH: xxx get this thing.
out,FALSE,FALSE,LARR: To help
out,FALSE,FALSE,SETH: to a point.
in,TRUE,FALSE,LARR: I don't know what this was looks like they
in,FALSE,TRUE,SETH: That was connected to one of em.
out,FALSE,FALSE,LARR: Yeah.
in,TRUE,FALSE,LARR: They left that here.
in,FALSE,TRUE,SETH: I don't see any back in here but.
in,TRUE,FALSE,LARR: Well there's there's definitely one back there.
in,FALSE,FALSE,LARR: Now there's nothing out here and this is where we feel we we should add one.
in,FALSE,TRUE,LARR: Is this is a gonna be a dining room.
out,FALSE,FALSE,SETH: okay.
out,FALSE,FALSE,LARR: So uh: one for
out,FALSE,FALSE,LARR: one there for sure.
out,FALSE,FALSE,SETH: What abou:t uh: what about above this section of the house.
out,FALSE,FALSE,LARR: Well let me show you that.
in,TRUE,FALSE,LARR: And you can give
in,FALSE,FALSE,LARR: you can give me some idea about that as well.
out,FALSE,FALSE,SETH: Now uh you are on propane?
out,FALSE,FALSE,SETH: out here?
out,FALSE,FALSE,LARR: No.
in,FALSE,TRUE,LARR: This is natural gas.
out,FALSE,FALSE,SETH: Oh really.
out,FALSE,FALSE,LARR: Yeah.
out,FALSE,FALSE,SETH: Oh good.
out,FALSE,FALSE,LARR: Kinda rare.
in,TRUE,FALSE,SETH: That's good because uh the problem with propane is that they wouldn't be able to v
out,FALSE,FALSE,SETH: the co
in,FALSE,FALSE,SETH: the county would probably have a problem with it.
out,FALSE,FALSE,LARR: Yeah.
in,FALSE,FALSE,SETH: Cause they're very concerned about propane.
in,FALSE,FALSE,SETH: But natural gas I can put a
out,FALSE,FALSE,LARR: ⌊ Yeah.
in,FALSE,FALSE,LARR: we were ⌋ real happy to get this place with natural gas.
out,FALSE,FALSE,SETH: Do you want me to remove the old furnace.
out,FALSE,FALSE,LARR: We'll not have to?
out,FALSE,FALSE,SETH: No uh do you want me to remove it.
out,FALSE,FALSE,LARR: Oh yes.
out,FALSE,FALSE,SETH: Okay.
out,FALSE,FALSE,LARR: Yeah.
out,FALSE,FALSE,SETH: .
out,FALSE,FALSE,LARR: No that's
in,FALSE,FALSE,LARR: that would be part of our deal.
out,FALSE,FALSE,LARR: Yeah.
in,FALSE,FALSE,SETH: Well y- the new furnace w- would be much smaller.
in,FALSE,FALSE,SETH: That much I can guarantee you.
out,FALSE,FALSE,LARR: ⌈ Alright.
out,FALSE,FALSE,SETH: ⌊ Do you
out,FALSE,FALSE,LARR: X ⌉
out,FALSE,FALSE,SETH: How many square ⌋ feet is the house.
out,FALSE,FALSE,LARR: Uh: well I guess it's around eight.
out,FALSE,FALSE,LARR: Approximately.
out,FALSE,FALSE,SETH: Okay.
in,FALSE,FALSE,LARR: I have a roof guy coming about this time too so.
out,FALSE,FALSE,SETH: You're doing the roof?
in,FALSE,FALSE,LARR: doorbell rings we know who it is.
out,FALSE,FALSE,SETH: Getting a new roof put on too?
out,FALSE,FALSE,ENV: .
in,FALSE,FALSE,LARR: Well I got some problems with leakage in certain areas and just gotta get it fixed before we get the rain again.
in,FALSE,FALSE,LARR: Alright well let's start in the kitchen.
in,FALSE,FALSE,LARR: Okay this is
in,FALSE,FALSE,LARR: this is one right here.
