in/out/ambiguous,start,end,Transcript
out,FALSE,FALSE,PATR: ʔOw.
out,FALSE,FALSE,CORI: Is he still a virgin?
out,FALSE,FALSE,PATR: Uh.
out,FALSE,FALSE,CORI: Just out of curiosity.
out,FALSE,FALSE,PATR: he bought a hooker.
out,FALSE,FALSE,CORI: .
out,FALSE,FALSE,PATR: But w:as he a virgin when you knew him?
out,FALSE,FALSE,CORI: I meant has he ever had a girl where he didn't have to p:ay her.
out,FALSE,FALSE,PATR: Oh % laugh oh % laugh he got like I told you about the time he got like a blowjob at the lakefront.
out,FALSE,FALSE,CORI: No you didn't.
out,FALSE,FALSE,PATR: Oh no way.
in,TRUE,FALSE,PATR: Um well what happened was I was just ʔuh me and Janine well let me back up here.
in,FALSE,FALSE,PATR: I started hanging out with Janine Janine and I got s:mashed and we like made out at the lakefront.
in,FALSE,FALSE,PATR: I don't need the details.
out,FALSE,FALSE,CORI: By the way I saw the Janine last night.
out,FALSE,FALSE,PATR: Oh cool how's she doing.
out,FALSE,FALSE,CORI: Okay.
in,FALSE,FALSE,PATR: I haven't seen her in half a billion years so um: but anyways we were like making out and stuff at Duncan lakefront so that's what we regularly well not regularly did this like th- two three times something like that.
in,FALSE,FALSE,PATR: So after Victor's after Tom had two women like fighting over who he's gonna go home with he went home with this like uh one other girl like a heavy girl and me and Janine and all of us were walking dow:n the hill.
in,FALSE,FALSE,PATR: You know going dow:n where the pier is?
in,FALSE,FALSE,PATR: Except we were going down that big hill?
in,FALSE,FALSE,PATR: And it's like uh me and Janine were used to walking down that steep grassy part and they went around.
in,FALSE,FALSE,PATR: So we hurried up and went in the grassy part by: the tennis courts.
in,FALSE,FALSE,PATR: It was real dark and you couldn't see us at all after we had gotten to that little plank.
in,FALSE,FALSE,PATR: So we like hurried up to this one spot we always went to we sat and looked around and Tom and them were yelling and screaming for us.
in,FALSE,FALSE,PATR: You know and they started making out like a hundred yar:ds away from us.
in,FALSE,FALSE,PATR: You know but there's trees and they were standing in front of a tree so you couldn't see them and we were sitting by like a tree so you couldn't see us.
in,FALSE,FALSE,PATR: So they were making out and we're sitting there talking and stuff and junk and then it's like all of a sudden we hear and that was just the damnedest noise and a very distinctive noise.
out,FALSE,FALSE,CORI: .
in,FALSE,FALSE,PATR: so I'm like I know they're not doing what I think they're doing and we're looking around the corner I couldn't see anything.
in,FALSE,FALSE,PATR: And then all of a sudden I saw: Tom I don't know took a step back or something and I could see Tom.
in,FALSE,FALSE,PATR: Or something I don't n- know on: this side of the tree and then I saw a head.
in,FALSE,FALSE,PATR: Or a movement lower than what I saw Tom.
in,FALSE,FALSE,PATR: So then the picture became clear that he's getting ʔuh head from this chick he didn't even know.
out,FALSE,FALSE,CORI: .
in,FALSE,FALSE,PATR: And that was kinda cool.
in,FALSE,FALSE,PATR: So I don't know: if he.
out,FALSE,FALSE,CORI: So did he do her or did he just get the blowjob.
out,FALSE,FALSE,PATR: Just the blowjob.
in,FALSE,FALSE,PATR: It's like it was getting late and she had to work in the morning.
out,FALSE,FALSE,CORI: .
in,FALSE,FALSE,PATR: But and that's the first chick I ever saw him with here in the United States otherwise.
in,FALSE,FALSE,PATR: He's only paid for it.
in,FALSE,FALSE,PATR: You know.
out,FALSE,FALSE,CORI: Did he pay for it back home?
out,FALSE,FALSE,CORI: Or.
out,FALSE,FALSE,PATR: Yeah fifty bucks for hookers well it's kind of a good price I mean.
out,FALSE,FALSE,CORI: .
in,FALSE,TRUE,PATR: nowadays here you'd have to like you know pay fifty bucks to go out to dinner and a movie and then: you have to be ʔuh real nice and then maybe just may:be something mi:ght happen i:f she likes you and if the wind's blowing in the right directio:n and just no one tripped over anything earlier in that day and well take fifty bucks go get a hooker and then go out with your friends and have some fun.
out,FALSE,FALSE,CORI: Or you could always go down to: that one strip in Chicago.
out,FALSE,FALSE,PATR: What strip.
out,FALSE,FALSE,CORI: The one over ʔuh ʔuh by Crowbar?
out,FALSE,FALSE,PATR: No?
out,FALSE,FALSE,CORI: It's like by the bridge?
out,FALSE,FALSE,PATR: Okay what what's what ah
out,FALSE,FALSE,CORI: There's like a whole strip.
out,FALSE,FALSE,CORI: That's like that whole strip right there.
out,FALSE,FALSE,CORI: There's all the
out,FALSE,FALSE,CORI: ʔuh the classic type of prostitutes:.
out,FALSE,FALSE,PATR: Really?
out,FALSE,FALSE,CORI: Yeah.
out,FALSE,FALSE,PATR: Hunh.
out,FALSE,FALSE,CORI: It's like if you go in the summertime I m- mean it's just l:ined with em.
out,FALSE,FALSE,PATR: Wow: thanks for telling me.
out,FALSE,FALSE,CORI: Just literally l:ined with it lined with em and it's like all these cars are like pulled over and they're like ʔy
out,FALSE,FALSE,CORI: It's like.
out,FALSE,FALSE,PATR: Wow:.
out,FALSE,FALSE,CORI: It's
in,TRUE,FALSE,CORI: You see all these these hookers and you're going.
out,FALSE,FALSE,PATR: X.
in,FALSE,FALSE,CORI: okay.
out,FALSE,FALSE,PATR: X.
in,FALSE,FALSE,CORI: it was like so
in,FALSE,FALSE,CORI: ʔuh So the one time I went with uh ʔuh John and ʔuh Zeus to Crowbar on Fourth of July and they're they're all lined out there's like maybe probably about a hundred prostitutes walking up and down the street an:d.
out,FALSE,FALSE,PATR: .
in,FALSE,FALSE,CORI: uh: I was like well hey Zeus.
in,FALSE,FALSE,CORI: It was like you need a girlfriend?
out,FALSE,FALSE,CORI: .
out,FALSE,FALSE,PATR: Cool.
in,FALSE,FALSE,CORI: He was like uh n:o?
in,FALSE,FALSE,CORI: S:o and then there was actually there was a pr
in,FALSE,FALSE,CORI: a Russian prostitute in Victor's on Wednesday night.
out,FALSE,FALSE,PATR: Really I didn't see her.
in,FALSE,FALSE,CORI: She was j
in,FALSE,FALSE,CORI: She was like standing right by us.
in,FALSE,FALSE,CORI: ʔAnd it's cause Mary was like oh my God she always dressed like an alien.
in,FALSE,FALSE,CORI: And then she always looks so goofy.
in,FALSE,TRUE,CORI: And.
out,FALSE,FALSE,PATR: No: I had never s
out,FALSE,FALSE,PATR: I didn't see her.
out,FALSE,FALSE,PATR: Where was she.
out,FALSE,FALSE,CORI: Uh she was to my right.
out,FALSE,FALSE,CORI: At the bar?
out,FALSE,FALSE,CORI: And she had these like spandex pa
out,FALSE,FALSE,CORI: I mean she did look like kind of like she had a space outfit on?
out,FALSE,FALSE,CORI: It was like black and it was like the skirt flared out and shit?
out,FALSE,FALSE,CORI: And it was just she kinda looked like a Judy Jetson I mean she looked really goofy.
out,FALSE,FALSE,PATR: No.
out,FALSE,FALSE,PATR: You gotta point her out like Wednesday.
out,FALSE,FALSE,PATR: .
out,FALSE,FALSE,CORI: ʔA:nd I was like oh my Go:d.
out,FALSE,FALSE,CORI: You know?
out,FALSE,FALSE,CORI: So % laugh.
out,FALSE,FALSE,PATR: ʔuh I'll bring some extra money no?
in,TRUE,FALSE,CORI: Um Mary said it was like she's a prostitute she's really weird too.
out,FALSE,FALSE,PATR: Wow:.
out,FALSE,FALSE,PATR: That's kinda cool.
in,FALSE,FALSE,CORI: Yeah so anyway that and then um I'll never forget the one time Rob and I went down to Chica
in,FALSE,FALSE,CORI: I went to visit Rob in Chicago.
in,FALSE,FALSE,CORI: It was a Sunday afternoon it was like probably like three or four in the afternoon.
in,FALSE,FALSE,CORI: We were like let's take a drive around the city.
in,FALSE,FALSE,CORI: You know?
in,FALSE,FALSE,CORI: Just for a Sunday drive.
in,FALSE,FALSE,CORI: So we were driving around in the city and all of a sudden we see the classic hooker.
in,FALSE,FALSE,CORI: She's got the fishnet stockings on obviously she's like a dollar hooker.
out,FALSE,FALSE,PATR: Yeah:.
in,FALSE,FALSE,CORI: trying to get her f
in,FALSE,FALSE,CORI: her afternoon f:ix.
in,FALSE,FALSE,CORI: So that she can go get drugs.
in,FALSE,FALSE,CORI: And she's got her skirt she had a miniskirt on.
in,FALSE,FALSE,CORI: She had her sk- her hand in her s
in,FALSE,FALSE,CORI: She's like exposing her bush a:nd it's like you know using her to:ngue and shit and she's like leaning she's like come here like this to us and we're like uh keep driving.
in,FALSE,FALSE,CORI: We were like oh: that was just nasty.
in,FALSE,FALSE,CORI: She just looked n:asty.
out,FALSE,FALSE,PATR: xxx Wow.
out,FALSE,FALSE,PATR: Well you could've pulled over and said hello.
out,FALSE,FALSE,PATR: No but the only hooker I th:ought I saw okay I think I told you about this.
out,FALSE,FALSE,PATR: When me and Steve Greg and Tom went ʔto: like Chicago?
out,FALSE,FALSE,PATR: Did I tell you about that one day?
out,FALSE,FALSE,CORI: Oh I love that.
out,FALSE,FALSE,CORI: Yeah.
out,FALSE,FALSE,PATR: Xxxx.
in,FALSE,FALSE,CORI: I remember that.
in,FALSE,FALSE,PATR: that hooker
in,FALSE,TRUE,CORI: It was like oh come on guy:s I'm not a carjacker.
out,FALSE,FALSE,CORI: .
in,TRUE,FALSE,PATR: Well yeah but no this hooker was kinda interesting.
in,FALSE,FALSE,PATR: U:m ʔwe were pulling near Crowbar we were looking for
in,FALSE,FALSE,PATR: pulling out uh we saw this hooker.
in,FALSE,FALSE,PATR: Across the street.
in,FALSE,FALSE,PATR: Kinda waving us over.
in,FALSE,FALSE,PATR: A:nd I'm looking at it and everyone's like saying yeah pull over pull over pull over.
in,FALSE,FALSE,PATR: You know and I'm like okay: this is kinda cool uh: s:o: I'm thinking okay just for a joke we should pull over or say something.
in,FALSE,FALSE,PATR: But the:n I looked over to the right.
out,FALSE,FALSE,CORI: .
in,FALSE,FALSE,PATR: and there's this white v:an.
in,FALSE,FALSE,PATR: Clea:n white van in: warehouse district.
in,FALSE,FALSE,PATR: You know s:itting there you know across the street from this hooker.
in,FALSE,FALSE,PATR: And I'm like n:o: I'm not % laugh gonna be on Cops.
in,FALSE,FALSE,PATR: Cause that's what it was.
in,FALSE,FALSE,PATR: And then she eventually like we started drive away and then she started walking towards the white van it's a front % laugh man but that's the only hooker we've seen.
in,FALSE,FALSE,CORI: Oh no this one on that whole
in,FALSE,FALSE,CORI: It was like you know when you go
in,FALSE,FALSE,CORI: When you turn off the freeway by that Blockbuster and you turn left?
out,FALSE,FALSE,PATR: Mhm.
out,FALSE,FALSE,CORI: Okay.
in,FALSE,FALSE,CORI: It's like y
out,FALSE,FALSE,CORI: W
in,FALSE,FALSE,CORI: And you're going straight?
in,FALSE,FALSE,CORI: And you go over that bridge just before you hit the bridge and on: the bridge until you get to that street that you turn on Crowbar it's a:ll lined with hookers in the summertime?
out,FALSE,FALSE,PATR: So why don't they like bust em.
out,FALSE,FALSE,CORI: No there are cops there that bust em.
out,FALSE,FALSE,PATR: They just keep going back though.
out,FALSE,FALSE,CORI: Yeah.
out,FALSE,FALSE,CORI: They just keep going back.
out,FALSE,FALSE,PATR: Wow:.
out,FALSE,FALSE,CORI: It's li:ke now: it's too cold for them but uh otherwise they there's like the whole strip is just the classic type of hookers.
out,FALSE,FALSE,PATR: Thank you for the information.
out,FALSE,FALSE,CORI: You're welcome.
out,FALSE,FALSE,PATR: I'll sure remember that.
out,FALSE,FALSE,PATR: Next time I'm like feeling kinda bored.
out,FALSE,FALSE,CORI: And once it was kind of funny cause uh it was like all these cops are like there.
out,FALSE,FALSE,CORI: You know they're like driving they don't do anything.
out,FALSE,FALSE,PATR: Hm.
out,FALSE,FALSE,CORI: Some of em.
in,FALSE,TRUE,CORI: You know they just keep driving you know or they'll they'll stop and they'll like talk to the girls or whatever and.
out,FALSE,FALSE,PATR: Really cool.
out,FALSE,FALSE,CORI: and shit.
out,FALSE,FALSE,PATR: get lucky on duty xxx.
out,FALSE,FALSE,CORI: Did you hear about that cop in Milwaukee?
out,FALSE,FALSE,PATR: Oh: yeah I loved that.
out,FALSE,FALSE,PATR: I thought it was funny?
out,FALSE,FALSE,PATR: That was h:ilarious that shit with that
out,FALSE,FALSE,PATR: Ah who cares it's not me.
out,FALSE,FALSE,CORI: .
out,FALSE,FALSE,PATR: Dumbass.
in,TRUE,FALSE,PATR: So u:m like what are we doing we:'re gonna grab some movies a:nd.
out,FALSE,FALSE,CORI: Yeah.
out,FALSE,FALSE,CORI: looks like.
in,FALSE,FALSE,PATR: drink cause it's still early.
in,FALSE,TRUE,PATR: Cause you're too sober for me.
out,FALSE,FALSE,CORI: Well do you wanna grab me a beer?
out,FALSE,FALSE,PATR: Guess.
out,FALSE,FALSE,CORI: Please?
out,FALSE,FALSE,PATR: .
out,FALSE,FALSE,CORI: Watch out for the lasagna.
out,FALSE,FALSE,PATR: No I like that we were dying.
out,FALSE,FALSE,CORI: I have
out,FALSE,FALSE,CORI: I have lasagna.
out,FALSE,FALSE,PATR: Did you eat it or should we X
out,FALSE,FALSE,CORI: Or mostaccioli I'm sorry.
out,FALSE,FALSE,PATR: Okay cool I was just about to say: did you want
out,FALSE,FALSE,CORI: We can heat it up.
out,FALSE,FALSE,PATR: Did you wanna get some m:unchies that's what I was gonna say
out,FALSE,FALSE,CORI: I have
out,FALSE,FALSE,CORI: I have pizza too.
out,FALSE,FALSE,PATR: Oh too bad we don't have a_lot_of money I feel like something s:picy like Chinese or.
