in/out/ambiguous,start_human,start_llm,end_human,end_llm,Transcript,story_seg_human,story_seg_llm,intersection,union
out,FALSE,FALSE,FALSE,FALSE,INV1: alright the <last thing we'll (.) &~la &-uh> [//] last big thing we hafta do is [/] (.) is to have you write a letter .,FALSE,FALSE,FALSE,FALSE
out,FALSE,FALSE,FALSE,FALSE,@Comment: Time is 2:31,FALSE,FALSE,FALSE,FALSE
out,FALSE,FALSE,FALSE,FALSE,"@Comment: Dear Sherry , I miss you and Zach. and we went to New york city last week. we went to the Top oF The world Trade center , and a parade and The central park zoo. see you at christmas! Love Chi P.S. we were on the 109th florr arf too Zach",FALSE,FALSE,FALSE,FALSE
out,FALSE,FALSE,FALSE,FALSE,"@Comment: MOT suggests writing to Chi's Aunt Sherry who lives in Wyoming. Zach is Aunt Sherry's dog. Mot and Chi collaborate on what to write , but Mot dictates how it should be written. Mot helps with spelling , which she does very quickly , and punctuation. At times it gets noisy with Bro in the background",FALSE,FALSE,FALSE,FALSE
out,FALSE,FALSE,FALSE,FALSE,INV1: and (.) you can write (.) anybody you want .,FALSE,FALSE,FALSE,FALSE
out,FALSE,FALSE,FALSE,FALSE,INV1: and (.) we'll hafta take it with us but if you want (.) we can bring it back .,FALSE,FALSE,FALSE,FALSE
out,FALSE,FALSE,FALSE,FALSE,INV1: or we can mail it for you .,FALSE,FALSE,FALSE,FALSE
out,FALSE,FALSE,FALSE,FALSE,MOT: oh !,FALSE,FALSE,FALSE,FALSE
out,FALSE,FALSE,FALSE,FALSE,CHI: can you mail it ?,FALSE,FALSE,FALSE,FALSE
out,FALSE,FALSE,FALSE,FALSE,INV1: sure .,FALSE,FALSE,FALSE,FALSE
out,FALSE,FALSE,FALSE,FALSE,MOT: xxx .,FALSE,FALSE,FALSE,FALSE
out,FALSE,FALSE,FALSE,FALSE,MOT: Sherry [?] .,FALSE,FALSE,FALSE,FALSE
out,FALSE,FALSE,FALSE,FALSE,CHI: Sherry .,FALSE,FALSE,FALSE,FALSE
out,FALSE,FALSE,FALSE,FALSE,MOT: www .,FALSE,FALSE,FALSE,FALSE
out,FALSE,FALSE,FALSE,FALSE,BRO: www .,FALSE,FALSE,FALSE,FALSE
in,TRUE,TRUE,TRUE,FALSE,MOT: Sherry's my sister who's in Wyoming .,TRUE,TRUE,TRUE,TRUE
out,FALSE,FALSE,FALSE,FALSE,INV2: oh .,FALSE,TRUE,FALSE,TRUE
out,FALSE,FALSE,FALSE,FALSE,BRO: www .,FALSE,TRUE,FALSE,TRUE
out,FALSE,FALSE,FALSE,FALSE,MOT: xxx fish biologist .,FALSE,TRUE,FALSE,TRUE
out,FALSE,FALSE,FALSE,FALSE,INV1: wow .,FALSE,TRUE,FALSE,TRUE
out,FALSE,FALSE,FALSE,FALSE,CHI: 0 .,FALSE,TRUE,FALSE,TRUE
out,FALSE,FALSE,FALSE,FALSE,CHI: Dear Sherry .,FALSE,TRUE,FALSE,TRUE
