in/out/ambiguous,start_human,start_llm,end_human,end_llm,Transcript,story_seg_human,story_seg_llm,intersection,union
out,FALSE,FALSE,FALSE,FALSE,INV1: oh well this one's pretty exciting .,FALSE,FALSE,FALSE,FALSE
out,FALSE,FALSE,FALSE,FALSE,INV1: this is (.) a letter (.) writing xxx [>] .,FALSE,FALSE,FALSE,FALSE
out,FALSE,FALSE,FALSE,FALSE,CHI: yeah [<] !,FALSE,FALSE,FALSE,FALSE
out,FALSE,FALSE,FALSE,FALSE,CHI: what do I [!] hafta write ?,FALSE,FALSE,FALSE,FALSE
out,FALSE,FALSE,FALSE,FALSE,INV1: well +...,FALSE,FALSE,FALSE,FALSE
out,FALSE,FALSE,FALSE,FALSE,"INV1: +, what you're gonna do (.) is write a letter to whomever you want .",FALSE,FALSE,FALSE,FALSE
out,FALSE,FALSE,FALSE,FALSE,INV1: anybody in the whole wide world .,FALSE,FALSE,FALSE,FALSE
out,FALSE,FALSE,FALSE,FALSE,INV1: &-um (.) and your mom can help you (.) write it .,FALSE,FALSE,FALSE,FALSE
out,FALSE,FALSE,FALSE,FALSE,INV1: or whatever help you need [>] .,FALSE,FALSE,FALSE,FALSE
out,FALSE,FALSE,FALSE,FALSE,CHI: I have [<] to go to xxx .,FALSE,FALSE,FALSE,FALSE
out,FALSE,FALSE,FALSE,FALSE,INV1: okay [>] .,FALSE,FALSE,FALSE,FALSE
out,FALSE,FALSE,FALSE,FALSE,MOT: okay [<] .,FALSE,FALSE,FALSE,FALSE
out,FALSE,FALSE,FALSE,FALSE,INV1: &-um (.) here's a piece of paper .,FALSE,FALSE,FALSE,FALSE
out,FALSE,FALSE,FALSE,FALSE,INV1: <do you wanna> [/] (.) do you wanna use the letter chart ?,FALSE,FALSE,FALSE,FALSE
out,FALSE,FALSE,FALSE,FALSE,CHI: (.) no .,FALSE,FALSE,FALSE,FALSE
out,FALSE,FALSE,FALSE,FALSE,INV1: (.) what would you like to write with ?,FALSE,FALSE,FALSE,FALSE
out,FALSE,FALSE,FALSE,FALSE,INV1: (.) <pencil or pen> [>] ?,FALSE,FALSE,FALSE,FALSE
out,FALSE,FALSE,FALSE,FALSE,MOT: <well you can't> [<] write with me !,FALSE,FALSE,FALSE,FALSE
out,FALSE,FALSE,FALSE,FALSE,INV2: (.) you want a pencil or a pen ?,FALSE,FALSE,FALSE,FALSE
out,FALSE,FALSE,FALSE,FALSE,MOT: www [=! loud intake of breath] xxx .,FALSE,FALSE,FALSE,FALSE
out,FALSE,FALSE,FALSE,FALSE,CHI: oh .,FALSE,FALSE,FALSE,FALSE
out,FALSE,FALSE,FALSE,FALSE,MOT: &=laughs .,FALSE,FALSE,FALSE,FALSE
in,TRUE,TRUE,FALSE,FALSE,SIS: Mom (.) Dusty [>] [= dog] got hit +...,TRUE,TRUE,TRUE,TRUE
out,FALSE,FALSE,FALSE,FALSE,CHI: pencil [<] .,TRUE,TRUE,TRUE,TRUE
in,FALSE,FALSE,TRUE,FALSE,SIS: by a car [>] .,TRUE,TRUE,TRUE,TRUE
out,FALSE,FALSE,FALSE,FALSE,INV1: (o)kay [<] .,FALSE,TRUE,FALSE,TRUE
out,FALSE,FALSE,FALSE,FALSE,MOT: (..) okay (.) <go sit> [>] .,FALSE,TRUE,FALSE,TRUE
out,FALSE,FALSE,FALSE,FALSE,SIS: xxx [<] .,FALSE,TRUE,FALSE,TRUE
out,FALSE,FALSE,FALSE,FALSE,SIS: I wanna watch .,FALSE,TRUE,FALSE,TRUE
out,FALSE,FALSE,FALSE,FALSE,MOT: okay .,FALSE,TRUE,FALSE,TRUE
out,FALSE,FALSE,FALSE,FALSE,MOT: so xxx <gonna write a letter> [>] ?,FALSE,TRUE,FALSE,TRUE
out,FALSE,FALSE,FALSE,FALSE,CHI: <I'm gonna write a letter> [<] to you .,FALSE,TRUE,FALSE,TRUE
out,FALSE,FALSE,FALSE,FALSE,MOT: okay (.) write it .,FALSE,TRUE,FALSE,TRUE
out,FALSE,FALSE,FALSE,FALSE,CHI: okay .,FALSE,TRUE,FALSE,TRUE
out,FALSE,FALSE,FALSE,FALSE,INV1: (.) mhm .,FALSE,TRUE,FALSE,TRUE
out,FALSE,FALSE,FALSE,FALSE,MOT: jittergoofball@f .,FALSE,TRUE,FALSE,TRUE
out,FALSE,FALSE,FALSE,FALSE,CHI: I'm gonna write them all in capital letters .,FALSE,TRUE,FALSE,TRUE
out,FALSE,FALSE,FALSE,FALSE,MOT: oh I [//] that's not how you write a letter .,FALSE,TRUE,FALSE,TRUE
out,FALSE,FALSE,FALSE,FALSE,CHI: I don't care .,FALSE,TRUE,FALSE,TRUE
out,FALSE,FALSE,FALSE,FALSE,MOT: no (.) you do it right .,FALSE,TRUE,FALSE,TRUE
in,TRUE,FALSE,FALSE,FALSE,MOT: (..) it's funny the way you have a pencil with an eraser huh ?,TRUE,TRUE,TRUE,TRUE
in,FALSE,FALSE,TRUE,TRUE,MOT: can't find one around here .,TRUE,TRUE,TRUE,TRUE
out,FALSE,FALSE,FALSE,FALSE,INV1: hm: .,FALSE,FALSE,FALSE,FALSE
out,FALSE,FALSE,FALSE,FALSE,MOT: &=chuckles .,FALSE,FALSE,FALSE,FALSE
out,FALSE,FALSE,FALSE,FALSE,CHI: (.) hey don't look this is for you .,FALSE,FALSE,FALSE,FALSE
out,FALSE,FALSE,FALSE,FALSE,MOT: oh (.) okay (.) <I'm sorry> [>] .,FALSE,FALSE,FALSE,FALSE
out,FALSE,FALSE,FALSE,FALSE,INV1: hm: [<] .,FALSE,FALSE,FALSE,FALSE
out,FALSE,FALSE,FALSE,FALSE,MOT: (.) www .,FALSE,FALSE,FALSE,FALSE
out,FALSE,FALSE,FALSE,FALSE,SIS: www .,FALSE,FALSE,FALSE,FALSE
out,FALSE,FALSE,FALSE,FALSE,MOT: www .,FALSE,FALSE,FALSE,FALSE
out,FALSE,FALSE,FALSE,FALSE,MOT: (.) &=sneezes .,FALSE,FALSE,FALSE,FALSE
out,FALSE,FALSE,FALSE,FALSE,CHI: God <bless you> [>] !,FALSE,FALSE,FALSE,FALSE
out,FALSE,FALSE,FALSE,FALSE,INV1: <bless you> [<] .,FALSE,FALSE,FALSE,FALSE
out,FALSE,FALSE,FALSE,FALSE,MOT: &=sneezes .,FALSE,FALSE,FALSE,FALSE
out,FALSE,FALSE,FALSE,FALSE,INV1: <bless you again> [>] .,FALSE,FALSE,FALSE,FALSE
out,FALSE,FALSE,FALSE,FALSE,MOT: xxx [<] .,FALSE,FALSE,FALSE,FALSE
out,FALSE,FALSE,FALSE,FALSE,MOT: thank you .,FALSE,FALSE,FALSE,FALSE
out,FALSE,FALSE,FALSE,FALSE,CHI: (.) Mama ?,FALSE,FALSE,FALSE,FALSE
out,FALSE,FALSE,FALSE,FALSE,MOT: what ?,FALSE,FALSE,FALSE,FALSE
out,FALSE,FALSE,FALSE,FALSE,CHI: come here .,FALSE,FALSE,FALSE,FALSE
out,FALSE,FALSE,FALSE,FALSE,MOT: huh ?,FALSE,FALSE,FALSE,FALSE
out,FALSE,FALSE,FALSE,FALSE,CHI: how do you spell because@q ?,FALSE,FALSE,FALSE,FALSE
out,FALSE,FALSE,FALSE,FALSE,MOT: beca@k [>] .,FALSE,FALSE,FALSE,FALSE
out,FALSE,FALSE,FALSE,FALSE,CHI: becca@k .,FALSE,FALSE,FALSE,FALSE
out,FALSE,FALSE,FALSE,FALSE,CHI: e@l [>] (.) oops .,FALSE,FALSE,FALSE,FALSE
out,FALSE,FALSE,FALSE,FALSE,MOT: e@l [<] a@l .,FALSE,FALSE,FALSE,FALSE
in,TRUE,TRUE,FALSE,FALSE,CHI: I know you [//] you'll think I'm xxx .,TRUE,TRUE,TRUE,TRUE
in,FALSE,FALSE,FALSE,FALSE,CHI: I write sloppy &=chuckles .,TRUE,TRUE,TRUE,TRUE
in,FALSE,FALSE,FALSE,TRUE,MOT: <yes (.) you do> [>] .,TRUE,TRUE,TRUE,TRUE
out,FALSE,FALSE,FALSE,FALSE,INV1: hm: &=laughs [<] .,TRUE,FALSE,FALSE,TRUE
in,FALSE,TRUE,TRUE,FALSE,MOT: you write like you father &=chuckles .,TRUE,TRUE,TRUE,TRUE
out,FALSE,FALSE,FALSE,FALSE,SIS: <where's Sis> [>] ?,FALSE,TRUE,FALSE,TRUE
out,FALSE,FALSE,FALSE,FALSE,MOT: a@l [!] [<] .,FALSE,TRUE,FALSE,TRUE
out,FALSE,FALSE,FALSE,FALSE,CHI: a@l .,FALSE,TRUE,FALSE,TRUE
out,FALSE,FALSE,FALSE,FALSE,MOT: u@l .,FALSE,TRUE,FALSE,TRUE
out,FALSE,FALSE,FALSE,FALSE,MOT: www .,FALSE,TRUE,FALSE,TRUE
out,FALSE,FALSE,FALSE,FALSE,CHI: a@l (.) u@l .,FALSE,TRUE,FALSE,TRUE
out,FALSE,FALSE,FALSE,FALSE,CHI: I did u@l .,FALSE,TRUE,FALSE,TRUE
out,FALSE,FALSE,FALSE,FALSE,MOT: s@l e@l .,FALSE,TRUE,FALSE,TRUE
out,FALSE,FALSE,FALSE,FALSE,CHI: (.) how do you spell special@q ?,FALSE,TRUE,FALSE,TRUE
out,FALSE,FALSE,FALSE,FALSE,MOT: s@l p@l +...,FALSE,TRUE,FALSE,TRUE
out,FALSE,FALSE,FALSE,FALSE,MOT: is it e@l ?,FALSE,TRUE,FALSE,TRUE
out,FALSE,FALSE,FALSE,FALSE,MOT: it's +//.,FALSE,TRUE,FALSE,TRUE
out,FALSE,FALSE,FALSE,FALSE,MOT: I don't know (.) I forgot &=chuckles .,FALSE,TRUE,FALSE,TRUE
out,FALSE,FALSE,FALSE,FALSE,MOT: s@l p@l e@l a@l (.) c@l i@l l@l .,FALSE,TRUE,FALSE,TRUE
out,FALSE,FALSE,FALSE,FALSE,MOT: right special xxx &=laughs .,FALSE,TRUE,FALSE,TRUE
out,FALSE,FALSE,FALSE,FALSE,MOT: gotta whip out the dictionary sometimes !,FALSE,TRUE,FALSE,TRUE
out,FALSE,FALSE,FALSE,FALSE,INV1: hm: &=laughs .,FALSE,TRUE,FALSE,TRUE
out,FALSE,FALSE,FALSE,FALSE,MOT: www .,FALSE,TRUE,FALSE,TRUE
out,FALSE,FALSE,FALSE,FALSE,SIS: www .,FALSE,TRUE,FALSE,TRUE
in,TRUE,FALSE,FALSE,TRUE,MOT: (.) Jesus Christ you think he (.) doesn't know what he's doing next store .,TRUE,TRUE,TRUE,TRUE
in,FALSE,TRUE,FALSE,FALSE,MOT: he's been working on that door for like three hours &=chuckles +...,TRUE,TRUE,TRUE,TRUE
in,FALSE,FALSE,TRUE,FALSE,"MOT: +, and he still hasn't fixed it .",TRUE,TRUE,TRUE,TRUE
out,FALSE,FALSE,FALSE,FALSE,SIS: www .,FALSE,TRUE,FALSE,TRUE
out,FALSE,FALSE,FALSE,FALSE,SIS2: www .,FALSE,TRUE,FALSE,TRUE
out,FALSE,FALSE,FALSE,FALSE,MOT: www [>] .,FALSE,TRUE,FALSE,TRUE
out,FALSE,FALSE,FALSE,FALSE,CHI: <see my five sentences> [<] !,FALSE,TRUE,FALSE,TRUE
out,FALSE,FALSE,FALSE,FALSE,MOT: I love Mom because she is special .,FALSE,TRUE,FALSE,TRUE
out,FALSE,FALSE,FALSE,FALSE,MOT: oh isn't that nice .,FALSE,TRUE,FALSE,TRUE
out,FALSE,FALSE,FALSE,FALSE,MOT: what are you looking for ?,FALSE,TRUE,FALSE,TRUE
out,FALSE,FALSE,FALSE,FALSE,MOT: huh [>] ?,FALSE,TRUE,FALSE,TRUE
out,FALSE,FALSE,FALSE,FALSE,INV1: &=laughs [<] .,FALSE,TRUE,FALSE,TRUE
