in/out/ambiguous,start,end,Transcript
out,FALSE,FALSE,CHI: look at that !
out,FALSE,FALSE,BRO: look at this .
out,FALSE,FALSE,MOT: yeah .
out,FALSE,FALSE,INV: let's make sure we get <everything out> [>] .
out,FALSE,FALSE,BRO: <what's that> [<] ?
out,FALSE,FALSE,MOT: Chi .
out,FALSE,FALSE,MOT: you hafta leave .
out,FALSE,FALSE,INV: www .
out,FALSE,FALSE,MOT: www .
out,FALSE,FALSE,MOT: will it stand up ?
out,FALSE,FALSE,BRO: xxx .
out,FALSE,FALSE,MOT: Chi ?
out,FALSE,FALSE,CHI: go away .
out,FALSE,FALSE,BRO: no !
out,FALSE,FALSE,CHI: oh a magnet !
out,FALSE,FALSE,BRO: what's that ?
out,FALSE,FALSE,CHI: nothing .
out,FALSE,FALSE,CHI: go away .
out,FALSE,FALSE,INV: www .
out,FALSE,FALSE,CHI: cool !
out,FALSE,FALSE,MOT: xxx .
out,FALSE,FALSE,CHI: can I try ?
out,FALSE,FALSE,BRO: xxx .
out,FALSE,FALSE,CHI: this is awesome !
out,FALSE,FALSE,CHI: better than xxx .
out,FALSE,FALSE,BRO: (.) cool .
out,FALSE,FALSE,MOT: are you gonna take (th)em all off ?
out,FALSE,FALSE,CHI: yeah .
in,TRUE,FALSE,CHI: I'm gonna try and get every single one .
in,FALSE,FALSE,CHI: get (th)em [= objects] all +...
in,FALSE,TRUE,CHI: xxx away from the magnet [//] magnets .
out,FALSE,FALSE,MOT: www .
out,FALSE,FALSE,BRO: www .
out,FALSE,FALSE,CHI: put (th)em all over here .
out,FALSE,FALSE,MOT: hm: .
out,FALSE,FALSE,BRO: mommy !
out,FALSE,FALSE,BRO: yeah .
in,TRUE,FALSE,BRO: Haley has bad things .
in,FALSE,TRUE,BRO: and she has all the magnets .
in,TRUE,FALSE,BRO: and then all xxx .
out,FALSE,FALSE,MOT: xxx .
out,FALSE,FALSE,INV: www .
out,FALSE,FALSE,CHI: come on Bro .
out,FALSE,FALSE,MOT: xxx you've seen it already .
out,FALSE,FALSE,MOT: xxx ?
out,FALSE,FALSE,BRO: xxx .
out,FALSE,FALSE,MOT: okay alright ?
out,FALSE,FALSE,MOT: what are you gonna do ?
out,FALSE,FALSE,MOT: are you gonna pick (th)em [= objects] all up with that ?
out,FALSE,FALSE,CHI: yeah .
out,FALSE,FALSE,CHI: oh !
out,FALSE,FALSE,CHI: yeah .
out,FALSE,FALSE,CHI: it's [= referent unclear] hard .
out,FALSE,FALSE,MOT: (.) where's the little people ?
out,FALSE,FALSE,MOT: I wanna see the little people .
out,FALSE,FALSE,MOT: can I see these [= silver men] ?
out,FALSE,FALSE,MOT: look Chi .
out,FALSE,FALSE,MOT: they [= silver men] willn't stand up .
out,FALSE,FALSE,MOT: watch .
out,FALSE,FALSE,MOT: (..) look Chi .
out,FALSE,FALSE,MOT: these are the olympics .
out,FALSE,FALSE,MOT: jump over the pole .
out,FALSE,FALSE,CHI: &=laughs [>] .
out,FALSE,FALSE,MOT: &=laughs [<] .
out,FALSE,FALSE,MOT: look Chi .
in,FALSE,TRUE,MOT: he's [= silver man] gonna go bowling .
out,FALSE,FALSE,MOT: &=laughs .
in,TRUE,FALSE,CHI: that [= silver ball] was stuck in his hand ?
out,FALSE,FALSE,MOT: yeah .
in,FALSE,FALSE,MOT: did you see it [= silver man and ball] ?
in,FALSE,FALSE,CHI: look at (h)im [= silver man] !
in,FALSE,FALSE,MOT: he's [= silver man] gonna go bowling [>] .
out,FALSE,FALSE,CHI: ready [<] .
out,FALSE,FALSE,MOT: +^ look .
out,FALSE,FALSE,MOT: oh .
in,FALSE,FALSE,MOT: it [= silver man] fell .
out,FALSE,FALSE,CHI: knock the pin [= blue arrow magnet] down .
out,FALSE,FALSE,MOT: (.) oh .
out,FALSE,FALSE,CHI: <wish I> [//] I wish I had xxx .
out,FALSE,FALSE,MOT: how did I get it [= silver ball] on there [= silver man] before ?
out,FALSE,FALSE,CHI: watch .
out,FALSE,FALSE,CHI: let me try .
in,FALSE,FALSE,CHI: he's [= silver man] gonna bowl with his feet .
in,FALSE,FALSE,MOT: I had it [= silver ball] on his [= silver man] hand .
out,FALSE,FALSE,CHI: &=vocalization .
out,FALSE,FALSE,CHI: <I know> [/] I know how you do that .
out,FALSE,FALSE,MOT: try the other side .
out,FALSE,FALSE,MOT: there it is .
out,FALSE,FALSE,CHI: oh !
out,FALSE,FALSE,CHI: &~s (be)tween his legs .
out,FALSE,FALSE,MOT: hold on xxx .
