in/out/ambiguous,start,end,Transcript
out,FALSE,FALSE,INV2: we wanted to you if you and your Mom could write a letter together .
out,FALSE,FALSE,@Comment: Time is 8:57
out,FALSE,FALSE,"@Comment: Daer Uncle David , I hope you feel good. Will I see you soon? love Chi"
out,FALSE,FALSE,@Comment: Chi decides to write to his uncle although he refers to him as the guy in the hospital. Mot dictates the rest of the letter word for word. Spelling <Uncle David> takes a really long time but the letter goes more quickly after that. Bro is extremely distracting by interrupting constantly and criticizing Chi's work
out,FALSE,FALSE,CHI: uhoh .
out,FALSE,FALSE,MOT: you can write it yourself Chi .
out,FALSE,FALSE,BRO: xxx [>] .
in,TRUE,FALSE,MOT: <I'll just help you if you need help> [<] [>] .
in,FALSE,FALSE,CHI: <I can do it> [<] .
out,FALSE,FALSE,CHI: what is the letter gonna [?] be about ?
out,FALSE,FALSE,MOT: who do you wanna write to ?
out,FALSE,FALSE,CHI: xxx .
out,FALSE,FALSE,CHI: &=sighs .
in,FALSE,TRUE,MOT: think of somebody far away .
in,TRUE,FALSE,MOT: or somebody close .
in,FALSE,TRUE,MOT: you can write to a friend in school .
out,FALSE,FALSE,CHI: (.) &=sniffles .
out,FALSE,FALSE,MOT: you don't know who to write to ?
out,FALSE,FALSE,BRO: Chi xxx .
out,FALSE,FALSE,MOT: who do you wanna write to ?
out,FALSE,FALSE,CHI: I don't know .
out,FALSE,FALSE,BRO: <Grandma and Grandpa> [>] !
in,TRUE,FALSE,CHI: <oh (.) <I got> [/] I got> [<] the guy in the hospital .
in,FALSE,TRUE,MOT: you want (.) Uncle David ?
out,FALSE,FALSE,CHI: yeah .
out,FALSE,FALSE,MOT: okay .
out,FALSE,FALSE,BRO: <Uncle David> [=! whispering] .
out,FALSE,FALSE,CHI: okay what is it gotta be about ?
out,FALSE,FALSE,MOT: well how do you wanna start it ?
out,FALSE,FALSE,CHI: I dunno [: don't know] .
in,TRUE,FALSE,MOT: wanna say dear Uncle David or <hi Uncle> [>] David ?
out,FALSE,FALSE,CHI: okay [<] .
in,FALSE,TRUE,CHI: <I'm not> [>] (.) in front of his face .
out,FALSE,FALSE,BRO: d@l [<] .
out,FALSE,FALSE,MOT: do you write dear@q .
out,FALSE,FALSE,CHI: okay .
out,FALSE,FALSE,CHI: d@l .
out,FALSE,FALSE,BRO: a@l .
out,FALSE,FALSE,CHI: shut up .
out,FALSE,FALSE,CHI: will you be quiet ?
out,FALSE,FALSE,MOT: what's that ?
out,FALSE,FALSE,MOT: okay .
