in/out/ambiguous,start,end,Transcript
out,FALSE,FALSE,INV1: alright the <last thing we'll (.) &~la &-uh> [//] last big thing we hafta do is [/] (.) is to have you write a letter .
out,FALSE,FALSE,@Comment: Time is 2:31
out,FALSE,FALSE,"@Comment: Dear Sherry , I miss you and Zach. and we went to New york city last week. we went to the Top oF The world Trade center , and a parade and The central park zoo. see you at christmas! Love Chi P.S. we were on the 109th florr arf too Zach"
out,FALSE,FALSE,"@Comment: MOT suggests writing to Chi's Aunt Sherry who lives in Wyoming. Zach is Aunt Sherry's dog. Mot and Chi collaborate on what to write , but Mot dictates how it should be written. Mot helps with spelling , which she does very quickly , and punctuation. At times it gets noisy with Bro in the background"
out,FALSE,FALSE,INV1: and (.) you can write (.) anybody you want .
out,FALSE,FALSE,INV1: and (.) we'll hafta take it with us but if you want (.) we can bring it back .
out,FALSE,FALSE,INV1: or we can mail it for you .
out,FALSE,FALSE,MOT: oh !
out,FALSE,FALSE,CHI: can you mail it ?
out,FALSE,FALSE,INV1: sure .
out,FALSE,FALSE,MOT: xxx .
out,FALSE,FALSE,MOT: Sherry [?] .
out,FALSE,FALSE,CHI: Sherry .
out,FALSE,FALSE,MOT: www .
out,FALSE,FALSE,BRO: www .
in,TRUE,FALSE,MOT: Sherry's my sister who's in Wyoming .
out,FALSE,FALSE,INV2: oh .
out,FALSE,FALSE,BRO: www .
out,FALSE,FALSE,MOT: xxx fish biologist .
out,FALSE,FALSE,INV1: wow .
out,FALSE,FALSE,CHI: 0 .
out,FALSE,FALSE,CHI: Dear Sherry .
out,FALSE,FALSE,INV1: did she just move out there or +...
out,FALSE,FALSE,MOT: ++ in April .
out,FALSE,FALSE,CHI: how do you spell word@q ?
out,FALSE,FALSE,MOT: xxx spelling .
out,FALSE,FALSE,CHI: r@l .
out,FALSE,FALSE,MOT: mhm .
out,FALSE,FALSE,CHI: do you know how to spell Sherry@q ?
out,FALSE,FALSE,MOT: capital s@l .
out,FALSE,FALSE,MOT: h@l .
out,FALSE,FALSE,MOT: e@l .
out,FALSE,FALSE,MOT: r@l .
out,FALSE,FALSE,BRO: the pumpkin !
out,FALSE,FALSE,MOT: r@l .
out,FALSE,FALSE,CHI: r@l r@l ?
out,FALSE,FALSE,MOT: y@l .
