in/out/ambiguous,start,end,Transcript
out,FALSE,FALSE,CHI: Gillian (.) look it .
out,FALSE,FALSE,GIL: &=laughs .
in,TRUE,FALSE,CHI: I used it with this .
in,FALSE,FALSE,CHI: I used it with this thing .
out,FALSE,FALSE,GIL: that's funny .
out,FALSE,FALSE,CHI: see .
out,FALSE,FALSE,GIL: oh .
out,FALSE,FALSE,CHI: and (.) this one .
out,FALSE,FALSE,GIL: Colleen .
out,FALSE,FALSE,CHI: what ?
out,FALSE,FALSE,CHI: what's in that ?
in,FALSE,TRUE,CHI: Is that a desk or what ?
in,TRUE,FALSE,GIL: I don't know what it is .
out,FALSE,FALSE,CHI: (o)kay .
out,FALSE,FALSE,CHI: what's it called ?
out,FALSE,FALSE,GIL: I don't know .
out,FALSE,FALSE,CHI: Sulvanian f [/] family ?
out,FALSE,FALSE,GIL: I forget !
out,FALSE,FALSE,CHI: yes !
out,FALSE,FALSE,CHI: family .
out,FALSE,FALSE,CHI: 0 [=! babbles] .
in,FALSE,FALSE,CHI: how ever you pronounce it .
out,FALSE,FALSE,GIL: dadoo@wp .
out,FALSE,FALSE,CHI: mush it (.) mush it .
out,FALSE,FALSE,CHI: what is that ?
out,FALSE,FALSE,GIL: an oven .
out,FALSE,FALSE,CHI: that's neat .
in,FALSE,TRUE,GIL: do these two open ?
out,FALSE,FALSE,CHI: that's xxx .
in,TRUE,FALSE,GIL: I can't get these open .
out,FALSE,FALSE,CHI: okay .
out,FALSE,FALSE,INV: Remember girls you just feel free to speak up loudly in a normal voice .
out,FALSE,FALSE,"INV: (.) a good loud , normal voice okay when your talking to each_other ."
out,FALSE,FALSE,CHI: okay .
out,FALSE,FALSE,CHI: xxx .
out,FALSE,FALSE,GIL: 0 [=! giggles] .
out,FALSE,FALSE,CHI: what's this ?
out,FALSE,FALSE,GIL: one drawer two three +/.
in,FALSE,TRUE,CHI: oh look it Gillian (.) books !
out,FALSE,FALSE,GIL: four .
out,FALSE,FALSE,CHI: 0 [=! giggles] .
out,FALSE,FALSE,CHI: books (.) books .
out,FALSE,FALSE,GIL: 0 .
out,FALSE,FALSE,CHI: what ?
in,TRUE,FALSE,GIL: I took out the drawers .
out,FALSE,FALSE,CHI: oh .
out,FALSE,FALSE,GIL: 0 [=! giggles] .
out,FALSE,FALSE,CHI: xxx .
out,FALSE,FALSE,CHI: there .
in,FALSE,FALSE,GIL: these doors won't open .
out,FALSE,FALSE,CHI: what ?
in,FALSE,FALSE,GIL: these doors won't open .
out,FALSE,FALSE,CHI: okay .
out,FALSE,FALSE,CHI: sounds perfect .
in,FALSE,TRUE,GIL: this is neat !
out,FALSE,FALSE,GIL: there .
in,TRUE,FALSE,GIL: here's (.) sister bear .
in,FALSE,FALSE,GIL: here's sister bear .
out,FALSE,FALSE,CHI: let's see .
out,FALSE,FALSE,CHI: sissie bear .
in,FALSE,TRUE,GIL: here's <brother bear> [>] .
out,FALSE,FALSE,CHI: <here's brother> [<] bear .
in,TRUE,FALSE,CHI: I call them Sissy and Brother .
in,FALSE,TRUE,CHI: sure (.) they stand .
in,TRUE,FALSE,CHI: this stuff ain't working .
out,FALSE,FALSE,GIL: ah .
in,FALSE,TRUE,GIL: there mom was making them new clothes .
out,FALSE,FALSE,CHI: pardon ?
in,TRUE,FALSE,GIL: there Mom was making them new clothes .
in,FALSE,TRUE,CHI: okay (.) put all the books in .
in,TRUE,FALSE,GIL: I'm putting them in different places .
out,FALSE,FALSE,CHI: okay .
in,FALSE,FALSE,CHI: this seems like fun .
out,FALSE,FALSE,CHI: ah .
in,FALSE,FALSE,CHI: my finger's getting caught Gillian .
out,FALSE,FALSE,CHI: Gillian .
in,FALSE,TRUE,CHI: I like the Sulvanian family that woman put out .
out,FALSE,FALSE,GIL: Suranian .
out,FALSE,FALSE,CHI: Suranian .
out,FALSE,FALSE,GIL: see (.) Colleen .
out,FALSE,FALSE,CHI: 0 [=! giggles] .
in,TRUE,FALSE,CHI: the books do go in that .
out,FALSE,FALSE,CHI: ah .
out,FALSE,FALSE,CHI: (.) ah .
in,FALSE,TRUE,GIL: that's cute !
out,FALSE,FALSE,CHI: what ?
out,FALSE,FALSE,CHI: Gillian !
out,FALSE,FALSE,GIL: 0 [=! giggles] .
out,FALSE,FALSE,CHI: look at this .
out,FALSE,FALSE,CHI: 0 [=! giggles] .
out,FALSE,FALSE,GIL: look it .
in,TRUE,FALSE,GIL: there's pictures in here .
out,FALSE,FALSE,CHI: let's see .
out,FALSE,FALSE,CHI: okay .
in,FALSE,FALSE,GIL: this <is a house> [>] .
in,FALSE,FALSE,CHI: <there's also> [<] a mirror .
in,FALSE,FALSE,GIL: I'm gonna start the house .
in,FALSE,FALSE,GIL: there's the kitchen .
out,FALSE,FALSE,GIL: c(o)me on in .
out,FALSE,FALSE,GIL: knock knock .
out,FALSE,FALSE,CHI: oh .
out,FALSE,FALSE,GIL: xxx .
out,FALSE,FALSE,CHI: 0 [=! giggles] .
out,FALSE,FALSE,GIL: xxx .
in,FALSE,TRUE,CHI: how can you get the playdough out ?
out,FALSE,FALSE,INV: well you figure it out yourself (.) figure it out .
out,FALSE,FALSE,CHI: okay .
out,FALSE,FALSE,GIL: here I know .
out,FALSE,FALSE,GIL: I know how .
out,FALSE,FALSE,CHI: how ?
out,FALSE,FALSE,GIL: easy .
out,FALSE,FALSE,GIL: it's easy .
out,FALSE,FALSE,CHI: okay .
in,TRUE,FALSE,CHI: then <what dya [: do you]> [/] then what do you do ?
in,FALSE,TRUE,CHI: I know you press this down .
in,TRUE,FALSE,GIL: here I'll get it in .
out,FALSE,FALSE,CHI: one half of it (.) another .
in,FALSE,TRUE,CHI: your thumb can't go that far .
out,FALSE,FALSE,CHI: then you put +...
out,FALSE,FALSE,CHI: then you do this .
in,TRUE,FALSE,CHI: (un)til you get every single piece of playdough out .
in,FALSE,FALSE,CHI: look at this (.) playdough .
out,FALSE,FALSE,GIL: why don't you use that ?
out,FALSE,FALSE,CHI: I will .
out,FALSE,FALSE,CHI: what's this for ?
out,FALSE,FALSE,CHI: there .
out,FALSE,FALSE,CHI: okay .
out,FALSE,FALSE,CHI: there !
out,FALSE,FALSE,GIL: okay_oaky_okay@wp .
out,FALSE,FALSE,CHI: what ?
in,FALSE,FALSE,GIL: I think that's enough playdough .
in,FALSE,FALSE,CHI: is that all the playdough ?
out,FALSE,FALSE,GIL: no .
out,FALSE,FALSE,CHI: oh gosh !
out,FALSE,FALSE,GIL: &=laughs .
out,FALSE,FALSE,CHI: &=laughs .
in,FALSE,TRUE,CHI: sure it falls right into the (.) truck box (.) whatever it's called .
out,FALSE,FALSE,GIL: people box .
out,FALSE,FALSE,CHI: people box .
in,TRUE,FALSE,GIL: look at all this furniture (.) to the Surainian family .
out,FALSE,FALSE,CHI: <smash@o> [<] .
out,FALSE,FALSE,CHI: what ?
in,FALSE,FALSE,GIL: look at all the furniture to the Surainian family they [>] must be lucky .
out,FALSE,FALSE,CHI: oh [<] .
in,FALSE,FALSE,GIL: they're lucky .
out,FALSE,FALSE,CHI: I know !
in,FALSE,FALSE,CHI: look at the house they got .
out,FALSE,FALSE,GIL: good .
out,FALSE,FALSE,GIL: xxx [>] .
out,FALSE,FALSE,CHI: <where's that thing> [<] gone to ?
out,FALSE,FALSE,GIL: what ?
out,FALSE,FALSE,CHI: &-uh ?
out,FALSE,FALSE,CHI: oof !
out,FALSE,FALSE,CHI: there it is .
out,FALSE,FALSE,GIL: &~aw !
in,FALSE,TRUE,GIL: good xxx great taste at McDonald's .
out,FALSE,FALSE,CHI: whoa !
out,FALSE,FALSE,CHI: whoa !
out,FALSE,FALSE,CHI: Gillian look at .
out,FALSE,FALSE,GIL: xxx .
in,TRUE,FALSE,GIL: the kitchen's <gonna be upstairs> [>] .
in,FALSE,TRUE,CHI: <we've gotta play> [<] xxx .
out,FALSE,FALSE,CHI: what ?
in,TRUE,FALSE,GIL: the kitchen's gonna be upstairs .
out,FALSE,FALSE,CHI: what's this ?
out,FALSE,FALSE,CHI: eee .
in,FALSE,TRUE,CHI: use this as a ladder to get up there .
in,TRUE,FALSE,CHI: unless they hadta get up on the roof .
in,FALSE,TRUE,CHI: and yell cock_a_doodle_doo .
out,FALSE,FALSE,GIL: cock_a_doodle_doo .
in,TRUE,FALSE,CHI: I hope you know we're being taped .
out,FALSE,FALSE,GIL: I know (.) I know .
out,FALSE,FALSE,CHI: what ?
out,FALSE,FALSE,GIL: who cares ?
out,FALSE,FALSE,CHI: who cares ?
in,FALSE,TRUE,CHI: what are you putting them in (.) the sink ?
out,FALSE,FALSE,GIL: nope .
in,TRUE,FALSE,GIL: the sink's in the house .
out,FALSE,FALSE,CHI: okay .
in,FALSE,TRUE,CHI: then what are you putting them in (.) the <book shelf> [>] .
out,FALSE,FALSE,GIL: <the cupboard> [<] .
in,TRUE,FALSE,CHI: sew this back up .
out,FALSE,FALSE,GIL: Salvania (.) that's what .
in,FALSE,TRUE,CHI: I want that stuff .
out,FALSE,FALSE,CHI: Gillian .
out,FALSE,FALSE,GIL: oh .
out,FALSE,FALSE,GIL: xxx .
out,FALSE,FALSE,CHI: cut out .
out,FALSE,FALSE,CHI: oo: .
out,FALSE,FALSE,GIL: xxx .
out,FALSE,FALSE,CHI: look it .
in,TRUE,FALSE,CHI: do ya know Tammy ?
in,FALSE,FALSE,GIL: who's Tammy (.) whose Tammy ?
in,FALSE,FALSE,CHI: Tammy Lynn Sheppard .
in,FALSE,FALSE,GIL: no I don't .
in,FALSE,TRUE,CHI: oh you don't hafta step on my hand .
in,TRUE,FALSE,GIL: I didn't .
out,FALSE,FALSE,GIL: 0 [=! sings] .
out,FALSE,FALSE,CHI: o:w .
out,FALSE,FALSE,CHI: that there .
out,FALSE,FALSE,CHI: okay (.) good .
in,FALSE,TRUE,CHI: this is the only one that I <hadta> [//] didn't hafta pull out like that .
in,TRUE,FALSE,GIL: I wanna try this [= plunger] .
out,FALSE,FALSE,CHI: ah ho !
out,FALSE,FALSE,CHI: (.) the big (.) blob .
in,FALSE,FALSE,GIL: do you know what it is ?
in,FALSE,TRUE,CHI: yeah (.) it's playdough .
out,FALSE,FALSE,GIL: xxx .
out,FALSE,FALSE,CHI: oh yeah .
in,TRUE,FALSE,CHI: I thought you meant what this was .
in,FALSE,TRUE,CHI: do [//] can we wash our hands after we play with playdough ?
out,FALSE,FALSE,CHI: good !
out,FALSE,FALSE,CHI: ah !
in,TRUE,FALSE,CHI: Gillian get ready .
in,FALSE,TRUE,CHI: get this great playdough out_of the away .
out,FALSE,FALSE,CHI: real nice Gillian (.) real nice !
out,FALSE,FALSE,GIL: &=laughs .
in,TRUE,FALSE,CHI: I only got goobered@c by a baby last night .
in,FALSE,FALSE,CHI: I don't wanna get goobered@c again .
out,FALSE,FALSE,GIL: where's that thingie ?
out,FALSE,FALSE,GIL: how did you do that ?
out,FALSE,FALSE,CHI: simple .
out,FALSE,FALSE,CHI: see ?
out,FALSE,FALSE,GIL: get those .
out,FALSE,FALSE,CHI: see ?
in,FALSE,TRUE,GIL: I mean (.) I wanted to use this [= plunger] and get it through .
out,FALSE,FALSE,GIL: how did ya get it through ?
in,TRUE,FALSE,GIL: xxx get it through (.) the other way .
