in/out/ambiguous,start,end,Transcript
out,FALSE,FALSE,INV: okay .
out,FALSE,FALSE,INV: okay .
out,FALSE,FALSE,INV: I've read your book .
out,FALSE,FALSE,INV: I think it is fun to read .
out,FALSE,FALSE,INV: the caterpillar eats too much .
out,FALSE,FALSE,INV: the butterfly is colorful .
out,FALSE,FALSE,"INV: from , Chi ."
out,FALSE,FALSE,INV: well .
out,FALSE,FALSE,INV: your mom has (.) this book that you've seen before .
out,FALSE,FALSE,INV: +^ like what you said you've read a million times .
out,FALSE,FALSE,INV: &-um and what we'd like &-um (.) you to do is to write a letter (.) to Eric Carle (.) who is the author .
out,FALSE,FALSE,INV: see there (.) his name ?
out,FALSE,FALSE,INV: &-um <and you can say> [//] it's your letter so you can say basically anything you wanna him .
out,FALSE,FALSE,INV: &-um and if you need you can look over the [/] the book again .
out,FALSE,FALSE,INV: &-um xxx (.) I presume (.) you'd like to write with a pencil .
out,FALSE,FALSE,INV: &=chuckles .
out,FALSE,FALSE,INV: so here's a pencil and here's some paper we made .
in,TRUE,FALSE,CHI: you gonna send it to him ?
out,FALSE,FALSE,INV: yeah !
in,FALSE,FALSE,CHI: good .
out,FALSE,FALSE,INV: he lives in Massachusetts .
out,FALSE,FALSE,INV: <so> [>] +...
in,FALSE,TRUE,MOT: see [<] here's a picture of (h)im .
in,TRUE,FALSE,MOT: he lives in Massachusetts .
in,FALSE,FALSE,MOT: so write something nice .
in,FALSE,TRUE,CHI: where do I write my name ?
in,TRUE,FALSE,MOT: you [//] it's a letter so you wanna like put the date ?
out,FALSE,FALSE,CHI: +^ oh yeah .
out,FALSE,FALSE,INV: &=laughs .
out,FALSE,FALSE,MOT: oh wait a minute .
out,FALSE,FALSE,MOT: +^ the [//] is [//] oh yeah .
out,FALSE,FALSE,MOT: +^ it doesn't matter .
out,FALSE,FALSE,MOT: +^ no .
in,FALSE,FALSE,MOT: it does matter (be)cause you put your sincerely Chi down here .
in,FALSE,FALSE,MOT: so you wanna start the paper off like this [= right side up] .
in,FALSE,FALSE,CHI: today's the twenty second ?
out,FALSE,FALSE,INV: &-uh .
in,FALSE,FALSE,CHI: or twenty third ?
out,FALSE,FALSE,INV: twenty third .
in,FALSE,FALSE,MOT: twenty third .
in,FALSE,FALSE,MOT: (..) <what're you doing> [=! laughing] ?
in,FALSE,TRUE,CHI: nineteen ninety four .
in,TRUE,FALSE,MOT: what_about nineteen ninety four you kook@c ?
out,FALSE,FALSE,CHI: &-uh (.) January first !
in,FALSE,FALSE,"MOT: wouldn't you put January twenty third , nineteen ninety four ?"
in,FALSE,TRUE,MOT: and it should go over here besides [>] .
in,TRUE,FALSE,BRO: Mom .
in,FALSE,FALSE,CHI: nope .
out,FALSE,FALSE,BRO: www .
in,FALSE,TRUE,MOT: we live in a divorced family now .
in,TRUE,FALSE,MOT: we didn't useta .
out,FALSE,FALSE,INV: right .
out,FALSE,FALSE,MOT: what is this ?
out,FALSE,FALSE,MOT: that's a big mess .
out,FALSE,FALSE,CHI: oh yeah .
out,FALSE,FALSE,CHI: it is .
out,FALSE,FALSE,MOT: &=laughs .
in,FALSE,TRUE,CHI: <that's what my &~tea> [//] that's what my last year's teacher taught me .
out,FALSE,FALSE,MOT: those j@l-s ?
in,TRUE,FALSE,MOT: no there's nothin(g) wrong with the j@l but after yyy yyy there's no a@l r@l y@l .
out,FALSE,FALSE,CHI: oh !
out,FALSE,FALSE,INV: <oh> [>] .
out,FALSE,FALSE,MOT: <you hafta make that right> [>] .
out,FALSE,FALSE,CHI: oh .
out,FALSE,FALSE,MOT: u@l a@l .
out,FALSE,FALSE,MOT: a@l r@l y@l .
in,FALSE,FALSE,MOT: there you go [>] .
in,FALSE,TRUE,CHI: <can we> [<] rent the game ?
in,TRUE,FALSE,CHI: after .
in,FALSE,TRUE,MOT: no I don't think so .
in,TRUE,FALSE,MOT: erase that a little bit better (be)cause it looks sloppy .
in,FALSE,TRUE,MOT: (..) we're gonna go to the autobahn@s:deu today because +...
in,TRUE,FALSE,MOT: +^ was it in art class ?
out,FALSE,FALSE,MOT: (..) in [>] +/.
in,FALSE,TRUE,CHI: I'm [<] not going there !
in,TRUE,FALSE,CHI: I hated it .
out,FALSE,FALSE,MOT: alright .
in,FALSE,FALSE,MOT: +^ I <don't wanna> [>] talk about it .
in,FALSE,FALSE,CHI: <I hate her> [<] .
in,FALSE,TRUE,MOT: +^ dear mister Carle .
in,TRUE,FALSE,MOT: is that his name ?
in,FALSE,FALSE,MOT: Carl Earle or Earl Carle ?
out,FALSE,FALSE,INV: &=laughs [>] .
out,FALSE,FALSE,CHI: &=laughs [<] .
out,FALSE,FALSE,INV: it's Carle .
out,FALSE,FALSE,INV: it's Eric (.) <Carle> [>] .
out,FALSE,FALSE,MOT: oh [<] Eric Carle ?
out,FALSE,FALSE,INV: &=laughs [>] .
out,FALSE,FALSE,MOT: &=laughs [<] .
out,FALSE,FALSE,INV: problem with last names that are first names .
out,FALSE,FALSE,INV: &=laughs .
