in/out/ambiguous,start,end,Transcript
out,FALSE,FALSE,INV: &-uh so Chi what I want you to do with thing <is (.) read> [>] it [>] (.) <to your &-um> [//] to your mommy .
out,FALSE,FALSE,SIS: <xxx hi (.) hi> [<] .
out,FALSE,FALSE,MOT: shh [<] .
out,FALSE,FALSE,CHI: read .
out,FALSE,FALSE,INV: read or [/] or tell the story however you [>] wanna do it .
out,FALSE,FALSE,SIS: no [<] xxx [>] .
out,FALSE,FALSE,FAT: Sis [<] .
out,FALSE,FALSE,MOT: xxx help you .
out,FALSE,FALSE,MOT: don't xxx .
out,FALSE,FALSE,INV: okay sorry www &=laughs .
out,FALSE,FALSE,MOT: read Pooh [= Chi's nickname] .
out,FALSE,FALSE,SIS: Pooh .
out,FALSE,FALSE,INV: you wanna read it or tell it to your mommy however you wanna do it .
out,FALSE,FALSE,SIS: www &=noises [>] .
in,TRUE,FALSE,MOT: <we already read that book> [<] .
in,FALSE,FALSE,CHI: I read this book plenty of times .
out,FALSE,FALSE,MOT: so you oughta know it by heart .
out,FALSE,FALSE,MOT: so what's the problem ?
out,FALSE,FALSE,CHI: the &~cat (.) &-uh caterpillar .
out,FALSE,FALSE,INV: well you guys [?] in a comfortable spot ?
out,FALSE,FALSE,INV: where do you wanna take it ?
out,FALSE,FALSE,CHI: I don't know .
out,FALSE,FALSE,INV: well do you wanna read [>] it to your Dad here ?
out,FALSE,FALSE,MOT: Sis [<] .
out,FALSE,FALSE,CHI: xxx to read .
out,FALSE,FALSE,INV: <do wanna read> [>] it to your mommy ?
out,FALSE,FALSE,MOT: <read it to Dad> [<] .
out,FALSE,FALSE,CHI: no [>] .
out,FALSE,FALSE,MOT: <read to Sis [= nickname]> [<] .
out,FALSE,FALSE,MOT: read to Sis [= nickname] .
out,FALSE,FALSE,CHI: no .
out,FALSE,FALSE,MOT: Sis .
out,FALSE,FALSE,XXX: you hafta move back .
out,FALSE,FALSE,MOT: you hafta read .
out,FALSE,FALSE,MOT: this the last part .
out,FALSE,FALSE,MOT: read to Sis [= nickname] if you don't want me to [>] .
out,FALSE,FALSE,FAT: xxx [<] Sis [= nickname] .
out,FALSE,FALSE,FAT: www .
out,FALSE,FALSE,SIS: www .
out,FALSE,FALSE,FAT: xxx the book though .
out,FALSE,FALSE,INV: <do you wanna> [//] what we would like you to do is read it aloud .
out,FALSE,FALSE,CHI: I can't .
out,FALSE,FALSE,INV: oh Chi you can +//.
out,FALSE,FALSE,INV: tell the story then .
in,FALSE,TRUE,CHI: about a (.) <little worm> [>] [//] a little caterpillar that &~hat (.) hatched .
out,FALSE,FALSE,SIS: xxx [<] .
in,TRUE,FALSE,CHI: then [/] then it ate a_lot_of food .
out,FALSE,FALSE,INV: right .
out,FALSE,FALSE,CHI: that's the end of the story (.) right there .
out,FALSE,FALSE,INV: xxx [>] .
in,FALSE,FALSE,MOT: <and some food> [<] .
out,FALSE,FALSE,INV: yeah .
in,FALSE,TRUE,CHI: apples (.) pears .
in,TRUE,FALSE,CHI: plums .
in,FALSE,TRUE,MOT: strawberries .
in,TRUE,FALSE,CHI: strawberries (.) oranges .
in,FALSE,FALSE,MOT: oranges .
in,FALSE,FALSE,CHI: strawberries and oranges .
in,FALSE,TRUE,CHI: and (..) cake icecream .
out,FALSE,FALSE,MOT: whatchu [: what do you] like that <tastes sour> [>] ?
in,TRUE,FALSE,CHI: cucumbers [<] .
in,FALSE,TRUE,CHI: cheese .
in,TRUE,FALSE,CHI: salami .
in,FALSE,TRUE,CHI: a lollipop .
in,TRUE,FALSE,CHI: piece of pie and (.) sausage .
in,FALSE,TRUE,CHI: and <a cupcake and a watermelon> [>] .
out,FALSE,FALSE,SIS: www &=noises [<] .
in,TRUE,FALSE,CHI: <oh and a leaf> [>] .
out,FALSE,FALSE,SIS: brother [<] .
out,FALSE,FALSE,FAT: Sis .
out,FALSE,FALSE,MOT: oh no .
out,FALSE,FALSE,MOT: &=laughs .
out,FALSE,FALSE,CHI: done .
out,FALSE,FALSE,INV: all done !
out,FALSE,FALSE,INV: that was the quickest read I've ever heard .
out,FALSE,FALSE,MOT: what do xxx turn into ?
in,FALSE,TRUE,CHI: <<and it> [/] and it> [>] <&~ha &~thr> [//] turns into a <big thing> [>] then it turns to a &~b butterfly that all .
out,FALSE,FALSE,MOT: <why don't you try> [<] ?
out,FALSE,FALSE,MOT: why don't you come up and say <excuse me> [<] .
out,FALSE,FALSE,MOT: &=laughs .
out,FALSE,FALSE,INV: well that was licky@wp split .
out,FALSE,FALSE,INV: what's the name of it ?
out,FALSE,FALSE,INV: <for just good> [//] for good +/.
out,FALSE,FALSE,CHI: The Very Hungry Caterpillar .
out,FALSE,FALSE,INV: there you go you can read all the page very good .
out,FALSE,FALSE,INV: well if that's how you wanna do it .
out,FALSE,FALSE,INV: that's okay .
