in/out/ambiguous,start,end,Transcript
out,FALSE,FALSE,INV1: well then the second to last thing that we'll need you to do .
out,FALSE,FALSE,@Comment: My name is Franky and go to The dickerman School by Franky Cleckley room 12
out,FALSE,FALSE,"@Comment: Chi has a hard time getting started on this activity. Mot gives him a lot of different ideas about who to write to but Chi rejects them. Chi ends up going off to his room but comes back for more ideas about what to write. Mot follows Chi to his bedroom to help him write the letter; however , this is not recorded. Chi finally writes what Mot seems to have told him to. There is a lot of comotion going on which is very distracting."
out,FALSE,FALSE,@Comment: Time is 3:18
out,FALSE,FALSE,CHI: what ?
out,FALSE,FALSE,INV1: more things !
out,FALSE,FALSE,INV1: is &-um .
out,FALSE,FALSE,CHI: write my name .
out,FALSE,FALSE,INV1: no .
out,FALSE,FALSE,INV1: more [!] then that young man .
out,FALSE,FALSE,INV1: is have you and your mom or dad or whatever &-um (.) you two write a letter .
out,FALSE,FALSE,INV1: I'm going to have you write a letter and have them help you if you need any help .
out,FALSE,FALSE,CHI: okay [?] .
out,FALSE,FALSE,INV1: and let me get you a [/] a pencil .
out,FALSE,FALSE,INV1: do you want a pencil ?
out,FALSE,FALSE,MOT: www .
out,FALSE,FALSE,INV1: do you wanna write with pencil ?
out,FALSE,FALSE,INV1: okay .
out,FALSE,FALSE,INV1: let me grab you a pencil .
out,FALSE,FALSE,INV1: (..) I got you a pencil .
out,FALSE,FALSE,INV1: Chi ?
out,FALSE,FALSE,INV1: here xxx .
out,FALSE,FALSE,INV1: okay .
out,FALSE,FALSE,INV1: &-um (.) so <you might wanna> [//] <you can actually> [//] (.) if you wanna write on the table or the (.) book .
out,FALSE,FALSE,CHI: what to [?] write ?
out,FALSE,FALSE,INV1: write to anyone you want .
out,FALSE,FALSE,CHI: what ?
out,FALSE,FALSE,MOT: write a letter .
in,TRUE,FALSE,MOT: write a letter to Daddy telling him what you want for Christmas .
in,FALSE,FALSE,FAT: (..) write about your telephone [?] or whatever I'm sposta get you .
out,FALSE,FALSE,MOT: &=laughs .
out,FALSE,FALSE,CHI: another puppy .
out,FALSE,FALSE,MOT: no puppy again [?] .
out,FALSE,FALSE,FAT: no dog .
in,FALSE,FALSE,MOT: write about what you want .
in,FALSE,FALSE,CHI: I want another puppy .
in,FALSE,FALSE,MOT: xxx (.) don't write about that one because you willn't get it .
out,FALSE,FALSE,INV1: &=laughs .
in,FALSE,FALSE,MOT: you can write you want some goldfish .
in,FALSE,FALSE,MOT: or xxx what them fighting fish .
in,FALSE,FALSE,CHI: chinese fighting fish .
in,FALSE,FALSE,CHI: +^ <I don't> [>] want (th)em .
out,FALSE,FALSE,MOT: yeah [<] .
out,FALSE,FALSE,MOT: yes xxx .
out,FALSE,FALSE,CHI: no fishes .
out,FALSE,FALSE,MOT: xxx a letter .
in,FALSE,TRUE,CHI: well (.) I could fly it .
out,FALSE,FALSE,MOT: no flying paper .
out,FALSE,FALSE,MOT: +^ write a letter .
in,TRUE,FALSE,MOT: write a letter to your teacher .
out,FALSE,FALSE,CHI: no .
in,FALSE,TRUE,MOT: (.) write a letter to Santa Claus .
out,FALSE,FALSE,CHI: no .
in,TRUE,FALSE,MOT: write a letter to Nana and tell her what to buy you when she go shopping .
out,FALSE,FALSE,CHI: (.) you writed@n it .
out,FALSE,FALSE,MOT: no .
out,FALSE,FALSE,MOT: who's looking for me [?] ?
out,FALSE,FALSE,MOT: I'll show you my xxx .
out,FALSE,FALSE,@Comment: Time is 5:54
out,FALSE,FALSE,WOM: www .
out,FALSE,FALSE,MOT: www .
in,FALSE,TRUE,CHI: Ma where you_all goin(g) ?
out,FALSE,FALSE,@Comment: Time is 6:20
