in/out/ambiguous,start,end,Transcript
out,FALSE,FALSE,INV: you have [!] read this before .
out,FALSE,FALSE,INV: and you're probably very [!] familiar with this book .
out,FALSE,FALSE,SIS: I don't know how to read .
out,FALSE,FALSE,CHI: can I read it ?
out,FALSE,FALSE,INV: that's what we'd like you to do .
out,FALSE,FALSE,INV: what we'd like you to do is &-um (.) to read it .
out,FALSE,FALSE,INV: and you can have your Mom help ya [: you] .
out,FALSE,FALSE,INV: you can read it with your Mom [>] .
out,FALSE,FALSE,CHI: oh [<] !
out,FALSE,FALSE,INV: you can oh +//.
out,FALSE,FALSE,INV: tryin(g) to stick it to me <now huh> [>] ?
out,FALSE,FALSE,CHI: mhm [<] .
out,FALSE,FALSE,INV: &-uh however you wanna do it .
out,FALSE,FALSE,INV: but if you (.) want some help &~fe [>] +/.
out,FALSE,FALSE,CHI: <I could read> [<] it out loud ?
out,FALSE,FALSE,INV: mhm you can read it <out loud> [>] .
out,FALSE,FALSE,CHI: <for my> [<] sister Christa .
out,FALSE,FALSE,MOT: sit down Sis (.) so she can see the light honey .
out,FALSE,FALSE,INV: yeah .
out,FALSE,FALSE,SIS: I can't <see her> [>] .
in,TRUE,FALSE,CHI: <in the light> [<] of the moon a little egg lay (.) on (.) a leaf .
in,FALSE,TRUE,SIS: can I see ?
in,TRUE,FALSE,CHI: that's the caterpillar leaf .
in,FALSE,FALSE,CHI: I mean caterpillar &~l egg .
in,FALSE,FALSE,CHI: right there .
out,FALSE,FALSE,INV: yeah .
out,FALSE,FALSE,SIS: 0 [=! frustration noise] .
in,FALSE,TRUE,CHI: <and that's the> [>] moon .
out,FALSE,FALSE,SIS: uhhuh [<] .
out,FALSE,FALSE,INV: &=laughs .
in,TRUE,FALSE,SIS: look at the moon !
in,FALSE,TRUE,SIS: +^ eye nose mouth !
in,TRUE,FALSE,SIS: eyes nose <and mouth> [>] .
out,FALSE,FALSE,INV: <very good> [<] .
in,FALSE,TRUE,CHI: one Sunday morning the &~w warm sun came up and pop [!] out (.) of the egg came a teeny and very hungry caterpillar .
in,TRUE,FALSE,MOT: that's tiny@q .
out,FALSE,FALSE,MOT: Chi .
in,FALSE,TRUE,CHI: he started to look +...
out,FALSE,FALSE,CHI: hm: ?
out,FALSE,FALSE,MOT: this says tiny@q .
