in/out/ambiguous,start,end,Transcript
out,FALSE,FALSE,INV: do whatever <you want> [>] .
out,FALSE,FALSE,@Comment: Time is 0:03
out,FALSE,FALSE,INV: dear Eric Carle .
out,FALSE,FALSE,INV: I like your book The_Very_Hungry_Caterpillar because it is interesting and fun to read .
out,FALSE,FALSE,INV: I like the part when he start eating a little bit each day until he got sick .
out,FALSE,FALSE,"INV: I also like the part when he went in the cocoon and then he became a butterfly , and he was so pretty ."
out,FALSE,FALSE,"INV: sincerely , Chi ."
out,FALSE,FALSE,"@Comment: Chi resists reading the book aloud but Mot strongly suggests that she read it again. Chi reads the book , and Mot then encourages her to begin the letter. Chi begins the letter and tells Mot that she has to give her some ideas as well. Throughout this activity , Chi comes up with ideas , and Mot helps her rephrase the sentences. Mot also spells several words for Chi. Chi's brother is present during the activity , and tries to help out once in a while."
out,FALSE,FALSE,MOT: <do you Chi> [<] ?
out,FALSE,FALSE,INV: need <to do> [>] .
out,FALSE,FALSE,CHI: no [<] .
in,TRUE,FALSE,MOT: I remember it .
out,FALSE,FALSE,MOT: want me to give you (.) a brief summary ?
out,FALSE,FALSE,CHI: nope .
in,FALSE,TRUE,CHI: I can always read through it .
in,TRUE,FALSE,MOT: <you don't even hafta> [>] read it just look through the pictures and you'll remember .
out,FALSE,FALSE,CHI: xxx [<] [>] .
out,FALSE,FALSE,BRO: xxx [<] .
out,FALSE,FALSE,BRO: poor calerpillar [: caterpillar] xxx [>] the book .
out,FALSE,FALSE,MOT: xxx [<] .
out,FALSE,FALSE,INV: you're gonna watch .
out,FALSE,FALSE,INV: that's okay but they've got it .
out,FALSE,FALSE,CHI: (..) do I hafta write about what I liked ?
out,FALSE,FALSE,INV: you can write whatever you want .
out,FALSE,FALSE,INV: whatever you wanna write .
out,FALSE,FALSE,INV: (..) okay ?
out,FALSE,FALSE,MOT: Bro sit [//] stop it xxx .
out,FALSE,FALSE,MOT: Chi do you wanna read it [= the book] or do you want me to read it ?
in,FALSE,FALSE,CHI: &-um I'll read it .
out,FALSE,FALSE,MOT: here put your glasses on read it to me (be)cause I don't know it either .
in,FALSE,FALSE,CHI: I don't wanna .
in,FALSE,FALSE,MOT: oh I thought those were her glasses .
in,FALSE,FALSE,CHI: no mine are pink .
in,FALSE,FALSE,BRO: they look like pink .
out,FALSE,FALSE,CHI: &~he I hafta read the whole thing out loud ?
out,FALSE,FALSE,CHI: (.) ow .
out,FALSE,FALSE,CHI: from the (be)ginning [!] all the way up to the end ?
in,FALSE,FALSE,MOT: it's not a long book .
out,FALSE,FALSE,CHI: ack@d !
out,FALSE,FALSE,CHI: (.) alright .
in,FALSE,FALSE,CHI: (.) in the light of the moon <a &~le [//] a little green> [//] a little egg [!] laid on a leaf .
in,FALSE,FALSE,CHI: one Sunday morning the warm sun came up and pop [!] out_of the egg came a tiny and very hungry caterpillar .
in,FALSE,FALSE,CHI: (.) &~star (.) stared [//] (.) starting to look for food .
in,FALSE,FALSE,CHI: one &~m Monday he ate (.) through one apple but he was still hungry .
in,FALSE,FALSE,CHI: on Tuesday he ate through two pears but he was still hungry .
in,FALSE,FALSE,CHI: on Wednesday he ate through three plums but he was still hungry .
in,FALSE,FALSE,CHI: on Thursday he ate through four strawberries but he was still hungry .
in,FALSE,FALSE,CHI: on Friday he ate through five oranges but he was still [!] hungry .
in,FALSE,FALSE,CHI: on Saturday he ate through one piece of chocolate cake one icecream cone one pickle on slice of swiss cheese one slice of salami one lollipop one piece of cherry pie one sausage one cupcake and one slice of watermelon .
in,FALSE,FALSE,CHI: that night he had a stomachache .
in,FALSE,FALSE,CHI: I wonder why .
in,FALSE,FALSE,CHI: the next (.) Sunday again caterpillar ate through one [!] nice green leaf and after that he felt much better .
in,FALSE,FALSE,CHI: now he wasn't hungry anymore .
in,FALSE,FALSE,CHI: and he wasn't a little caterpillar anymore .
in,FALSE,FALSE,CHI: he was a big fat caterpillar .
in,FALSE,FALSE,CHI: <he put a small house> [//] he built a small house called a cocoon [!] around himself (.) stayed inside for more than two weeks .
in,FALSE,FALSE,CHI: then he nibbled a hole in the cocoon pushed his way out [!] <and he> [/] and (.) he was a beautiful butterfly .
out,FALSE,FALSE,CHI: the end .
out,FALSE,FALSE,MOT: the end !
in,FALSE,FALSE,MOT: okay let's write a story .
out,FALSE,FALSE,CHI: the &-um +/.
out,FALSE,FALSE,BRO: not xxx write a story .
out,FALSE,FALSE,CHI: do we write a &~s +...
out,FALSE,FALSE,MOT: xxx [>] a letter .
out,FALSE,FALSE,BRO: <a letter> [<] !
out,FALSE,FALSE,MOT: mhm .
out,FALSE,FALSE,CHI: hm: ?
out,FALSE,FALSE,CHI: start it from the top ?
in,FALSE,FALSE,CHI: I'm [>] gonna write dear Eric Carle ?
out,FALSE,FALSE,MOT: okay [>] .
out,FALSE,FALSE,MOT: right .
out,FALSE,FALSE,CHI: dear Eric Carle .
out,FALSE,FALSE,CHI: you gotta give me some ideas too .
