in/out/ambiguous,start,end,Transcript
out,FALSE,FALSE,SIS: see [>] !
out,FALSE,FALSE,MOT: xxx [<] [//] did it make itself a home ?
out,FALSE,FALSE,CHI: yes [>] .
out,FALSE,FALSE,MOT: <what [<] do they call> [/] what do they call its home ?
out,FALSE,FALSE,MOT: <do you> [>] remember that ?
out,FALSE,FALSE,CHI: hm: [<] .
out,FALSE,FALSE,CHI: (.) hm: .
out,FALSE,FALSE,MOT: he grows inside his home .
out,FALSE,FALSE,MOT: what <do they call> [>] his home ?
out,FALSE,FALSE,SIS: see [<] !
out,FALSE,FALSE,CHI: I forget .
out,FALSE,FALSE,MOT: a cocoon (.) remember ?
out,FALSE,FALSE,CHI: yeah .
out,FALSE,FALSE,MOT: and <then what> [>] +/.
out,FALSE,FALSE,SIS: see [<] !
out,FALSE,FALSE,MOT: and then what happened after that ?
out,FALSE,FALSE,SIS: Mommy !
out,FALSE,FALSE,CHI: what happened after that ?
out,FALSE,FALSE,SIS: <Mommy see> [>] !
out,FALSE,FALSE,MOT: yeah <the day you went (.) you went> [/] the day you went to school .
out,FALSE,FALSE,CHI: oh yeah .
in,TRUE,FALSE,CHI: <<we saw xxx> [//] &-um we saw> [>] +/.
out,FALSE,FALSE,SIS: <see Mommy> [<] !
out,FALSE,FALSE,CHI: &-um <after [/] after> [>] +/.
out,FALSE,FALSE,CHI: see [<] !
out,FALSE,FALSE,MOT: shh .
in,FALSE,TRUE,CHI: <after that day (.) &-um> [/] after that day <he turned> [//] he came out (.) the cocoon and turned into a butterfly .
out,FALSE,FALSE,MOT: that's right !
out,FALSE,FALSE,SIS: that's <the &~go I got a picture> [>] !
in,TRUE,FALSE,MOT: <xxx well he turned into a butterfly while he was in there> [<] .
in,FALSE,TRUE,MOT: <he just came up xxx> [>] .
out,FALSE,FALSE,SIS: <I got a picture> [<] .
out,FALSE,FALSE,MOT: &=laughs [>] .
in,TRUE,FALSE,CHI: yeah [<] <we didn't we didn't> [/] <we didn't> [//] we thought that he would come out in a week .
