in/out/ambiguous,start,end,Transcript
out,FALSE,FALSE,INV2: we're just gonna take it (be)cause we needta copy it but we'll bring it back and give it to you so you can send it if you wanna send it to somebody .
out,FALSE,FALSE,MOT: alright !
out,FALSE,FALSE,INV1: okay ?
out,FALSE,FALSE,MOT: +^ it's a <real [/] real letter> [>] .
out,FALSE,FALSE,CHI: <<can you> [/] can you> [<] give me an idea ?
in,TRUE,FALSE,MOT: well (.) we could write it to (.) cousin Kathy .
in,FALSE,TRUE,MOT: cousin Marta .
in,TRUE,FALSE,CHI: cousin Kathy !
in,FALSE,TRUE,MOT: or to Grandma or Grandpa ?
in,TRUE,FALSE,CHI: Kathy !
out,FALSE,FALSE,MOT: okay .
in,FALSE,TRUE,MOT: I don't know their address .
in,TRUE,FALSE,MOT: but we can get &-uh (.) Grandma's address okay ?
out,FALSE,FALSE,CHI: &-um .
out,FALSE,FALSE,MOT: alright .
in,FALSE,TRUE,MOT: <she hasta> [>] write it (.) right ?
out,FALSE,FALSE,CHI: xxx [<] .
out,FALSE,FALSE,INV2: <you work> [//] yeah (.) however you two do it together .
out,FALSE,FALSE,MOT: okay .
out,FALSE,FALSE,INV2: but you can help (.) <that's> [>] +/.
in,TRUE,FALSE,CHI: <can you> [<] tell me what to say ?
in,FALSE,TRUE,MOT: first we hafta write &-um <a name> [//] your name .
in,TRUE,FALSE,MOT: right here Chi .
in,FALSE,FALSE,MOT: <it goes in this corner> [>] .
in,FALSE,FALSE,CHI: <why> [<] there [?] ?
in,FALSE,TRUE,MOT: that's the way you write letters .
in,TRUE,FALSE,MOT: from here goes your name (..) and address .
in,FALSE,TRUE,MOT: (..) so she'll know who wrote the letter to xxx ?
in,TRUE,FALSE,MOT: hasta have your name and address .
in,FALSE,TRUE,CHI: what's my address ?
in,TRUE,FALSE,MOT: finish the name .
out,FALSE,FALSE,MOT: www [=! Chi's last name] right ?
out,FALSE,FALSE,CHI: xxx .
out,FALSE,FALSE,MOT: okay [>] .
out,FALSE,FALSE,CHI: okay [<] .
out,FALSE,FALSE,MOT: twenty .
out,FALSE,FALSE,CHI: twenty .
out,FALSE,FALSE,MOT: Chi &~w wait a second .
in,FALSE,TRUE,MOT: right here you did something wrong .
in,TRUE,FALSE,MOT: it's twenty Winthrop .
