in/out/ambiguous,start,end,Transcript
out,FALSE,FALSE,INV: yeah .
out,FALSE,FALSE,"@Comment: FAT and Chi do not collaborate with each other while playing , but they are kind to each other and do assist the other player in his or her individual projects. Fat takes a while to warm to the activity and become an active participant. Chi does most of the talking. EXP is not central to the activity or conversation , but she is obviously present. Chi experiments with the magnets and notices that the metal objects only stick together when they are on the black base. Fat describes the basic concept behind magnets: that like forces repel , and unlike forces attract , and Fat demonstrates this for Chi. Audio tape could not be located; transcription and verification are from the video tape. Chi sits at a table with the magnets in front of her; Fat is not visible on the video; there are several objects piled on the black base and Chi holds the yellow wand over the base"
out,FALSE,FALSE,INV: so you can do whatever you'd like with it [= magnets] and say whatever you want .
in,TRUE,FALSE,CHI: it [/] it [= yellow wand] just willn't pick up .
in,FALSE,TRUE,CHI: I'll make this [= nut] move and it [= nut] wants to go down [= onto the base] .
out,FALSE,FALSE,CHI: cmon .
out,FALSE,FALSE,FAT: 0 .
out,FALSE,FALSE,INV: there's other things in here [= clear plastic box] if you wanna xxx those [= objects in the box] .
out,FALSE,FALSE,INV: little guys [= silver men] .
out,FALSE,FALSE,CHI: xxx .
out,FALSE,FALSE,CHI: xxx .
in,TRUE,FALSE,CHI: probably will pick up that [= thin magnets] .
out,FALSE,FALSE,FAT: 0 .
in,FALSE,FALSE,CHI: well they're [= washers] sure attractive .
out,FALSE,FALSE,CHI: (..) that's cool .
out,FALSE,FALSE,INV: (..) oh my .
in,FALSE,TRUE,CHI: oh &~w we had a accident [?] .
out,FALSE,FALSE,CHI: daddy keep (th)em [= washers] up .
out,FALSE,FALSE,CHI: keep (th)em up .
out,FALSE,FALSE,CHI: ugh .
out,FALSE,FALSE,CHI: up .
out,FALSE,FALSE,CHI: up .
out,FALSE,FALSE,CHI: up sutlebi@wp .
out,FALSE,FALSE,CHI: &=laughs .
out,FALSE,FALSE,BRO: what are you doin(g) ?
out,FALSE,FALSE,CHI: oh &~da Sol no .
out,FALSE,FALSE,CHI: Sol no .
out,FALSE,FALSE,CHI: oh .
out,FALSE,FALSE,CHI: okay .
out,FALSE,FALSE,CHI: oh .
out,FALSE,FALSE,BRO: daddy can I do it [= hold the yellow wand] ?
out,FALSE,FALSE,FAT: no you can't .
out,FALSE,FALSE,CHI: one .
out,FALSE,FALSE,CHI: two .
out,FALSE,FALSE,CHI: whoa .
