in/out/ambiguous,start,end,Transcript
out,FALSE,FALSE,INV: now I have some objects here .
out,FALSE,FALSE,@Comment: Time is 19:52
out,FALSE,FALSE,@Comment: Chi directs most of his own activities and works mostly on his own. Mot watches and offers suggestions from time to time. There is some talk about which objects are magnetic and Mot and Chi mention at the beginning of the activity that the Chi has a magnet set. Toward the end of the activity Chi's younger brother comes in and Chi attempts to engage him in the activity as well by showing him how to use the wand to pick up objects.. Video tape does not start until later; transcripts until then is solely from audio
out,FALSE,FALSE,CHI: oh !
out,FALSE,FALSE,INV: www .
out,FALSE,FALSE,CHI: oh !
out,FALSE,FALSE,CHI: this is xxx !
out,FALSE,FALSE,INV: www .
in,TRUE,FALSE,CHI: I have some of these .
out,FALSE,FALSE,CHI: matter of fact would you like some ?
out,FALSE,FALSE,INV: so you and your mom can look at those things together .
out,FALSE,FALSE,CHI: (o)kay .
in,FALSE,TRUE,CHI: copper will not +//.
in,TRUE,FALSE,CHI: I wanna say one thing .
in,FALSE,TRUE,CHI: copper (.) will not stick to a magnet .
out,FALSE,FALSE,CHI: whoops !
out,FALSE,FALSE,CHI: here you go .
in,TRUE,FALSE,CHI: I'll take some of that xxx <if you> [=? to use] +//.
in,FALSE,FALSE,CHI: here's <what we do xxx> [>] .
in,FALSE,TRUE,MOT: <well this looks familiar Chi> [<] .
in,TRUE,FALSE,MOT: these [= magnet balls] come from (.) my first magnet set .
out,FALSE,FALSE,MOT: right ?
out,FALSE,FALSE,CHI: unhunh .
out,FALSE,FALSE,CHI: <see look at> [>] !
in,FALSE,TRUE,MOT: <that's what he has> [<] .
in,TRUE,FALSE,CHI: we have some of these [= referent unclear] too .
out,FALSE,FALSE,INV: oh wow .
in,FALSE,TRUE,MOT: that's what it <comes from> [>] .
out,FALSE,FALSE,INV: okay .
out,FALSE,FALSE,MOT: +^ My Very First Magnet Set .
out,FALSE,FALSE,INV: okay .
out,FALSE,FALSE,INV: yeah .
in,TRUE,FALSE,MOT: it's a little kit .
in,FALSE,FALSE,MOT: <and the inside is (.) metal> [>] +...
out,FALSE,FALSE,INV: <oh I didn't know that> [<] .
in,FALSE,FALSE,MOT: the inside's metal .
in,FALSE,TRUE,MOT: and they give you nuts and bolts and the arrows .
out,FALSE,FALSE,INV: uhhuh .
out,FALSE,FALSE,MOT: and this little +//.
in,TRUE,FALSE,MOT: these [= white and yellow checked triangle] flat (.) magnets .
out,FALSE,FALSE,CHI: and [>] (.) horseshoes .
out,FALSE,FALSE,INV: okay [<] .
out,FALSE,FALSE,CHI: <&-uh &-uh &-uh &-uh> [>] !
out,FALSE,FALSE,MOT: <and one of these> [<] .
out,FALSE,FALSE,INV: oh wow .
in,FALSE,TRUE,CHI: I'm trying <to bring it back> [>] .
in,TRUE,FALSE,MOT: <Chi this [= yellow wand] is a strong magnet> [<] .
out,FALSE,FALSE,CHI: gimme [: give me] [?] the strongest one !
out,FALSE,FALSE,MOT: watch .
in,FALSE,FALSE,CHI: I have <one of those [= yellow wand]> [>] .
out,FALSE,FALSE,MOT: <wait [=? (o)kay] watch> [<] .
out,FALSE,FALSE,CHI: wait !
in,FALSE,TRUE,CHI: +^ let me get my own .
out,FALSE,FALSE,INV: www .
out,FALSE,FALSE,MOT: www .
in,TRUE,FALSE,CHI: I think you threw it away .
in,FALSE,FALSE,MOT: no I didn't .
out,FALSE,FALSE,MOT: yeah .
in,FALSE,TRUE,MOT: it is like the style of that [= yellow wand] .
out,FALSE,FALSE,MOT: xxx [=? mom] looks good .
in,TRUE,FALSE,CHI: I like doing this .
in,FALSE,FALSE,CHI: you can kinda [: kind of] like feel it .
out,FALSE,FALSE,CHI: whoa !
out,FALSE,FALSE,CHI: whoa !
in,FALSE,TRUE,CHI: that thing [= yellow wand] just sucked it [= paper clip] right up !
out,FALSE,FALSE,CHI: whoa !
in,TRUE,FALSE,CHI: see copper willn't (.) &-um (.) stick onto here [= yellow wand] [>] .
out,FALSE,FALSE,INV: huh [<] ?
out,FALSE,FALSE,CHI: 0 .
out,FALSE,FALSE,INV: <what did you say> [>] ?
out,FALSE,FALSE,CHI: yikes [<] .
in,FALSE,FALSE,CHI: I said copper willn't stick to stuff .
out,FALSE,FALSE,INV: (.) www .
out,FALSE,FALSE,CHI: oh !
out,FALSE,FALSE,CHI: 0 [=! short vocalization] .
out,FALSE,FALSE,CHI: 0 [=! short vocalization] .
out,FALSE,FALSE,CHI: &=laughs .
in,FALSE,TRUE,CHI: it [= magnet ball] got kept on getting stuck this time .
out,FALSE,FALSE,CHI: whoa !
out,FALSE,FALSE,CHI: you shoulda saw that .
in,TRUE,FALSE,CHI: it [= silver stick] went xxx [=! strange sound] .
out,FALSE,FALSE,CHI: 0 .
in,FALSE,TRUE,CHI: that's the negative side .
in,TRUE,FALSE,CHI: and that's the nonnegative +/.
in,FALSE,TRUE,MOT: we don't needta talk like that .
out,FALSE,FALSE,CHI: alright .
in,TRUE,FALSE,CHI: I'm makin(g) the marble roll .
out,FALSE,FALSE,CHI: whoa !
out,FALSE,FALSE,CHI: pick up the stuff !
out,FALSE,FALSE,CHI: 0 [=! strange vocalizations to accompany the movement of the ball across the table] .
in,FALSE,TRUE,CHI: maybe if I go that [!] way +...
out,FALSE,FALSE,"CHI: +, or that way +..."
out,FALSE,FALSE,"CHI: +, or that way +..."
out,FALSE,FALSE,CHI: that way .
out,FALSE,FALSE,CHI: that way !
out,FALSE,FALSE,CHI: that way !
out,FALSE,FALSE,CHI: 0 [=! strange vocalization] .
out,FALSE,FALSE,CHI: (.) whoa .
out,FALSE,FALSE,MOT: (..) xxx .
out,FALSE,FALSE,CHI: 0 .
out,FALSE,FALSE,CHI: what's it [//] this like inside there [= black base?] ?
out,FALSE,FALSE,CHI: see ?
out,FALSE,FALSE,INV: www .
out,FALSE,FALSE,CHI: yikes !
out,FALSE,FALSE,CHI: (wh)oops !
in,TRUE,FALSE,CHI: I think it [= magnet ball?] went in your shirt .
out,FALSE,FALSE,INV: oh there it is .
out,FALSE,FALSE,INV: there you go .
in,FALSE,TRUE,MOT: (..) that's the magnet inside the plastic +//.
out,FALSE,FALSE,MOT: don't open it .
in,TRUE,FALSE,MOT: other children needta use it please .
out,FALSE,FALSE,CHI: 0 .
in,FALSE,TRUE,MOT: (..) the balls movin(g) already .
out,FALSE,FALSE,CHI: whoa !
out,FALSE,FALSE,MOT: broke the chain .
in,TRUE,FALSE,CHI: I like making the chains .
in,FALSE,TRUE,CHI: I like makin(g) it with the balls (.) (be)cause they're fun .
out,FALSE,FALSE,CHI: oh .
