in/out/ambiguous,start,end,Transcript
out,FALSE,FALSE,CHI: xxx .
out,FALSE,FALSE,MOT: Chi what are you eating ?
out,FALSE,FALSE,CHI: a sausage .
out,FALSE,FALSE,MOT: a sausage ?
out,FALSE,FALSE,MOT: want cheese ?
out,FALSE,FALSE,CHI: yes please .
out,FALSE,FALSE,MOT: Sis do you want cheese ?
out,FALSE,FALSE,SIS: no thank you .
out,FALSE,FALSE,MOT: and what else are you eating Chi ?
out,FALSE,FALSE,MOT: (.) Chi ?
out,FALSE,FALSE,CHI: a mushroom .
out,FALSE,FALSE,MOT: yeah ?
in,TRUE,FALSE,MOT: where is the mushroom ?
in,FALSE,FALSE,CHI: in my mouth .
in,FALSE,TRUE,MOT: it's in your spaghetti sauce .
out,FALSE,FALSE,CHI: Ma ?
out,FALSE,FALSE,MOT: what ?
out,FALSE,FALSE,CHI: I don't have yyy [: spaghetti] sauce .
in,TRUE,FALSE,MOT: you've got &~s sauce on your spaghetti there Chi [= short form] .
in,FALSE,FALSE,CHI: yeah but it's not in it .
out,FALSE,FALSE,CHI: I just xxx +/.
out,FALSE,FALSE,MOT: shh .
in,FALSE,FALSE,CHI: I just ate it out .
out,FALSE,FALSE,MOT: &-um what did you do in school today ?
in,FALSE,TRUE,CHI: <we made pumpkin bread> [=! sing-song] .
in,TRUE,FALSE,MOT: you made pumpkin bread ?
in,FALSE,FALSE,CHI: yeah but we didn't really get to finish the bread .
in,FALSE,FALSE,CHI: +^ it's still in the &-um (.) oven .
out,FALSE,FALSE,SIS: xxx .
in,FALSE,FALSE,MOT: you've got an oven in school or a microwave ?
in,FALSE,FALSE,CHI: an oven .
in,FALSE,TRUE,SIS: Mama [>] .
in,TRUE,FALSE,MOT: <an oven> [<] ?
in,FALSE,FALSE,CHI: yeah you don't hafta be a good cook to cook food .
out,FALSE,FALSE,MOT: xxx .
out,FALSE,FALSE,CHI: Mama .
out,FALSE,FALSE,MOT: what ?
in,FALSE,TRUE,SIS: Mommy .
in,TRUE,FALSE,SIS: that copies you voice ?
out,FALSE,FALSE,MOT: yeah .
in,FALSE,FALSE,MOT: that records your voices .
out,FALSE,FALSE,SIS: hm: .
out,FALSE,FALSE,MOT: I hope there's nothing wrong because something is blinkin(g) [>] .
out,FALSE,FALSE,CHI: no [<] .
out,FALSE,FALSE,CHI: <it's sposta> [>] .
out,FALSE,FALSE,SIS: <xxx that thing> [<] always blinks .
out,FALSE,FALSE,CHI: copies your voice .
out,FALSE,FALSE,MOT: oh does it ?
out,FALSE,FALSE,CHI: yeah !
out,FALSE,FALSE,MOT: oh .
out,FALSE,FALSE,MOT: Chi !
out,FALSE,FALSE,MOT: pick up your +//.
out,FALSE,FALSE,MOT: no put your napkin up here and put your plate down here .
out,FALSE,FALSE,MOT: <so whatdja [: what did you] do> [//] what didja [: did you] have for lunch Chi ?
out,FALSE,FALSE,MOT: (..) you put too much in .
out,FALSE,FALSE,MOT: (..) take smaller bites please .
out,FALSE,FALSE,CHI: (.) alright .
out,FALSE,FALSE,MOT: take smaller bites or I'm gonna cut it .
out,FALSE,FALSE,SIS: (.) Mom ?
in,FALSE,TRUE,CHI: whatja [: what did you] have for lunch ?
in,TRUE,FALSE,CHI: two cups of soup .
out,FALSE,FALSE,MOT: two !
in,FALSE,FALSE,CHI: yeah <if you like> [//] if you don't like everything you're allowed to have two .
in,FALSE,FALSE,MOT: what kind of soup was it ?
in,FALSE,FALSE,CHI: chicken noodle .
in,FALSE,FALSE,MOT: chicken noodle ?
out,FALSE,FALSE,CHI: mhm .
out,FALSE,FALSE,MOT: oh .
out,FALSE,FALSE,MOT: do you get crackers with it ?
out,FALSE,FALSE,CHI: yeah .
out,FALSE,FALSE,MOT: what kind of crackers ?
out,FALSE,FALSE,CHI: ones we got .
out,FALSE,FALSE,MOT: the ones we get ?
out,FALSE,FALSE,MOT: you mean Oysterettes (.) or saltines ?
out,FALSE,FALSE,CHI: saltines .
out,FALSE,FALSE,MOT: oh that sounds good !
out,FALSE,FALSE,CHI: ours is Oysterettes [?] .
out,FALSE,FALSE,MOT: what did they have on the menu [!] (.) that you didn't want ?
out,FALSE,FALSE,CHI: (.) sub .
out,FALSE,FALSE,MOT: you don't like the subs ?
