in/out/ambiguous,start,end,Transcript
in,TRUE,FALSE,CHI: in the light of the moon (.) a little egg (..) lay (.) on (.) a leaf .
in,FALSE,TRUE,CHI: one Sunday morning (.) the warm sunny (.) came up and pop (.) out_of the egg <came a tiny and very hungry> [>] caterpillar [>] .
out,FALSE,FALSE,BRO: www [<] .
out,FALSE,FALSE,MOT: <xxx the story> [<] .
out,FALSE,FALSE,BRO: Mommy (.) Mommy (.) Mommy (.) Mommy .
out,FALSE,FALSE,MOT: www .
out,FALSE,FALSE,BRO: Mommy Mommy [>] .
in,TRUE,FALSE,CHI: he [<] started [>] to look for [>] some food .
out,FALSE,FALSE,MOT: xxx [<] .
out,FALSE,FALSE,BRO: Mommy [<] .
out,FALSE,FALSE,BRO: xxx ?
in,FALSE,FALSE,CHI: on Monday he ate through (.) one apple but he was still hungry [>] .
out,FALSE,FALSE,BRO: www [<] .
out,FALSE,FALSE,BRO: Mommy !
in,FALSE,FALSE,CHI: on Tuesday he [>] (.) ate through (.) <two pears (.) and (.) he was still hungry> [>] .
out,FALSE,FALSE,BRO: Mommy &=whines [<] .
out,FALSE,FALSE,BRO: <oh Mommy Mama (.) Mommy Mommy> [<] .
out,FALSE,FALSE,BRO: Mommy .
in,FALSE,FALSE,CHI: on <Wednesday> [>] he ate <through three> [>] plums and (.) <&~s was> [>] <and he> [>] was still hungry .
out,FALSE,FALSE,BRO: Ma [<] .
out,FALSE,FALSE,BRO: <no (.) no [!]> [<] .
out,FALSE,FALSE,BRO: &~a:h [<] .
out,FALSE,FALSE,SIS: <he [?] pushed the book> [<] .
out,FALSE,FALSE,BRO: Mommy (.) Mommy .
out,FALSE,FALSE,MOT: wow [>] [?] .
in,FALSE,FALSE,CHI: <and on> [<] Tuesday [//] (.) Thursday .
in,FALSE,FALSE,CHI: he [>] ate through [>] +/.
out,FALSE,FALSE,BRO: Mama [<] .
out,FALSE,FALSE,BRO: no [!] [<] .
out,FALSE,FALSE,MOT: hol(d) no no come on .
out,FALSE,FALSE,MOT: Chi's reading honey .
out,FALSE,FALSE,MOT: www [>] .
out,FALSE,FALSE,BRO: <no no no no no no [!]> [<] [>] !
