in/out/ambiguous,start,end,Transcript
out,FALSE,FALSE,INV2: so <however you> [>] two wanna do it .
out,FALSE,FALSE,MOT: <do you want> [<] ?
in,TRUE,FALSE,MOT: &=0do you wanna write it ?
out,FALSE,FALSE,CHI: 0 .
in,FALSE,TRUE,MOT: print it ?
in,TRUE,FALSE,MOT: with a take your (.) time .
in,FALSE,TRUE,MOT: you want (.) her name up at the xxx and see what we wanna write it with .
in,TRUE,FALSE,MOT: and <decide what you> [//] what do you wanna write about ?
out,FALSE,FALSE,MOT: okay [=? Chi] .
in,FALSE,FALSE,MOT: can you think of anything to write about xxx ?
in,FALSE,TRUE,BRO: you know what my teacher's name is ?
out,FALSE,FALSE,MOT: xxx .
in,TRUE,FALSE,BRO: Mrs Hamilton (.) Mrs Newman .
in,FALSE,TRUE,SIS: no Mrs Ford .
in,TRUE,FALSE,BRO: Mrs Ford .
in,FALSE,TRUE,CHI: I love xxx &-um +...
out,FALSE,FALSE,MOT: xxx .
out,FALSE,FALSE,CHI: Mrs [?] .
out,FALSE,FALSE,BRO: xxx .
in,TRUE,FALSE,MOT: can (.) you remember <many things when> [>] they went to Disney World ?
out,FALSE,FALSE,BRO: <this [= picture on refrigerator] is upside down> [<] .
in,FALSE,FALSE,MOT: that was (.) four years ago .
in,FALSE,FALSE,MOT: can you remember many things to (.) write about that ?
in,FALSE,FALSE,MOT: when we went to Disney World ?
out,FALSE,FALSE,CHI: sure [?] .
out,FALSE,FALSE,MOT: huh ?
out,FALSE,FALSE,CHI: 0 .
out,FALSE,FALSE,MOT: no ?
out,FALSE,FALSE,MOT: you &=laughs .
in,FALSE,FALSE,MOT: alright I'll hafta figure something out here .
in,FALSE,FALSE,BRO: you putting this [= picture] upside down .
in,FALSE,FALSE,MOT: oh okay put it the right way .
in,FALSE,FALSE,MOT: +^ I don't know .
in,FALSE,FALSE,MOT: alright you [//] can you think of something ?
out,FALSE,FALSE,CHI: 0 .
out,FALSE,FALSE,MOT: mm .
out,FALSE,FALSE,MOT: what are you gonna put ?
out,FALSE,FALSE,MOT: oh okay .
in,FALSE,FALSE,MOT: who you gonna write it to ?
in,FALSE,TRUE,CHI: xxx dear [?] .
out,FALSE,FALSE,MOT: (o)kay [?] .
in,TRUE,FALSE,MOT: okay you hafta <put a> [/] put a comma after that [= dear mom] .
in,FALSE,TRUE,MOT: after mom@q .
in,TRUE,FALSE,MOT: dear mom .
in,FALSE,FALSE,MOT: put a comma after mom@q .
out,FALSE,FALSE,MOT: okay .
out,FALSE,FALSE,BRO: mommy .
out,FALSE,FALSE,BRO: mommy .
out,FALSE,FALSE,MOT: what ?
out,FALSE,FALSE,BRO: xxx candy .
out,FALSE,FALSE,BRO: huh ?
out,FALSE,FALSE,MOT: mm .
out,FALSE,FALSE,BRO: xxx .
in,FALSE,TRUE,MOT: oh Chi you <forgot about your> [//] (.) gotta leave a space (.) xxx .
in,TRUE,FALSE,MOT: you could take your time a little bit .
out,FALSE,FALSE,MOT: okay wait a minute .
out,FALSE,FALSE,MOT: you hafta leave a space don't you ?
out,FALSE,FALSE,MOT: <write it> [//] write those words .
in,FALSE,TRUE,MOT: you're sposta leave a space though .
out,FALSE,FALSE,MOT: (.) okay wait a minute now .
out,FALSE,FALSE,MOT: alright .
in,TRUE,FALSE,MOT: put a period ?
out,FALSE,FALSE,MOT: period .
out,FALSE,FALSE,MOT: (..) no !
out,FALSE,FALSE,MOT: &=laughs .
out,FALSE,FALSE,MOT: what's that gonna be ?
out,FALSE,FALSE,CHI: xxx .
out,FALSE,FALSE,MOT: oh xxx .
out,FALSE,FALSE,MOT: okay .
out,FALSE,FALSE,MOT: xxx love@q .
in,FALSE,TRUE,MOT: remember about the (.) space .
in,TRUE,FALSE,MOT: a little bit of space after your words .
in,FALSE,TRUE,MOT: (re)member ?
out,FALSE,FALSE,MOT: okay p@l .
in,TRUE,FALSE,MOT: (..) now you can put a period .
in,FALSE,TRUE,MOT: and can you think of anything else ?
out,FALSE,FALSE,MOT: (.) nice@q ?
in,TRUE,FALSE,MOT: what to me ?
out,FALSE,FALSE,MOT: t@l (.) o@l (.) m@l (.) e@l .
in,FALSE,TRUE,MOT: okay again [!] put your period but you forgot to put your space .
out,FALSE,FALSE,MOT: okay I'm just gonna put the e@l +...
out,FALSE,FALSE,MOT: okay that's sposta be they@q .
out,FALSE,FALSE,MOT: xxx .
out,FALSE,FALSE,MOT: okay &-um .
out,FALSE,FALSE,MOT: (..) alright xxx .
in,TRUE,FALSE,CHI: (..) how do you spell cousin@q ?
in,FALSE,TRUE,MOT: alright (.) leave a small space .
out,FALSE,FALSE,MOT: c@l (.) o@l (.) u@l (.) s@l (.) i@l (.) n@l .
out,FALSE,FALSE,MOT: &-um put an s@l .
out,FALSE,FALSE,CHI: what [?] ?
in,TRUE,FALSE,MOT: cousins you're gonna say ?
in,FALSE,FALSE,CHI: no .
out,FALSE,FALSE,MOT: give me xxx .
in,FALSE,TRUE,CHI: (..) how do you spell Tony@q ?
out,FALSE,FALSE,MOT: t@l (.) o@l (.) n@l (.) y@l .
in,TRUE,FALSE,MOT: no she's just still learning to print so some of her's you're gonna notice that should be capitalized are not and so forth .
in,FALSE,FALSE,MOT: I'm not really correcting it that much .
in,FALSE,FALSE,MOT: &-um what her teacher said it's important for them when they're first starting to write to not always correct their xxx little thing .
in,FALSE,TRUE,MOT: I don't know if you ever heard of that xxx .
in,TRUE,FALSE,MOT: but to just let them write when they're writin(g) a letter .
in,FALSE,FALSE,MOT: and then <she just> [//] she doesn't do corrections or anything but she'll just say that's a good letter you know .
in,FALSE,TRUE,MOT: and but if there are some that are &-um you know like like them .
in,TRUE,FALSE,MOT: she doesn't leave a space and so forth .
in,FALSE,FALSE,MOT: they just usually tell (th)em you should have left a space and this letter maybe she'll be .
in,FALSE,FALSE,"MOT: but not to correct every , each and every thing you don't hafta ."
in,FALSE,TRUE,MOT: that's why I'm not going along xxx that is .
in,TRUE,FALSE,MOT: sometimes then it's twice as long and the thing'll be real real messy .
in,FALSE,TRUE,MOT: could get messy you know &=0laughs it's a +...
out,FALSE,FALSE,INV2: &=laughs [<] .
out,FALSE,FALSE,MOT: that's <just the reason I'm not> [>] +/.
out,FALSE,FALSE,CHI: <how do you spell church@q> [<] ?
out,FALSE,FALSE,MOT: I'm just lettin(g) her write .
out,FALSE,FALSE,MOT: &-uh [>] .
out,FALSE,FALSE,CHI: <how do you> [<] spell xxx church@q .
out,FALSE,FALSE,MOT: yeah that's a u@l .
out,FALSE,FALSE,MOT: +^ www .
out,FALSE,FALSE,INV2: uhhuh .
out,FALSE,FALSE,MOT: &-um .
out,FALSE,FALSE,MOT: okay church is usually <an u@l &-uh> [//] a u@l but (.) see usually I just tell her the letters but xxx .
out,FALSE,FALSE,MOT: (.) I thought you knew the &-uh xxx the u@l .
out,FALSE,FALSE,MOT: church (.) on Sunday .
in,TRUE,FALSE,MOT: I'll tell you how to spell out long word .
in,FALSE,TRUE,MOT: okay a big s@l .
in,TRUE,FALSE,MOT: u@l (.) n@l (.) d@l (.) a@l (.) y@l .
out,FALSE,FALSE,MOT: www [>] .
in,FALSE,TRUE,CHI: how do you spell <c@l c@l d@l> [<] ?
in,TRUE,FALSE,CHI: c@l c@l d@l ?
in,FALSE,FALSE,MOT: okay c@l c@l d@l .
in,FALSE,FALSE,MOT: big c@l .
out,FALSE,FALSE,MOT: &~per period .
out,FALSE,FALSE,MOT: and then another (.) big c@l .
out,FALSE,FALSE,MOT: period and then a@l d@l .
out,FALSE,FALSE,CHI: 0 .
out,FALSE,FALSE,MOT: okay that could have been a big one but it's okay .
out,FALSE,FALSE,MOT: just put the period though .
in,FALSE,FALSE,MOT: they'll [= experimenters] still know .
out,FALSE,FALSE,MOT: oh good .
in,FALSE,FALSE,MOT: (.) okay (be)cause that goes xxx .
out,FALSE,FALSE,CHI: 0 .
out,FALSE,FALSE,INV2: you're all done ?
out,FALSE,FALSE,MOT: yeah .
out,FALSE,FALSE,INV1: <are you_all done> [>] Chi ?
out,FALSE,FALSE,INV2: <<can you> [/] can you> [<] +/.
out,FALSE,FALSE,INV2: can you read it to us Chi ?
in,FALSE,FALSE,MOT: can you read it now ?
in,FALSE,TRUE,CHI: dear mom .
in,TRUE,FALSE,CHI: +^ I love you .
in,FALSE,FALSE,CHI: I love you_all (.) in my heart .
in,FALSE,FALSE,SIS: Chi .
out,FALSE,FALSE,CHI: I@q +/.
out,FALSE,FALSE,MOT: okay take your time xxx .
out,FALSE,FALSE,MOT: she's reading .
in,FALSE,TRUE,CHI: I love my nana and papa .
in,TRUE,FALSE,CHI: they are nice to me .
in,FALSE,TRUE,CHI: I love (.) my cousin Joe and (.) Tony .
in,TRUE,FALSE,CHI: I go to (.) church on Sundays .
out,FALSE,FALSE,CHI: I go to c@l c@l d@l .
out,FALSE,FALSE,MOT: oh good .
out,FALSE,FALSE,INV2: very good .
out,FALSE,FALSE,INV2: thank you !
