in/out/ambiguous,start,end,Transcript
out,FALSE,FALSE,INV: what we'd like you to do is +...
out,FALSE,FALSE,CHI: oh .
out,FALSE,FALSE,INV: to write a letter to anyone in the whole wide world .
in,TRUE,FALSE,MOT: why <don't you write a letter to Julie> [>] ?
out,FALSE,FALSE,INV: <it's your letter to write> [<] (.) to someone .
out,FALSE,FALSE,INV: <and your Mom> [>] can help ya [: you] .
out,FALSE,FALSE,CHI: okay [<] .
out,FALSE,FALSE,INV: and the one thing though is that we hafta take the letter .
out,FALSE,FALSE,MOT: okay [>] .
out,FALSE,FALSE,INV: so [<] that I just want you to know that <up front> [>] .
out,FALSE,FALSE,MOT: <alright> [<] .
in,FALSE,TRUE,MOT: write today's date .
in,TRUE,FALSE,MOT: so she know what day it is .
in,FALSE,TRUE,SIS: I <like Julie> [>] .
out,FALSE,FALSE,CHI: <what date> [<] ?
in,TRUE,FALSE,SIS: +^ <she's my friend> [>] .
out,FALSE,FALSE,MOT: <today's date> [<] .
in,FALSE,FALSE,MOT: today's date .
out,FALSE,FALSE,MOT: yes .
in,FALSE,TRUE,CHI: I don't like Julie .
in,TRUE,FALSE,MOT: shh (.) be nice .
out,FALSE,FALSE,SIS: the vincey@c wincey@c leprechaun .
in,FALSE,TRUE,MOT: are you a <little sticky> [>] ?
in,TRUE,FALSE,CHI: <that how you> [<] spell date@q ?
in,FALSE,TRUE,MOT: yes <very good> [>] .
out,FALSE,FALSE,SIS: <the wincey@c> [<] wincey@c +...
in,TRUE,FALSE,CHI: comma ?
out,FALSE,FALSE,MOT: nope .
out,FALSE,FALSE,CHI: &=laughs .
out,FALSE,FALSE,MOT: &~col colon .
in,FALSE,TRUE,SIS: I'm looking up the &-um I'm looking .
in,TRUE,FALSE,MOT: colon .
in,FALSE,TRUE,MOT: where's your colons ?
out,FALSE,FALSE,CHI: huh ?
in,TRUE,FALSE,MOT: where's your colon ?
out,FALSE,FALSE,CHI: I can't hear you .
in,FALSE,FALSE,MOT: colons .
in,FALSE,FALSE,MOT: two dots .
in,FALSE,FALSE,MOT: colon .
out,FALSE,FALSE,CHI: what [=? oh] ?
in,FALSE,FALSE,CHI: two dots .
in,FALSE,FALSE,MOT: yeah colons .
out,FALSE,FALSE,INV: www &=laughs I don't even know what a colon is .
out,FALSE,FALSE,MOT: &=laughs .
out,FALSE,FALSE,MOT: today's date .
out,FALSE,FALSE,MOT: what's today's date [>] ?
out,FALSE,FALSE,CHI: hm: [<] .
