in/out/ambiguous,start,end,Transcript
out,FALSE,FALSE,MOT: you gonna write it all by yourself ?
out,FALSE,FALSE,INV: dear Eric Carle .
out,FALSE,FALSE,INV: I have a suggestion of your next book .
out,FALSE,FALSE,INV: It could be about dinosaurs .
out,FALSE,FALSE,INV: when you finish it send it to me .
out,FALSE,FALSE,INV: my zip is zip code .
out,FALSE,FALSE,INV: Chi .
out,FALSE,FALSE,CHI: I can do it I guess .
out,FALSE,FALSE,CHI: you could help me .
out,FALSE,FALSE,MOT: (.) I don't remember it to be honest with you .
out,FALSE,FALSE,CHI: wait at to know his name .
out,FALSE,FALSE,INV: &=laughs .
out,FALSE,FALSE,MOT: Eric +...
out,FALSE,FALSE,MOT: (.) Carle .
out,FALSE,FALSE,MOT: (.) with an l@l e@l at the end .
out,FALSE,FALSE,MOT: Carle .
out,FALSE,FALSE,MOT: nope .
out,FALSE,FALSE,MOT: c@l a@l r@l l@l e@l .
out,FALSE,FALSE,CHI: c@l a@l r@l +//.
out,FALSE,FALSE,CHI: oh I put the +...
out,FALSE,FALSE,MOT: &=laughs .
out,FALSE,FALSE,CHI: wrong way .
out,FALSE,FALSE,INV: &=laughs .
out,FALSE,FALSE,CHI: you sure ?
out,FALSE,FALSE,CHI: that's how you spell <care &=laughs> [//] Carle@q ?
out,FALSE,FALSE,INV: yeah it's [/] it's +...
out,FALSE,FALSE,MOT: yep .
out,FALSE,FALSE,MOT: nope nope you forgot the l@l now .
out,FALSE,FALSE,CHI: &=laughs .
out,FALSE,FALSE,MOT: l@l e@l .
out,FALSE,FALSE,CHI: this is gonna be a friendly letter or a business letter ?
out,FALSE,FALSE,INV: &=laughs .
out,FALSE,FALSE,MOT: I don't know why don't you ask her .
out,FALSE,FALSE,INV: it's up to you .
out,FALSE,FALSE,INV: +^ oh I forgot to tell you .
out,FALSE,FALSE,INV: the most important part is that we're actually gonna collect them all and send (th)em to him .
out,FALSE,FALSE,MOT: oh .
out,FALSE,FALSE,INV: so +...
out,FALSE,FALSE,CHI: is <he gonna write back to me> [>] ?
out,FALSE,FALSE,MOT: <so if you wanna> [/] [<] <if you wanna write> [>] a letter <about his book> [>] .
out,FALSE,FALSE,INV: <well hopefully> [<] .
out,FALSE,FALSE,CHI: <okay I'll write the> [<] inside my [/] my address with the inside address or &~s something .
out,FALSE,FALSE,MOT: what are you doin(g) ?
out,FALSE,FALSE,CHI: I did it wrong I hafta write the heading .
out,FALSE,FALSE,MOT: oh .
out,FALSE,FALSE,INV: (.) well you know I don't think he expects <the most> [/] the most [!] formal looking letter .
out,FALSE,FALSE,CHI: does he know kids are writin(g) to him ?
out,FALSE,FALSE,INV: no we haven't told him or anything no .
out,FALSE,FALSE,MOT: &=laughs .
out,FALSE,FALSE,INV: &-um he [//] but he lives in Massachusetts though .
out,FALSE,FALSE,MOT: oh does he ?
out,FALSE,FALSE,INV: yeah I guess he lives up in western &~Mass &-um in the Berkshires .
out,FALSE,FALSE,MOT: oh in the Berkshires .
out,FALSE,FALSE,INV: at least <I think that's where> [>] he lives .
out,FALSE,FALSE,MOT: <beautiful there> [<] .
out,FALSE,FALSE,MOT: &=laughs [>] .
out,FALSE,FALSE,INV: <yeah it's pretty up there> [<] .
out,FALSE,FALSE,MOT: expensive up there &=laughs .
out,FALSE,FALSE,INV: right you write one good book you know ?
