in/out/ambiguous,start,end,Transcript
out,FALSE,FALSE,INV1: we have one more thing to do .
out,FALSE,FALSE,CHI: what [>] ?
out,FALSE,FALSE,MOT: what [<] ?
in,TRUE,TRUE,MOT: wow look at that .
out,FALSE,FALSE,INV1: to <write &-uh> [/] write a short letter .
in,TRUE,FALSE,MOT: it's short .
in,FALSE,FALSE,CHI: what's a short [!] letter ?
out,FALSE,FALSE,MOT: &=laughs .
out,FALSE,FALSE,INV1: <to whoever you wanna write to> [>] .
in,FALSE,FALSE,CHI: <I don't have no pencil> [<] .
in,FALSE,FALSE,MOT: like you could write something to me .
in,FALSE,FALSE,CHI: or Greg .
in,FALSE,TRUE,MOT: or something to one of the kids .
out,FALSE,FALSE,CHI: or Greg .
in,TRUE,FALSE,CHI: can you help me ?
out,FALSE,FALSE,MOT: like put words together .
out,FALSE,FALSE,MOT: +^ like for [?] a sentence .
out,FALSE,FALSE,CHI: 0 .
in,FALSE,FALSE,MOT: <well you could> [//] (.) think what you wanna write .
in,FALSE,FALSE,MOT: +^ and you could ask me how to spell it .
in,FALSE,FALSE,MOT: and I could help you .
in,FALSE,FALSE,MOT: if you don't know how .
out,FALSE,FALSE,MOT: answer that xxx .
out,FALSE,FALSE,BRO: www .
in,FALSE,FALSE,CHI: what does this say ?
out,FALSE,FALSE,BRO: www [>] ?
out,FALSE,FALSE,CHI: huh [<] ?
out,FALSE,FALSE,MOT: yeah .
out,FALSE,FALSE,MOT: I'm hoping ?
out,FALSE,FALSE,BRO: www .
in,FALSE,FALSE,MOT: if you're saying happy@q that's sposta be an a@l .
out,FALSE,FALSE,BRO: www [>] .
out,FALSE,FALSE,CHI: no [<] .
out,FALSE,FALSE,CHI: I@q +...
out,FALSE,FALSE,MOT: ++ hope@q .
out,FALSE,FALSE,CHI: yeah [>] .
in,FALSE,TRUE,MOT: <so [<] you [?] put the e@l instead of a p@l [?]> [>] .
out,FALSE,FALSE,BRO: www [<] .
out,FALSE,FALSE,MOT: tell her yeah !
out,FALSE,FALSE,BRO: yeah .
out,FALSE,FALSE,SIS: <xxx this> [>] ?
out,FALSE,FALSE,MOT: <no no no> [<] no .
out,FALSE,FALSE,MOT: not this one .
out,FALSE,FALSE,MOT: e@l here .
in,TRUE,FALSE,CHI: I do it xxx .
