in/out/ambiguous,start,end,Transcript
out,FALSE,FALSE,INV1: okay (.) <this is> [//] I'm sure you've seen this book before .
out,FALSE,FALSE,@Comment: Time is 0:20
out,FALSE,FALSE,"@Comment: Chi and Mot seated next to one another on the couch , with book on Chi's lap; Mot provides words when Chi hesitates -- the majority of the longer words; Chi always repeats word after Mot give is; Mot also gives a few semantic clues , such as that warm is not hot and not cold; Chi uses both pictures and print in reading - ie , reads cake instead of chocolate cake , and Mot corrects her; in fact during Saturday foods context notes say Mot is pointing to pictures as Chi reads; at end , around cocoon page , Chi more or less gives up totally and just waits to be fed words by Mot"
out,FALSE,FALSE,INV1: it's the same book we used last year .
out,FALSE,FALSE,MOT: &=laughs .
in,TRUE,TRUE,MOT: it look like an easier one .
out,FALSE,FALSE,INV1: alright (.) now what I want you to do is translate it into Spanish .
out,FALSE,FALSE,INV1: xxx .
out,FALSE,FALSE,MOT: &=laughs .
out,FALSE,FALSE,INV1: (.) I'm kidding .
out,FALSE,FALSE,INV1: Chi was telling me all about how she's learning Spanish .
in,TRUE,FALSE,MOT: yeah (.) she loves it !
in,FALSE,FALSE,MOT: <I don't know> [/] (.) I don't know Spanish at all .
in,FALSE,FALSE,MOT: she come home with Spanish homework sometime(s) that (.) I xxx &=laughs .
in,FALSE,TRUE,MOT: I hafta get somebody that knows Spanish &=laughs to help her (be)cause I don't know it at all .
out,FALSE,FALSE,INV1: that's good (.) that's great that they [?] learn it .
out,FALSE,FALSE,MOT: mhm .
out,FALSE,FALSE,INV1: when they're this age (.) (be)cause it's so much easier than when they're older .
out,FALSE,FALSE,MOT: mhm .
out,FALSE,FALSE,BRO: 0 [=! cries out softly] .
out,FALSE,FALSE,MOT: come on now +...
out,FALSE,FALSE,BRO: &=whimpers .
out,FALSE,FALSE,MOT: <here here here here here here here> [/] here .
out,FALSE,FALSE,INV1: (.) can I borrow your pen or do you wanna take notes ?
out,FALSE,FALSE,INV2: &-um (.) yeah xxx .
in,TRUE,TRUE,MOT: you wanna look at the pages ?
out,FALSE,FALSE,MOT: &=laughs .
out,FALSE,FALSE,INV2: xxx do you need a clipboard ?
out,FALSE,FALSE,MOT: The Very Hungry Callapilla [: Caterpillar] .
out,FALSE,FALSE,BRO: ah ?
out,FALSE,FALSE,MOT: xxx .
out,FALSE,FALSE,INV1: <you've seen> [>] this one (.) right ?
out,FALSE,FALSE,MOT: xxx [<] .
out,FALSE,FALSE,INV1: so just &-um go ahead and read it to your mom +...
out,FALSE,FALSE,MOT: okay [?] .
out,FALSE,FALSE,INV1: okay ?
out,FALSE,FALSE,CHI: The Very Hungry Caterpillar .
out,FALSE,FALSE,CHI: The Very Hungry Caterpillar .
out,FALSE,FALSE,MOT: mhm .
out,FALSE,FALSE,CHI: for +...
out,FALSE,FALSE,CHI: for (.) my +...
out,FALSE,FALSE,MOT: (.) sister@q .
out,FALSE,FALSE,CHI: sister +...
out,FALSE,FALSE,MOT: (.) Christa@q .
out,FALSE,FALSE,CHI: Christa .
out,FALSE,FALSE,MOT: mhm .
out,FALSE,FALSE,CHI: in the +...
out,FALSE,FALSE,MOT: (..) light@q .
out,FALSE,FALSE,CHI: light (.) of (.) the +...
out,FALSE,FALSE,MOT: lemme [: let me] see .
out,FALSE,FALSE,CHI: moon ?
out,FALSE,FALSE,CHI: a little +...
out,FALSE,FALSE,MOT: what's that .
out,FALSE,FALSE,CHI: egg +...
out,FALSE,FALSE,MOT: (.) lay@q .
out,FALSE,FALSE,CHI: lay on a (.) leaf .
out,FALSE,FALSE,MOT: uhhuh .
out,FALSE,FALSE,CHI: (.) one (...) sunny +/.
out,FALSE,FALSE,MOT: Sunday@q .
out,FALSE,FALSE,CHI: Sunday@q +...
out,FALSE,FALSE,MOT: (.) morning@q .
out,FALSE,FALSE,CHI: morning .
out,FALSE,FALSE,BRO: 0 [=! cries out] !
out,FALSE,FALSE,CHI: the +...
in,TRUE,FALSE,MOT: (..) it's not hot it's not cold but it's what ?
out,FALSE,FALSE,BRO: (.) 0 [=! cries out] [>] !
in,FALSE,TRUE,MOT: <if you're> [<] not hot (.) if you're not cold (.) it's what ?
out,FALSE,FALSE,CHI: warm .
out,FALSE,FALSE,CHI: s:unny .
out,FALSE,FALSE,MOT: sun .
out,FALSE,FALSE,CHI: sun +...
out,FALSE,FALSE,MOT: ++ came@q .
out,FALSE,FALSE,CHI: came (.) up (.) and +...
out,FALSE,FALSE,MOT: ++ pop@q .
in,TRUE,FALSE,CHI: pop (..) out (.) of (.) the egg (.) came a +...
out,FALSE,FALSE,MOT: ++ tiny@q .
in,FALSE,TRUE,CHI: tiny (.) and (.) very (.) hungry (.) caterpillar .
out,FALSE,FALSE,MOT: mhm .
out,FALSE,FALSE,CHI: (..) he@q +...
out,FALSE,FALSE,MOT: ++ started@q .
out,FALSE,FALSE,CHI: started to (.) like .
out,FALSE,FALSE,MOT: nope look@q .
out,FALSE,FALSE,CHI: look (.) for (.) some food .
out,FALSE,FALSE,MOT: mhm .
in,TRUE,FALSE,CHI: (.) on (..) Monday (.) he +/.
out,FALSE,FALSE,MOT: mhm .
in,FALSE,FALSE,CHI: ate +...
out,FALSE,FALSE,MOT: through .
in,FALSE,FALSE,CHI: through (..) one apple .
in,FALSE,TRUE,CHI: but (.) he (.) was still hungry .
out,FALSE,FALSE,MOT: mhm .
out,FALSE,FALSE,CHI: (..) one@q +/.
out,FALSE,FALSE,MOT: on .
in,TRUE,FALSE,CHI: +^ on (.) Tuesday he (...) ate +...
out,FALSE,FALSE,MOT: (.) through@q .
out,FALSE,FALSE,CHI: through two +...
out,FALSE,FALSE,MOT: what's that ?
in,FALSE,FALSE,CHI: (.) pears@q .
