in/out/ambiguous,start,end,Transcript
out,FALSE,FALSE,INV: it's up to you what do you feel more comfortable writing with ?
out,FALSE,FALSE,@Comment: Time is 0:09
out,FALSE,FALSE,"@Comment: MOT asked Chi if he wanted to read the book first , and then he suggested she read it , so Mot read the book out loud. Mot then prompted Chi in how to start off the letter. Throughout the task , MOT suggested sentences for Chi to use in his letter , which he used. He came up with a few ideas on his own. Mot helped with spelling , grammar , punctuation , and capitalization. She also commented on how nice his cursive writing was. Chi's younger brother was present during the task and talked either to Mot and Chi or to himself throughout the whole task. (letter was not available; see end of task for Chi's reading of his letter)"
out,FALSE,FALSE,CHI: pen .
out,FALSE,FALSE,INV: okay .
out,FALSE,FALSE,MOT: and +...
out,FALSE,FALSE,CHI: where did you copy it ?
out,FALSE,FALSE,MOT: oh yeah yeah yeah yeah yeah yeah yeah .
out,FALSE,FALSE,MOT: for my sister Krista .
out,FALSE,FALSE,INV: &=laughs .
out,FALSE,FALSE,CHI: &~w &~w where did you copy it from ?
out,FALSE,FALSE,INV: I don't know .
out,FALSE,FALSE,INV: xxx .
out,FALSE,FALSE,INV: oh you know what I copied it from ?
out,FALSE,FALSE,INV: &-um Petra [= another experimenter] actually had a (.) a small version ?
out,FALSE,FALSE,INV: +^ they have a like a hand held version of this book ?
out,FALSE,FALSE,MOT: oh yeah .
out,FALSE,FALSE,INV: so <we had> [//] <we &~p> [//] we copied it from that book .
out,FALSE,FALSE,CHI: oh .
out,FALSE,FALSE,INV: but I [/] I'm not sure it's like the xxx .
out,FALSE,FALSE,MOT: should we read it again ?
out,FALSE,FALSE,MOT: and do you remember it ?
out,FALSE,FALSE,CHI: &=laughs .
out,FALSE,FALSE,MOT: wanna read it ?
out,FALSE,FALSE,INV: <or you> [//] yeah you could read it or look at it +...
in,TRUE,TRUE,CHI: or you can read it to me .
out,FALSE,FALSE,MOT: xxx [=? I'll read it] .
out,FALSE,FALSE,INV: &=laughs .
in,TRUE,FALSE,MOT: in the light of the moon <a little &~negg> [//] a little egg [!] lay on a leaf .
in,FALSE,TRUE,MOT: one Sunday morning the warm sun came up and pop [!] out_of the egg came a tiny and very hungry caterpillar .
in,TRUE,TRUE,MOT: I'm the one that's sposta pay attention .
out,FALSE,FALSE,INV: &=laughs .
out,FALSE,FALSE,MOT: show me the pictures .
out,FALSE,FALSE,INV: &=laughs .
in,TRUE,FALSE,MOT: he started to look for some food .
in,FALSE,FALSE,MOT: oh yeah yeah yeah I remember .
out,FALSE,FALSE,INV: yes &=laughs .
in,FALSE,TRUE,CHI: oh and it gets a stomachache .
out,FALSE,FALSE,MOT: +^ yeah .
in,TRUE,FALSE,MOT: on Monday [!] he ate through one apple but he was still hungry .
in,FALSE,FALSE,MOT: on Tuesday he ate through two pears but he was still [!] hungry .
in,FALSE,FALSE,MOT: on Wednesday he ate through <three plums> [!] but he was still hungry .
