in/out/ambigious,start,end,Transcript
out,FALSE,FALSE,CHE: where should this go ?
out,FALSE,FALSE,CHE: we don't need this .
out,FALSE,FALSE,CHI: (o)kay (.) now +...
out,FALSE,FALSE,CHE: <that can> [/] that can be an extra (.) &~d desk .
out,FALSE,FALSE,CHE: we can play with these people .
out,FALSE,FALSE,CHE: oh_do_do_do@wp .
out,FALSE,FALSE,CHI: (o)kay (.) now (.) she's &-um: +...
in ,TRUE,FALSE,CHE: oh (.) tend [= pretend] they were making a new road where you were .
out,FALSE,FALSE,CHI: (o)kay +...
out,FALSE,FALSE,CHI: no wait .
out,FALSE,FALSE,CHI: (o)kay where's the children ?
out,FALSE,FALSE,CHE: (ex)cuse me that's my boy .
out,FALSE,FALSE,CHI: I know it is .
out,FALSE,FALSE,CHE: xxx .
in,FALSE,FALSE,CHE: there (.) say we're doing it right behind our house (.) <in our backyard> [>] .
out,FALSE,FALSE,CHI: there [<] .
out,FALSE,FALSE,CHI: (o)kay (.) see .
out,FALSE,FALSE,CHI: look .
in,FALSE,TRUE,CHE: we're doing this in our own backyard .
out,FALSE,FALSE,CHI: where's my +/.
out,FALSE,FALSE,CHI: where's where's my +...
out,FALSE,FALSE,CHI: (o)kay (.) right here .
out,FALSE,FALSE,CHI: they're watching em .
out,FALSE,FALSE,CHE: okay .
in,TRUE,FALSE,CHE: there <you can't go> [//] you hafta go through there (.) okay ?
in,FALSE,FALSE,CHE: no you can't go there .
in,FALSE,FALSE,CHE: you hafta go over there xxx .
out,FALSE,FALSE,CHI: (o)kay .
in,FALSE,FALSE,CHI: papa is sitting down in his rocking chair .
out,FALSE,FALSE,CHE: these <people are going too> [>] .
in,FALSE,TRUE,CHI: <he's too big for the rocking chair> [<] .
out,FALSE,FALSE,CHI: look at this .
out,FALSE,FALSE,CHI: small chairs .
out,FALSE,FALSE,CHI: wait .
out,FALSE,FALSE,CHI: just wait .
out,FALSE,FALSE,CHI: I think this one +...
in,TRUE,FALSE,CHE: here's a ladder to get upstairs .
