in/out/ambiguous,start,end,Trancript
out,FALSE,FALSE,STA: Kristin .
out,FALSE,FALSE,CHI: yeah .
out,FALSE,FALSE,STA: wanna play something else ?
out,FALSE,FALSE,CHI: ho .
out,FALSE,FALSE,STA: 0 [=! giggles] .
out,FALSE,FALSE,CHI: 0 [=! giggles] .
out,FALSE,FALSE,STA: couch (.) all the drawers are gone out_of this .
out,FALSE,FALSE,CHI: eeks !
out,FALSE,FALSE,CHI: can't you do anything ?
out,FALSE,FALSE,STA: what .
out,FALSE,FALSE,CHI: the drawers just slide in .
out,FALSE,FALSE,STA: xxx .
out,FALSE,FALSE,CHI: xxx .
out,FALSE,FALSE,CHI: look at the little cupboards Krista .
out,FALSE,FALSE,STA: xxx .
out,FALSE,FALSE,CHI: look it .
out,FALSE,FALSE,CHI: look it !
out,FALSE,FALSE,CHI: look it !
out,FALSE,FALSE,CHI: xxx .
out,FALSE,FALSE,CHI: me_me_me_da@o .
out,FALSE,FALSE,STA: what is this ?
out,FALSE,FALSE,CHI: what do you think it's sposta be ?
out,FALSE,FALSE,CHI: a tree .
out,FALSE,FALSE,STA: &=laughs .
out,FALSE,FALSE,CHI: &=laughs .
out,FALSE,FALSE,STA: chairs .
out,FALSE,FALSE,CHI: tree .
out,FALSE,FALSE,STA: chairs .
out,FALSE,FALSE,STA: rocking chair (.) oops .
in,TRUE,TRUE,CHI: I think this is a weird oven .
out,FALSE,FALSE,STA: what .
out,FALSE,FALSE,CHI: xxx .
out,FALSE,FALSE,STA: picture frame .
out,FALSE,FALSE,STA: here's [!!] the tree .
out,FALSE,FALSE,"CHI: +"" bark (.) bark ."
out,FALSE,FALSE,CHI: eeks .
out,FALSE,FALSE,CHI: (.) eeks .
out,FALSE,FALSE,CHI: what's this sposta be .
out,FALSE,FALSE,STA: I don't know .
out,FALSE,FALSE,CHI: ya don't know ?
out,FALSE,FALSE,CHI: probably a book .
in,TRUE,FALSE,STA: now where's this [= small toy] susposed@n to be .
in,FALSE,FALSE,CHI: a tree .
in,FALSE,FALSE,CHI: I'll show you .
in,FALSE,FALSE,CHI: ya put it together like that .
in,FALSE,FALSE,STA: here's another one then .
out,FALSE,FALSE,CHI: 0 [=! groans] .
in,FALSE,TRUE,STA: xxx I have two girls .
out,FALSE,FALSE,CHI: &=laughs .
out,FALSE,FALSE,STA: xxx .
out,FALSE,FALSE,CHI: here (.) now look .
out,FALSE,FALSE,STA: xxx .
out,FALSE,FALSE,CHI: huh .
out,FALSE,FALSE,STA: picture frame .
out,FALSE,FALSE,STA: &=laughs .
out,FALSE,FALSE,STA: what's this xxx .
out,FALSE,FALSE,CHI: that's a house for it .
out,FALSE,FALSE,STA: I know .
out,FALSE,FALSE,STA: whoops .
out,FALSE,FALSE,STA: yeah .
out,FALSE,FALSE,CHI: xxx .
in,TRUE,FALSE,CHI: I think that's sposta be a tree .
out,FALSE,FALSE,STA: &=laughs .
in,FALSE,FALSE,STA: dresser .
in,FALSE,FALSE,CHI: what_about the sink .
in,FALSE,FALSE,CHI: the sink can go right about there .
out,FALSE,FALSE,STA: no .
out,FALSE,FALSE,STA: what_about (.) there ?
in,FALSE,FALSE,CHI: I'm gonna leave this picture frame here .
in,FALSE,TRUE,STA: I'm gonna put one up there [= the upstairs] .
out,FALSE,FALSE,CHI: hm: .
out,FALSE,FALSE,STA: xxx .
out,FALSE,FALSE,CHI: oh .
out,FALSE,FALSE,STA: what're ya +/.
out,FALSE,FALSE,CHI: look at xxx .
out,FALSE,FALSE,STA: what .
in,TRUE,FALSE,CHI: I said I don't think I'm that (.) but +/.
out,FALSE,FALSE,STA: oh I'm the xxx .
out,FALSE,FALSE,STA: oops .
out,FALSE,FALSE,CHI: what is this .
out,FALSE,FALSE,STA: bible !
in,FALSE,FALSE,CHI: put it in these little drawers .
out,FALSE,FALSE,CHI: whoopsies .
in,FALSE,FALSE,STA: bench (.) think so .
out,FALSE,FALSE,CHI: what's in that [>] drawer .
out,FALSE,FALSE,STA: <&-uh oh> [<] !
in,FALSE,FALSE,STA: whoops (.) where's the long dresser .
in,FALSE,FALSE,CHI: here .
in,FALSE,FALSE,STA: it won't fit in here .
in,FALSE,TRUE,CHI: what won't fit in there .
out,FALSE,FALSE,STA: this !
out,FALSE,FALSE,STA: (.) bible .
out,FALSE,FALSE,CHI: well .
out,FALSE,FALSE,CHI: bible .
out,FALSE,FALSE,CHI: let me see .
out,FALSE,FALSE,STA: that won't go in there .
out,FALSE,FALSE,CHI: &=laughs .
out,FALSE,FALSE,STA: what's so funny ?
out,FALSE,FALSE,STA: what's so funny Kristin .
in,TRUE,FALSE,CHI: bed (.) bed for the baby .
in,FALSE,FALSE,CHI: dresser for the baby .
in,FALSE,FALSE,STA: no .
in,FALSE,FALSE,STA: bed for the momma .
in,FALSE,FALSE,STA: yeah .
in,FALSE,FALSE,STA: dresser for the momma .
in,FALSE,FALSE,STA: but where's +/.
in,FALSE,FALSE,CHI: this [!!] is where the bibles go .
out,FALSE,FALSE,CHI: eeks .
out,FALSE,FALSE,CHI: then put this +...
in,FALSE,FALSE,CHI: it's sposta fit though .
out,FALSE,FALSE,STA: yeah .
in,FALSE,FALSE,STA: but where's the top (.) shelf .
in,FALSE,FALSE,CHI: hm: (.) I think (.) that you put it in a different thing xxx that they'll fit .
in,FALSE,TRUE,CHI: and I know how to do it .
out,FALSE,FALSE,STA: why ?
out,FALSE,FALSE,STA: (.) do you have one .
out,FALSE,FALSE,CHI: no .
out,FALSE,FALSE,CHI: I just know how to do it .
out,FALSE,FALSE,STA: xxx .
out,FALSE,FALSE,CHI: it doesn't work .
out,FALSE,FALSE,STA: what [!!] .
out,FALSE,FALSE,STA: Kris ?
out,FALSE,FALSE,STA: it <doesn't work> [>] ?
out,FALSE,FALSE,CHI: xxx [<] .
out,FALSE,FALSE,STA: xxx [>] .
in,TRUE,FALSE,CHI: I don't think they all will fit in there .
out,FALSE,FALSE,STA: xxx .
out,FALSE,FALSE,CHI: eeks .
in,FALSE,FALSE,CHI: fits (.) I should say it don't work .
in,FALSE,FALSE,CHI: guess we'll hafta leave it open .
oin,FALSE,FALSE,CHI: take that (.) leave this blue bible out .
out,FALSE,FALSE,STA: what are those .
in,FALSE,TRUE,CHI: that's the only bible that's in the box .
in,FALSE,FALSE,CHI: the house is too full .
out,FALSE,FALSE,STA: &=laughs .
out,FALSE,FALSE,CHI: xxx .
out,FALSE,FALSE,STA: oh well .
out,FALSE,FALSE,CHI: &=laughs .
out,FALSE,FALSE,STA: the roof isn't full .
out,FALSE,FALSE,CHI: &=laughs .
out,FALSE,FALSE,STA: &=laughs .
out,FALSE,FALSE,STA: xxx take that [= dresser] out and xxx .
out,FALSE,FALSE,CHI: and set the little dresser on the bed .
out,FALSE,FALSE,STA: no .
out,FALSE,FALSE,CHI: &=laughs .
out,FALSE,FALSE,CHI: whoops .
out,FALSE,FALSE,STA: xxx and put this back in .
out,FALSE,FALSE,CHI: it doesn't look like a real house Krista .
out,FALSE,FALSE,STA: what .
out,FALSE,FALSE,CHI: doesn't look like a real house .
out,FALSE,FALSE,STA: yeah so ?
out,FALSE,FALSE,CHI: frying pan zun_zun_zun@o .
out,FALSE,FALSE,STA: &=laughs .
out,FALSE,FALSE,CHI: stove .
out,FALSE,FALSE,STA: &=laughs .
out,FALSE,FALSE,CHI: where's the stove .
out,FALSE,FALSE,STA: right here .
out,FALSE,FALSE,CHI: right by the sink .
out,FALSE,FALSE,CHI: ahhah .
out,FALSE,FALSE,CHI: and (.) the frying pan goes (.) right there .
out,FALSE,FALSE,STA: oops .
out,FALSE,FALSE,STA: &-um (.) where should this [= washboard] go ?
out,FALSE,FALSE,STA: xxx .
out,FALSE,FALSE,CHI: what's sposta be .
out,FALSE,FALSE,STA: I don't know .
out,FALSE,FALSE,CHI: sposta xxx .
out,FALSE,FALSE,STA: oops (.) there .
out,FALSE,FALSE,STA: now +...
out,FALSE,FALSE,CHI: eeks !
