in/out/ambiguous,start,end,Transcript
out,FALSE,FALSE,CHI: I'm gonna use +...
out,FALSE,FALSE,CHR: yeah !
in,TRUE,FALSE,CHI: I take this one .
in,FALSE,TRUE,CHR: I take (.) duh (.) I take this one .
out,FALSE,FALSE,CHR: ooeee@o .
out,FALSE,FALSE,CHI: I'll load you up .
out,FALSE,FALSE,CHR: okay .
out,FALSE,FALSE,CHI: watch out !
out,FALSE,FALSE,CHI: get back there .
otu,FALSE,FALSE,CHR: I can't .
out,FALSE,FALSE,CHI: get back over here .
out,FALSE,FALSE,CHR: vroom@o .
out,FALSE,FALSE,CHI: wait a second .
in,TRUE,TRUE,CHI: let's put <the whole lot> [>] +...
out,FALSE,FALSE,CHR: <vroom@o> [<] vroom@o .
in,TRUE,TRUE,CHR: this guy can load himself up .
out,FALSE,FALSE,CHR: vroom vroom@o .
out,FALSE,FALSE,CHI: xxx .
out,FALSE,FALSE,CHR: okay you .
out,FALSE,FALSE,CHR: xxx (.) baa@wp .
in,TRUE,FALSE,CHI: ah there goes all the shovels .
out,FALSE,FALSE,CHR: oh no you don't .
in,FALSE,TRUE,CHR: &~i I'm keeping this [= truck compartments] (.) shut up tight .
in,TRUE,FALSE,CHR: shoot [!!] it's not playdough .
out,FALSE,FALSE,CHR: yeah !
in,FALSE,TRUE,CHR: load this up with playdough !
out,FALSE,FALSE,CHI: no .
in,TRUE,FALSE,CHI: you just go like that .
in,FALSE,FALSE,CHR: I know that .
in,FALSE,TRUE,CHR: thanks for reminding me (.) I didn't +...
in,TRUE,FALSE,CHI: <oh &~t this> [//] that ain't a dump truck .
out,FALSE,FALSE,CHR: what is it ?
out,FALSE,FALSE,CHI: it's xxx .
in,FALSE,TRUE,CHR: it's also a dump truck .
out,FALSE,FALSE,CHR: whatever +...
out,FALSE,FALSE,CHI: oh [>] .
out,FALSE,FALSE,CHR: <there [!!]> [<] .
in,TRUE,TRUE,CHR: they attached it [= side flap on truck] .
out,FALSE,FALSE,CHI: xxx .
out,FALSE,FALSE,CHR: now [>] I +/.
in,TRUE,TRUE,CHI: <here's> [<] my dump truck .
out,FALSE,FALSE,CHR: you gotta dump truck ?
out,FALSE,FALSE,CHI: yup .
out,FALSE,FALSE,CHR: yup (.) yeah .
out,FALSE,FALSE,CHR: oh neat !
in,TRUE,TRUE,CHR: I can make cement !
out,FALSE,FALSE,CHR: <don't put> [>] +...
out,FALSE,FALSE,CHI: xxx [<] .
out,FALSE,FALSE,CHR: xxx .
out,FALSE,FALSE,CHR: Adam .
out,FALSE,FALSE,CHI: what ?
out,FALSE,FALSE,CHR: look it (.) that .
out,FALSE,FALSE,CHR: look (.) that +...
out,FALSE,FALSE,CHI: who cares ?
in,TRUE,TRUE,CHI: let's set up this .
out,FALSE,FALSE,CHR: okay .
out,FALSE,FALSE,CHI: barricade here .
out,FALSE,FALSE,CHR: wheelbarrow [>] .
out,FALSE,FALSE,CHI: xxx [<] .
in,TRUE,FALSE,CHR: <<I gotta take> [/] I gotta take> [>] (.) some tools with us .
out,FALSE,FALSE,CHI: <vroom@o> [<] .
in,FALSE,TRUE,CHR: I need the wheelbarrow .
out,FALSE,FALSE,CHR: what else do we need ?
out,FALSE,FALSE,CHR: <&~ah [!!] shovels> [>] !
out,FALSE,FALSE,CHI: <vroom@o> [<] .
out,FALSE,FALSE,CHR: Adam ?
in,TRUE,TRUE,CHR: Adam I got some shovels for us .
out,FALSE,FALSE,CHR: okay ?
out,FALSE,FALSE,CHI: vroom@o .
out,FALSE,FALSE,CHR: Adam ?
in,TRUE,FALSE,CHI: &-um: you carry the medicine kit (.) right there .
out,FALSE,FALSE,CHR: yeah .
out,FALSE,FALSE,CHR: no +/.
out,FALSE,FALSE,CHI: no .
out,FALSE,FALSE,CHI: &~t the other guy does .
in,FALSE,TRUE,CHR: I'm driving that's why I can't take it .
out,FALSE,FALSE,CHR: daa@wp .
out,FALSE,FALSE,CHR: now let's see .
out,FALSE,FALSE,CHI: hafta put up xxx .
out,FALSE,FALSE,CHR: Adam !
in,TRUE,FALSE,CHI: that [/] that was from the shovels .
out,FALSE,FALSE,CHI: this +...
in,FALSE,FALSE,CHR: put this stuff in there .
in,FALSE,TRUE,CHI: you can throw all this +...
in,TRUE,TRUE,CHR: ah (.) here's another shovel .
out,FALSE,FALSE,CHI: this .
out,FALSE,FALSE,CHI: <an this> [>] .
out,FALSE,FALSE,CHR: <ow:> [<] !
in,TRUE,TRUE,CHR: it hurt .
in,TRUE,FALSE,CHR: Adam you're forgetting one .
out,FALSE,FALSE,CHR: Adam .
out,FALSE,FALSE,CHI: I know that .
out,FALSE,FALSE,CHI: put it in my +...
out,FALSE,FALSE,CHR: loader .
out,FALSE,FALSE,CHI: loader .
out,FALSE,FALSE,CHI: no .
out,FALSE,FALSE,CHI: skid steer .
out,FALSE,FALSE,CHR: whatever .
out,FALSE,FALSE,CHI: rrrr@o .
out,FALSE,FALSE,CHR: Adam .
in,FALSE,TRUE,CHR: you put it in there ?
in,TRUE,FALSE,CHI: now this guy carries them away .
in,FALSE,TRUE,CHR: I could take stuff in here .
in,TRUE,TRUE,CHR: let's see Adam .
out,FALSE,FALSE,CHI: huh ?
out,FALSE,FALSE,CHR: watcha [: what are you] doin(g) ?
out,FALSE,FALSE,CHR: tools !
in,TRUE,FALSE,CHR: we need tools .
in,FALSE,TRUE,CHR: Adam I'm putting tools in here .
out,FALSE,FALSE,CHR: okay ?
out,FALSE,FALSE,CHI: okay .
out,FALSE,FALSE,CHI: there .
in,TRUE,TRUE,CHI: here he comes (.) with a load .
out,FALSE,FALSE,CHR: I don't xxx .
out,FALSE,FALSE,CHR: whoa !
out,FALSE,FALSE,CHI: there (.) there .
out,FALSE,FALSE,CHR: Adam ?
out,FALSE,FALSE,CHI: what ?
in,TRUE,FALSE,CHR: should we take &-um: this thing with us ?
out,FALSE,FALSE,CHI: yeah .
in,FALSE,TRUE,CHI: it's a saw .
out,FALSE,FALSE,CHR: okay .
out,FALSE,FALSE,CHR: shut .
in,TRUE,TRUE,CHR: she's in my back .
out,FALSE,FALSE,CHR: Adam .
in,TRUE,FALSE,CHR: I think I need you .
out,FALSE,FALSE,CHI: why ?
in,FALSE,FALSE,CHR: is your dumptruck big enough for all this ?
in,FALSE,FALSE,CHR: cause I need some more room .
in,FALSE,FALSE,CHR: cause I needta take that with us .
in,FALSE,TRUE,CHI: <you carry that and I'll> [//] you carry that and mine'll carry this !
out,FALSE,FALSE,CHR: hm:: (.) let's see Adam .
out,FALSE,FALSE,CHR: xxx [>] .
in,TRUE,TRUE,CHI: <hey this> [<] hooks into something .
out,FALSE,FALSE,CHI: here .
out,FALSE,FALSE,CHI: okay .
out,FALSE,FALSE,CHR: Adam Adam .
in,TRUE,FALSE,CHR: here's some more workmen for us .
out,FALSE,FALSE,CHR: here .
in,FALSE,TRUE,CHR: put that guy in here .
in,TRUE,FALSE,CHR: oh you need a driver .
in,FALSE,FALSE,CHI: here I've got one .
out,FALSE,FALSE,CHR: where ?
out,FALSE,FALSE,CHR: I don't +...
in,FALSE,TRUE,CHR: he wants to drive it .
in,TRUE,TRUE,CHR: Adam here is one more man .
out,FALSE,FALSE,CHR: where shall we put him ?
out,FALSE,FALSE,CHI: I don't want that xxx .
out,FALSE,FALSE,CHR: that's a girl .
out,FALSE,FALSE,CHI: oh no it ain't .
out,FALSE,FALSE,CHR: baa@wp .
out,FALSE,FALSE,CHR: baa@wp (.) wrong place .
out,FALSE,FALSE,CHR: Adam .
in,TRUE,TRUE,CHR: here me come ready or not .
in,TRUE,TRUE,CHI: put up the barricade here .
out,FALSE,FALSE,CHR: vroom@o .
in,TRUETRUE,FALSE,CHI: now (.) sign up xxx road block .
out,FALSE,FALSE,INV: you'll hafta talk up louder cause we're taping you .
out,FALSE,FALSE,CHR: okay .
out,FALSE,FALSE,CHI: okay .
out,FALSE,FALSE,INV: okay okay thanks .
ou,FALSE,FALSE,CHI: okay .
out,FALSE,FALSE,CHR: Adam get ready .
out,FALSE,FALSE,CHI: okay .
out,FALSE,FALSE,CHR: 0 [=! soft laugh] .
out,FALSE,FALSE,CHR: bang bang bang@o .
out,FALSE,FALSE,CHI: <&~a:h:> [>] .
out,FALSE,FALSE,CHR: <0 [=! noises]> [<] .
out,FALSE,FALSE,CHR: falls right out .
out,FALSE,FALSE,CHI: slam .
out,FALSE,FALSE,CHR: okay .
in,TRUE,FALSE,CHR: get it ready Adam .
in,FALSE,TRUE,CHR: cause I'm the saw [?] .
out,FALSE,FALSE,CHR: whoa !
in,TRUE,FALSE,CHR: I hafta keep the tools with us .
in,FALSE,TRUE,CHI: we hafta keep the tools in the truck so_that we can just come up and get them .
out,FALSE,FALSE,CHR: yeah (.) right .
in,TRUE,FALSE,CHR: and I hafta take this kit with us .
in,FALSE,FALSE,CHR: do you know a safe place for this Adam ?
out,FALSE,FALSE,CHI: what ?
out,FALSE,FALSE,CHR: this <the kit> [>] .
out,FALSE,FALSE,CHI: xxx [<] .
in,FALSE,TRUE,CHR: I don't know if I can find a safe place .
in,TRUE,FALSE,CHI: I'll trade ya this dumper .
in,FALSE,FALSE,CHI: it can fit this [= cement mixer] in .
out,FALSE,FALSE,CHR: no .
in,FALSE,FALSE,CHR: put it in this Adam (.) put it in .
in,FALSE,FALSE,CHR: I'll even show you .
out,FALSE,FALSE,CHR: see ?
in,FALSE,FALSE,CHI: this guy can fit it like that .
out,FALSE,FALSE,CHR: no .
in,FALSE,FALSE,CHR: I don't wanna trade (.) (o)kay ?
out,FALSE,FALSE,CHR: Adam .
out,FALSE,FALSE,CHI: what ?
in,FALSE,TRUE,CHR: if you let me &~i I'll let you use mine and I can use yours .
out,FALSE,FALSE,CHI: that ?
out,FALSE,FALSE,CHR: yeah .
out,FALSE,FALSE,CHI: sure .
out,FALSE,FALSE,CHR: okay .
out,FALSE,FALSE,CHR: <not yet> [/] not yet .
in,TRUE,FALSE,CHR: I hafta load this in first .
out,FALSE,FALSE,CHR: there .
