in/out/ambiguous,start,end,Transcript
out,FALSE,FALSE,JOH: do ya wanna play with the house ?
out,FALSE,FALSE,CHI: mhm .
out,FALSE,FALSE,JOH: (o)kay watch out .
out,FALSE,FALSE,JOH: let's move it over here .
out,FALSE,FALSE,CHI: okay .
out,FALSE,FALSE,JOH: okay .
out,FALSE,FALSE,JOH: we better do that .
out,FALSE,FALSE,JOH: (o)kay where should this stove go ?
out,FALSE,FALSE,JOH: right here .
out,FALSE,FALSE,CHI: no .
out,FALSE,FALSE,CHI: that's the door .
out,FALSE,FALSE,CHI: no .
out,FALSE,FALSE,CHI: that's where this (i)s sposta go cause there's a mirror on top of it .
out,FALSE,FALSE,CHI: this bench should go outside somewhere .
out,FALSE,FALSE,CHI: there's a door .
out,FALSE,FALSE,CHI: you're right at the door .
out,FALSE,FALSE,JOH: so ?
out,FALSE,FALSE,JOH: whoopsie .
out,FALSE,FALSE,CHI: yup the stove can go back in there .
out,FALSE,FALSE,CHI: (.) xxx .
out,FALSE,FALSE,JOH: the bear is +...
out,FALSE,FALSE,JOH: the rocking chair's gonna fall out the door .
out,FALSE,FALSE,CHI: xxx .
out,FALSE,FALSE,JOH: there's not very much room .
out,FALSE,FALSE,CHI: there's not very much room for all of these [= furniture] .
out,FALSE,FALSE,CHI: you can put <some more stuff up here [= the top storey]> [>] .
out,FALSE,FALSE,JOH: <what's this elevator> [<] ?
out,FALSE,FALSE,CHI: yow !
out,FALSE,FALSE,JOH: what ?
out,FALSE,FALSE,CHI: 0 [=! hums] .
out,FALSE,FALSE,CHI: here's a book !
out,FALSE,FALSE,CHI: here's a book .
out,FALSE,FALSE,CHI: what's that book ?
out,FALSE,FALSE,CHI: here's a book .
out,FALSE,FALSE,JOH: no .
out,FALSE,FALSE,JOH: put it in the box .
out,FALSE,FALSE,JOH: no (.) this [= dresser] .
out,FALSE,FALSE,CHI: there's a book shelf .
out,FALSE,FALSE,JOH: <here's xxx> [>] .
out,FALSE,FALSE,CHI: <put it up here> [<] .
out,FALSE,FALSE,JOH: where's the <book shelf> [>] ?
out,FALSE,FALSE,CHI: <put the book up here> [<] .
out,FALSE,FALSE,CHI: put the book up here .
out,FALSE,FALSE,JOH: okay (.) oh okay .
out,FALSE,FALSE,CHI: come on put xxx [>] .
out,FALSE,FALSE,JOH: <oh this is> [<] +/.
out,FALSE,FALSE,CHI: wow !
out,FALSE,FALSE,CHI: wow !
out,FALSE,FALSE,CHI: these dressers are falling apart .
out,FALSE,FALSE,JOH: oh oh .
out,FALSE,FALSE,CHI: 0 [=! hums] .
out,FALSE,FALSE,CHI: isn't this fun ?
out,FALSE,FALSE,JOH: yeah .
out,FALSE,FALSE,JOH: better than (.) when we're in the classroom .
out,FALSE,FALSE,JOH: isn't it ?
out,FALSE,FALSE,CHI: yes .
out,FALSE,FALSE,JOH: I think so too .
out,FALSE,FALSE,JOH: now we don't hafta do our thing do we ?
out,FALSE,FALSE,CHI: no .
out,FALSE,FALSE,CHI: I hafta make it anyways xxx .
out,FALSE,FALSE,JOH: what ?
out,FALSE,FALSE,CHI: I have [//] needta make one .
out,FALSE,FALSE,JOH: yeah .
out,FALSE,FALSE,JOH: so you don't hafta worry about anything do ya ?
out,FALSE,FALSE,CHI: nope .
out,FALSE,FALSE,JOH: <what ya doin(g) there sir> [>] ?
in,TRUE,FALSE,CHI: <big papa> [<] bear .
in,FALSE,FALSE,JOH: catchin(g) polar bears sir .
in,FALSE,FALSE,JOH: hm: <there's> [>] a_lot_of things .
in,FALSE,FALSE,CHI: <there's a xxx> [<] .
in,FALSE,FALSE,JOH: oh here's one (.) I found something .
in,FALSE,FALSE,CHI: I found a sink .
in,FALSE,TRUE,JOH: hm: here's a cupboard .
out,FALSE,FALSE,JOH: see ?
out,FALSE,FALSE,CHI: thanks .
out,FALSE,FALSE,JOH: ah (a)nother one .
out,FALSE,FALSE,CHI: this is fun moving in here .
out,FALSE,FALSE,CHI: oh !
out,FALSE,FALSE,CHI: oh !
out,FALSE,FALSE,CHI: whoa !
in,TRUE,FALSE,CHI: this has fallen (.) from this story at the top .
in,FALSE,FALSE,CHI: xxx (.) I'll move over from grandma bear .
out,FALSE,FALSE,CHI: xxx .
out,FALSE,FALSE,JOH: okay +/.
in,FALSE,FALSE,CHI: I'm staying at the window (.) so I can see what's happening (.) outside .
in,FALSE,FALSE,CHI: put some stuff <under his bed> [>] .
in,FALSE,FALSE,JOH: <here here> [<] here's something .
in,FALSE,FALSE,CHI: put some stuff under his bed .
out,FALSE,FALSE,JOH: okay .
in,FALSE,TRUE,JOH: the bed 0 is broken .
out,FALSE,FALSE,JOH: here's something you can do .
out,FALSE,FALSE,CHI: xxx .
out,FALSE,FALSE,JOH: the back [?] .
out,FALSE,FALSE,JOH: oh how many drawers is there in this house ?
out,FALSE,FALSE,CHI: there's one .
out,FALSE,FALSE,JOH: no .
out,FALSE,FALSE,JOH: drawers !
out,FALSE,FALSE,CHI: drawers drawers drawers .
out,FALSE,FALSE,CHI: I don't know .
