in/out/ambiguous,start,end,Transcript
out,FALSE,FALSE,INV: the last [!] thing we have you guys do together (.) is +...
out,FALSE,FALSE,INV: www .
out,FALSE,FALSE,MOT: www .
out,FALSE,FALSE,INV: <we had this> [//] we brought these stuff [= magnets] to you about four years ago when we came to visit .
out,FALSE,FALSE,INV: and [>] +...
out,FALSE,FALSE,MOT: oh [<] !
out,FALSE,FALSE,MOT: I xxx remember .
out,FALSE,FALSE,INV: we were hopin(g) to get you guys to work with them [= magnets] again for about ten minutes or so .
out,FALSE,FALSE,INV: &-um and just +...
out,FALSE,FALSE,INV: you know .
out,FALSE,FALSE,INV: oh my look at that .
out,FALSE,FALSE,CHI: oh !
out,FALSE,FALSE,CHI: a humongous magnet [= black base] !
out,FALSE,FALSE,CHI: cool !
out,FALSE,FALSE,INV: yeah .
out,FALSE,FALSE,INV: so just (.) fiddle away (.) for about ten [>] minutes or so .
out,FALSE,FALSE,CHI: oh [<] !
out,FALSE,FALSE,INV: if [/] if +/.
out,FALSE,FALSE,MOT: we're gonna play with toys Fat .
out,FALSE,FALSE,FAT: hm: that's fine .
out,FALSE,FALSE,INV: &=laughs .
out,FALSE,FALSE,MOT: do you want us both [= Mot and Chi playing together] ?
out,FALSE,FALSE,INV: yeah !
out,FALSE,FALSE,MOT: +^ to like +...
out,FALSE,FALSE,INV: together .
out,FALSE,FALSE,INV: <&~w &~wa whatever> [//] (.) however you wanna do it [= play] .
out,FALSE,FALSE,INV: just fiddle around with them [= toys] for a bit .
out,FALSE,FALSE,CHI: &~w wait [>] wait wait wait wait wait wait !
out,FALSE,FALSE,MOT: xxx [<] .
out,FALSE,FALSE,CHI: <let me see let me see> [>] !
out,FALSE,FALSE,MOT: <what what what what what what what> [<] ?
out,FALSE,FALSE,MOT: watch [/] watch what your +...
out,FALSE,FALSE,MOT: (le)t us see if we can make things move .
out,FALSE,FALSE,CHI: 0 [=! clears throat] [>] .
out,FALSE,FALSE,MOT: <xxx these> [<] [>] .
out,FALSE,FALSE,INV: thanks [<] Sis .
out,FALSE,FALSE,MOT: here .
out,FALSE,FALSE,MOT: wanna put [>] this [= referent unclear] right over there on that side ?
out,FALSE,FALSE,CHI: hey [<] !
out,FALSE,FALSE,CHI: no !
out,FALSE,FALSE,CHI: <I don't want it &~th> [>] +...
out,FALSE,FALSE,MOT: <okay here you are> [<] .
out,FALSE,FALSE,CHI: I don't want it .
out,FALSE,FALSE,CHI: I want that [= referent unclear] right there .
out,FALSE,FALSE,CHI: I wanna make an eyeball face .
out,FALSE,FALSE,MOT: an eyeball face ?
out,FALSE,FALSE,MOT: okay .
out,FALSE,FALSE,MOT: hey you know what we can use for an eyeball face ?
out,FALSE,FALSE,INV: (wh)oopsie this came off .
out,FALSE,FALSE,MOT: lemme [: let me] just xxx <right on here> [>] .
out,FALSE,FALSE,CHI: that'll [= black base?] be the face .
out,FALSE,FALSE,CHI: and this [= magnetic ball] is [>] +/.
out,FALSE,FALSE,INV: www .
out,FALSE,FALSE,MOT: www .
out,FALSE,FALSE,SIS: &=whines .
out,FALSE,FALSE,INV: xxx .
out,FALSE,FALSE,MOT: sit in back of me .
out,FALSE,FALSE,MOT: +^ sit in back of me .
out,FALSE,FALSE,CHI: uhoh [>] !
out,FALSE,FALSE,MOT: <sit in back> [<] .
out,FALSE,FALSE,MOT: no no no [=! exasperated sigh] .
out,FALSE,FALSE,SIS: no .
out,FALSE,FALSE,INV: &=chuckles .
out,FALSE,FALSE,MOT: sit in back of me .
out,FALSE,FALSE,CHI: there you go !
out,FALSE,FALSE,CHI: <I did it> [>] !
out,FALSE,FALSE,MOT: <or you're gonna sit in my lap> [<] .
out,FALSE,FALSE,MOT: no .
out,FALSE,FALSE,MOT: just <put that> [//] use that [= magnetic ball] as a nose .
out,FALSE,FALSE,CHI: no .
out,FALSE,FALSE,CHI: I want this [= magnetic ball] .
out,FALSE,FALSE,CHI: I wanna do this .
out,FALSE,FALSE,CHI: <I wanna do this> [>] .
out,FALSE,FALSE,SIS: &=sighs [<] .
out,FALSE,FALSE,CHI: 0 .
out,FALSE,FALSE,SIS: whoa bing .
out,FALSE,FALSE,MOT: 0 .
out,FALSE,FALSE,CHI: 0 .
out,FALSE,FALSE,CHI: 0 .
out,FALSE,FALSE,MOT: is [//] I hope this isn't a problem with her [= Sis] being here .
out,FALSE,FALSE,CHI: 0 .
out,FALSE,FALSE,INV: no .
out,FALSE,FALSE,MOT: (be)cause I could have had her <somewhere else> [>] but +...
out,FALSE,FALSE,CHI: shoot [=? shit] [<] .
out,FALSE,FALSE,MOT: 0 .
out,FALSE,FALSE,MOT: ah .
out,FALSE,FALSE,MOT: go ahead .
out,FALSE,FALSE,MOT: 0 .
out,FALSE,FALSE,CHI: no no .
out,FALSE,FALSE,CHI: I want +...
out,FALSE,FALSE,MOT: 0 .
out,FALSE,FALSE,CHI: h::ey !
out,FALSE,FALSE,CHI: 0 .
out,FALSE,FALSE,INV: &=laughs .
out,FALSE,FALSE,CHI: 0 .
out,FALSE,FALSE,MOT: 0 .
out,FALSE,FALSE,CHI: get [//] no no you don't .
out,FALSE,FALSE,MOT: no no no no .
out,FALSE,FALSE,MOT: hey !
out,FALSE,FALSE,MOT: +^ listen lady !
out,FALSE,FALSE,MOT: listen girl [>] .
out,FALSE,FALSE,CHI: &=laughs [<] !
out,FALSE,FALSE,INV: &=laughs .
out,FALSE,FALSE,MOT: 0 .
out,FALSE,FALSE,CHI: oh cool !
out,FALSE,FALSE,CHI: I [/] I'm gettin(g) this guy [= silver man] .
out,FALSE,FALSE,CHI: here's a dime .
out,FALSE,FALSE,INV: oh that's part of it [= collection of toys] .
out,FALSE,FALSE,CHI: 0 .
