in/out/ambiguous,start,end,Transcript
out,FALSE,FALSE,INV: do you want a pencil or a pen ?
out,FALSE,FALSE,@Comment: Time is 0:08
out,FALSE,FALSE,INV: dear Mister Carl .
out,FALSE,FALSE,INV: what made you come up with the holes through the fruit ?
out,FALSE,FALSE,INV: I liked the book .
out,FALSE,FALSE,INV: from Chi .
out,FALSE,FALSE,"@Comment: Chi is hesitant to write and takes a long time to get started. Mot provides most of the ideas for Chi's letter , including bringing up the holes through the pages. EXP also gives Chi idea of signing the letter. Chi pays close attention to proper spelling and is often prompted to do so by Mot. Chi does not want Mot to be able to see her work , and writes for most of the time with one arm shielding the page"
out,FALSE,FALSE,CHI: a pencil .
out,FALSE,FALSE,INV: okay .
out,FALSE,FALSE,INV: let's see what I got in here .
out,FALSE,FALSE,MOT: do you want her to read that [= The Very Hungry Caterpillar book] out loud ?
out,FALSE,FALSE,INV: &-um no <it's really> [//] [>] that's up to you .
out,FALSE,FALSE,MOT: <oh okay> [<] .
out,FALSE,FALSE,INV: it's more for you <if you wanna [: wanna ]> [/] if you wanna [: wanna] read it and [/] and acquaint yourself with it again or (.) if you just wanna look through it .
out,FALSE,FALSE,INV: (.) &-um however what's it [//] the easiest for you .
out,FALSE,FALSE,INV: xxx .
out,FALSE,FALSE,@Comment: Time is 0:31
out,FALSE,FALSE,MOT: www .
out,FALSE,FALSE,INV: www .
out,FALSE,FALSE,INV: yeah that's Eric himself .
out,FALSE,FALSE,@Comment: Time is 2:56
out,FALSE,FALSE,INV: (.) he lives in Massachusetts .
out,FALSE,FALSE,@Comment: Time is 3:00
out,FALSE,FALSE,CHI: what state ?
out,FALSE,FALSE,CHI: Massachusetts .
out,FALSE,FALSE,INV: Massachusetts [!] .
out,FALSE,FALSE,INV: <got it> [>] !
out,FALSE,FALSE,CHI: <a hey> [<] hey hey .
out,FALSE,FALSE,INV: (.) I think he lives in the western part of the state .
out,FALSE,FALSE,INV: up near (.) <you know (.)> [>] in the Berkshires .
out,FALSE,FALSE,MOT: <oh in this state> [<] ?
out,FALSE,FALSE,INV: yeah .
out,FALSE,FALSE,INV: that's where he lives .
out,FALSE,FALSE,@Comment: Time is 3:20
out,FALSE,FALSE,MOT: (.) www .
out,FALSE,FALSE,INV: www .
in,TRUE,TRUE,MOT: (..) she hates to write .
out,FALSE,FALSE,@Comment: Time is 4:22
out,FALSE,FALSE,INV: I know xxx .
out,FALSE,FALSE,INV: well just you know you can tell him about yourself .
out,FALSE,FALSE,INV: you can say [//] tell him what's [//] what you like about the book .
out,FALSE,FALSE,MOT: or you done ?
out,FALSE,FALSE,INV: just to let you know know .
out,FALSE,FALSE,CHI: mhm .
out,FALSE,FALSE,INV: it doesn't hafta be super long .
out,FALSE,FALSE,CHI: &=laughs .
out,FALSE,FALSE,INV: (.) that's right we do set aside a little you know time limit so_that you know you don't hafta be worried about having to write so much .
in,TRUE,TRUE,MOT: (.) my dryer is loud .
out,FALSE,FALSE,INV: yeah .
out,FALSE,FALSE,INV: the dryer's loud .
out,FALSE,FALSE,@Comment: Time is 5:00
out,FALSE,FALSE,CHI: (..) &=laughs .
out,FALSE,FALSE,INV: thanks .
out,FALSE,FALSE,INV: do you wanna keep this for his name ?
out,FALSE,FALSE,INV: can you spell his name ?
in,TRUE,FALSE,CHI: oh I don't know what to do [//] write .
out,FALSE,FALSE,MOT: do I help her ?
out,FALSE,FALSE,INV: yeah .
out,FALSE,FALSE,MOT: xxx <why don't you> [//] how do start at any letter ?
out,FALSE,FALSE,CHI: &-um dear@q +...
out,FALSE,FALSE,MOT: Mister@q +...
out,FALSE,FALSE,CHI: ++ Carle@q .
out,FALSE,FALSE,MOT: right !
out,FALSE,FALSE,MOT: Carlisle@q ?
out,FALSE,FALSE,CHI: <Eric Carle> [>] .
out,FALSE,FALSE,INV: <&-um Carle> [<] .
out,FALSE,FALSE,MOT: alright .
out,FALSE,FALSE,INV: yeah !
in,FALSE,TRUE,MOT: well that's how you start .
out,FALSE,FALSE,CHI: &=laughs .
out,FALSE,FALSE,INV: good job .
out,FALSE,FALSE,CHI: (..) what's his name ?
out,FALSE,FALSE,CHI: Eric Carle ?
out,FALSE,FALSE,MOT: yeah [>] .
out,FALSE,FALSE,INV: mhm [<] .
out,FALSE,FALSE,CHI: c@l a@l r@l l@l e@l .
out,FALSE,FALSE,CHI: (.) okay .
out,FALSE,FALSE,@Comment: Time is 6:00
in,TRUE,FALSE,MOT: (..) my husband's gettin(g) excited over the game tonight .
out,FALSE,FALSE,INV: it's a big one .
out,FALSE,FALSE,MOT: is it ?
in,FALSE,TRUE,MOT: I [/] I don't really follow them .
out,FALSE,FALSE,INV: xxx two big [>] conference bowls xxx .
out,FALSE,FALSE,CHI: &=laughs [<] .
out,FALSE,FALSE,MOT: right .
out,FALSE,FALSE,MOT: BC [= Boston College] and who ?
out,FALSE,FALSE,INV: &-uh Notre Dame .
out,FALSE,FALSE,MOT: oh .
out,FALSE,FALSE,CHI: (.) hm: .
out,FALSE,FALSE,MOT: alright .
out,FALSE,FALSE,MOT: so (.) do you like this book ?
out,FALSE,FALSE,MOT: well (.) don't you think maybe you should tell him ?
