in/out/ambiguous,start,end,Transcript
out,FALSE,FALSE,INV1: well what we're going to do is .
out,FALSE,FALSE,CHI: write .
out,FALSE,FALSE,INV1: write a letter .
out,FALSE,FALSE,INV1: she's cool .
out,FALSE,FALSE,MOT: <see xxx> [>] .
out,FALSE,FALSE,CHI: yeah [<] .
out,FALSE,FALSE,MOT: did you tell her ?
out,FALSE,FALSE,INV1: did I tell you ?
out,FALSE,FALSE,CHI: no .
out,FALSE,FALSE,INV1: didn't .
out,FALSE,FALSE,MOT: how did you know ?
out,FALSE,FALSE,MOT: (be)cause [>] you know you love to write ?
out,FALSE,FALSE,CHI: she [<] +/.
out,FALSE,FALSE,MOT: is that why ?
out,FALSE,FALSE,INV1: how's this a pink [>] marker for your pink shirt and your mom's pink shirt ?
out,FALSE,FALSE,MOT: pink [?] [<] .
out,FALSE,FALSE,INV1: that <okay with you> [>] ?
out,FALSE,FALSE,MOT: <sounds good> [<] .
out,FALSE,FALSE,MOT: you want that Chi ?
out,FALSE,FALSE,INV1: or do you want a pencil ?
out,FALSE,FALSE,INV1: pencil ?
out,FALSE,FALSE,INV1: fine .
out,FALSE,FALSE,INV1: I'm just looking .
out,FALSE,FALSE,INV1: I couldn't find my pencil so <I was (.) reaching for a> [>] +//.
out,FALSE,FALSE,MOT: <is that like the book (.) that we got> [<] ?
out,FALSE,FALSE,MOT: is that like this ?
out,FALSE,FALSE,CHI: no .
out,FALSE,FALSE,CHI: I don't know .
out,FALSE,FALSE,MOT: yeah it is !
out,FALSE,FALSE,CHI: xxx .
out,FALSE,FALSE,INV1: <it's just like it> [>] .
out,FALSE,FALSE,MOT: <xxx like that> [<] .
out,FALSE,FALSE,INV1: where did you get that stuff ?
out,FALSE,FALSE,INV1: I needta get some more .
out,FALSE,FALSE,MOT: where did I get this ?
in,TRUE,FALSE,MOT: &-um believe it or not I got this at a dollar store .
out,FALSE,FALSE,CHI: yes [!] yes [>] .
in,FALSE,TRUE,MOT: <I paid> [<] a dollar for it .
out,FALSE,FALSE,INV1: oh really ?
out,FALSE,FALSE,MOT: <yes down on &-um> [>] .
out,FALSE,FALSE,CHI: <oh my God oh my> [<] gosh one more page .
out,FALSE,FALSE,INV1: I know you <get to have the last page> [>] .
out,FALSE,FALSE,MOT: <you guys know where route one is> [<] ?
out,FALSE,FALSE,CHI: yeah [?] .
out,FALSE,FALSE,INV1: xxx okay .
out,FALSE,FALSE,MOT: www .
