in/out/ambiguous,start,end,Transcript
out,FALSE,FALSE,INV1: oh well this one's pretty exciting .
out,FALSE,FALSE,INV1: this is (.) a letter (.) writing xxx [>] .
out,FALSE,FALSE,CHI: yeah [<] !
out,FALSE,FALSE,CHI: what do I [!] hafta write ?
out,FALSE,FALSE,INV1: well +...
out,FALSE,FALSE,"INV1: +, what you're gonna do (.) is write a letter to whomever you want ."
out,FALSE,FALSE,INV1: anybody in the whole wide world .
out,FALSE,FALSE,INV1: &-um (.) and your mom can help you (.) write it .
out,FALSE,FALSE,INV1: or whatever help you need [>] .
out,FALSE,FALSE,CHI: I have [<] to go to xxx .
out,FALSE,FALSE,INV1: okay [>] .
out,FALSE,FALSE,MOT: okay [<] .
out,FALSE,FALSE,INV1: &-um (.) here's a piece of paper .
out,FALSE,FALSE,INV1: <do you wanna> [/] (.) do you wanna use the letter chart ?
out,FALSE,FALSE,CHI: (.) no .
out,FALSE,FALSE,INV1: (.) what would you like to write with ?
out,FALSE,FALSE,INV1: (.) <pencil or pen> [>] ?
out,FALSE,FALSE,MOT: <well you can't> [<] write with me !
out,FALSE,FALSE,INV2: (.) you want a pencil or a pen ?
out,FALSE,FALSE,MOT: www [=! loud intake of breath] xxx .
out,FALSE,FALSE,CHI: oh .
out,FALSE,FALSE,MOT: &=laughs .
in,TRUE,FALSE,SIS: Mom (.) Dusty [>] [= dog] got hit +...
out,FALSE,FALSE,CHI: pencil [<] .
in,FALSE,TRUE,SIS: by a car [>] .
out,FALSE,FALSE,INV1: (o)kay [<] .
out,FALSE,FALSE,MOT: (..) okay (.) <go sit> [>] .
out,FALSE,FALSE,SIS: xxx [<] .
out,FALSE,FALSE,SIS: I wanna watch .
out,FALSE,FALSE,MOT: okay .
out,FALSE,FALSE,MOT: so xxx <gonna write a letter> [>] ?
out,FALSE,FALSE,CHI: <I'm gonna write a letter> [<] to you .
out,FALSE,FALSE,MOT: okay (.) write it .
out,FALSE,FALSE,CHI: okay .
out,FALSE,FALSE,INV1: (.) mhm .
out,FALSE,FALSE,MOT: jittergoofball@f .
out,FALSE,FALSE,CHI: I'm gonna write them all in capital letters .
out,FALSE,FALSE,MOT: oh I [//] that's not how you write a letter .
out,FALSE,FALSE,CHI: I don't care .
out,FALSE,FALSE,MOT: no (.) you do it right .
in,TRUE,FALSE,MOT: (..) it's funny the way you have a pencil with an eraser huh ?
in,FALSE,TRUE,MOT: can't find one around here .
out,FALSE,FALSE,INV1: hm: .
out,FALSE,FALSE,MOT: &=chuckles .
out,FALSE,FALSE,CHI: (.) hey don't look this is for you .
out,FALSE,FALSE,MOT: oh (.) okay (.) <I'm sorry> [>] .
out,FALSE,FALSE,INV1: hm: [<] .
out,FALSE,FALSE,MOT: (.) www .
out,FALSE,FALSE,SIS: www .
out,FALSE,FALSE,MOT: www .
out,FALSE,FALSE,MOT: (.) &=sneezes .
out,FALSE,FALSE,CHI: God <bless you> [>] !
out,FALSE,FALSE,INV1: <bless you> [<] .
out,FALSE,FALSE,MOT: &=sneezes .
out,FALSE,FALSE,INV1: <bless you again> [>] .
out,FALSE,FALSE,MOT: xxx [<] .
out,FALSE,FALSE,MOT: thank you .
out,FALSE,FALSE,CHI: (.) Mama ?
out,FALSE,FALSE,MOT: what ?
out,FALSE,FALSE,CHI: come here .
out,FALSE,FALSE,MOT: huh ?
out,FALSE,FALSE,CHI: how do you spell because@q ?
out,FALSE,FALSE,MOT: beca@k [>] .
out,FALSE,FALSE,CHI: becca@k .
out,FALSE,FALSE,CHI: e@l [>] (.) oops .
out,FALSE,FALSE,MOT: e@l [<] a@l .
in,TRUE,FALSE,CHI: I know you [//] you'll think I'm xxx .
in,FALSE,FALSE,CHI: I write sloppy &=chuckles .
in,FALSE,FALSE,MOT: <yes (.) you do> [>] .
out,FALSE,FALSE,INV1: hm: &=laughs [<] .
in,FALSE,TRUE,MOT: you write like you father &=chuckles .
out,FALSE,FALSE,SIS: <where's Sis> [>] ?
out,FALSE,FALSE,MOT: a@l [!] [<] .
out,FALSE,FALSE,CHI: a@l .
out,FALSE,FALSE,MOT: u@l .
out,FALSE,FALSE,MOT: www .
out,FALSE,FALSE,CHI: a@l (.) u@l .
out,FALSE,FALSE,CHI: I did u@l .
out,FALSE,FALSE,MOT: s@l e@l .
out,FALSE,FALSE,CHI: (.) how do you spell special@q ?
out,FALSE,FALSE,MOT: s@l p@l +...
out,FALSE,FALSE,MOT: is it e@l ?
out,FALSE,FALSE,MOT: it's +//.
out,FALSE,FALSE,MOT: I don't know (.) I forgot &=chuckles .
out,FALSE,FALSE,MOT: s@l p@l e@l a@l (.) c@l i@l l@l .
out,FALSE,FALSE,MOT: right special xxx &=laughs .
out,FALSE,FALSE,MOT: gotta whip out the dictionary sometimes !
out,FALSE,FALSE,INV1: hm: &=laughs .
out,FALSE,FALSE,MOT: www .
out,FALSE,FALSE,SIS: www .
in,TRUE,FALSE,MOT: (.) Jesus Christ you think he (.) doesn't know what he's doing next store .
in,FALSE,FALSE,MOT: he's been working on that door for like three hours &=chuckles +...
in,FALSE,TRUE,"MOT: +, and he still hasn't fixed it ."
out,FALSE,FALSE,SIS: www .
out,FALSE,FALSE,SIS2: www .
out,FALSE,FALSE,MOT: www [>] .
out,FALSE,FALSE,CHI: <see my five sentences> [<] !
out,FALSE,FALSE,MOT: I love Mom because she is special .
out,FALSE,FALSE,MOT: oh isn't that nice .
out,FALSE,FALSE,MOT: what are you looking for ?
out,FALSE,FALSE,MOT: huh [>] ?
out,FALSE,FALSE,INV1: &=laughs [<] .
