in/out/ambiguous,start,end,Transcript
out,FALSE,FALSE,INV1: okay do you know [//] remember <what &~thi> [/] what this one's called ?
out,FALSE,FALSE,@Comment: Time is 0:24
out,FALSE,FALSE,"@Comment: Chi and Mot take the option of telling the story rather than reading it; also , much of the interaction is between Bro and Mot without Chi; at first Chi keeps protesting that he can't read; later he provides some of the story by responding to the pictures; the task is very short"
out,FALSE,FALSE,MOT: (..) what's this Chi ?
out,FALSE,FALSE,INV1: do you wanna try ?
out,FALSE,FALSE,BRO: hole [?] .
in,TRUE,TRUE,MOT: in the [>] light of the moon a little egg lay on a leaf .
out,FALSE,FALSE,CHI: what [?] [<] .
out,FALSE,FALSE,MOT: what's this sposta be ?
out,FALSE,FALSE,INV1: <do you wanna try> [/] do you wanna try <looking [?] at it Chi> [>] ?
in,TRUE,FALSE,CHI: <it's a hole [?]> [<] .
out,FALSE,FALSE,INV1: or do you &~w +//.
out,FALSE,FALSE,BRO: hole [?] .
out,FALSE,FALSE,INV1: here why don't you try it .
out,FALSE,FALSE,INV1: or <if you can't> [//] if you don't wanna read it you can just tell your mom the story .
out,FALSE,FALSE,INV1: because I think you might be familiar with it .
in,FALSE,TRUE,CHI: that's a hole [?] .
out,FALSE,FALSE,MOT: tell me xxx .
in,TRUE,FALSE,MOT: <tell me> [//] read me the story .
in,FALSE,FALSE,CHI: I can't read .
out,FALSE,FALSE,INV1: that's okay just tell the story .
out,FALSE,FALSE,CHI: right there .
in,FALSE,FALSE,MOT: Chi read the story .
in,FALSE,TRUE,CHI: I can't read .
out,FALSE,FALSE,INV2: have Chi make up the story .
out,FALSE,FALSE,INV2: Chi xxx .
in ,TRUE,FALSE,MOT: make up a story Chi .
out,FALSE,FALSE,INV1: just tell the story that the pictures tell .
out,FALSE,FALSE,CHI: no .
in,FALSE,TRUE,CHI: I can't do the story .
in,TRUE,FALSE,BRO: he ate [!] them .
out,FALSE,FALSE,MOT: ate what ?
in,FALSE,FALSE,BRO: those apples .
in,FALSE,FALSE,BRO: he ate those .
out,FALSE,FALSE,MOT: and <what else> [>] ?
in,FALSE,FALSE,BRO: <he ate those> [<] .
out,FALSE,FALSE,MOT: what else did he eat ?
in,FALSE,TRUE,BRO: eat the egg one .
out,FALSE,FALSE,MOT: and what else ?
in,TRUE,FALSE,CHI: I don't know .
in,FALSE,TRUE,CHI: I can't read it .
out,FALSE,FALSE,INV1: that's okay .
out,FALSE,FALSE,CHI: can't read .
in,TRUE,FALSE,MOT: <he ate> [>] the pear and the apples .
out,FALSE,FALSE,INV2: <you wanna &~jus> [<] +/.
out,FALSE,FALSE,BRO: see ?
in,FALSE,FALSE,BRO: see those thing .
in,FALSE,FALSE,BRO: +^ he ate those .
out,FALSE,FALSE,MOT: those strawberries .
in,FALSE,TRUE,BRO: he ate them .
out,FALSE,FALSE,BRO: xxx .
in,TRUE,TRUE,BRO: oh there's another one .
out,FALSE,FALSE,CHI: strawberries .
in,TRUE,FALSE,CHI: he ate through the strawberries .
in,FALSE,FALSE,CHI: he ate through a oranges .
in,FALSE,TRUE,MOT: all the oranges .
out,FALSE,FALSE,INV1: good .
out,FALSE,FALSE,MOT: what else did he eat ?
out,FALSE,FALSE,MOT: +^ what's the xxx ?
in,TRUE,FALSE,BRO: I got <the cake> [>] .
out,FALSE,FALSE,CHI: oh [<] icecream [>] .
in,FALSE,FALSE,BRO: <that's a cake> [<] .
in,FALSE,TRUE,BRO: this is a icecream cone .
out,FALSE,FALSE,MOT: yeah .
in,TRUE,TRUE,CHI: ate the leaf [!] .
out,FALSE,FALSE,MOT: what happened to him ?
in,TRUE,FALSE,CHI: he went into the cocoon and [?] turned into a butterfly .
out,FALSE,FALSE,MOT: hm: .
in,FALSE,TRUE,BRO: <he turned into> [/] he turned into those things .
in,TRUE,FALSE,BRO: look_it hey this one's bigger .
in,FALSE,TRUE,BRO: those things are bigger .
out,FALSE,FALSE,MOT: mhm .
out,FALSE,FALSE,INV1: wow [>] .
out,FALSE,FALSE,BRO: xxx [<] .
out,FALSE,FALSE,INV1: there you go .
out,FALSE,FALSE,CHI: where is he ?
out,FALSE,FALSE,INV1: where do you think he went ?
in,TRUE,FALSE,CHI: this is him ?
in,FALSE,TRUE,MOT: he turned into a butterfly .
out,FALSE,FALSE,INV1: you're telling the story .
out,FALSE,FALSE,BRO: I don't know .
in,TRUE,TRUE,BRO: he's gone .
out,FALSE,FALSE,INV1: okay .
in,TRUE,TRUE,BRO: hey I read [= present tense] it .
out,FALSE,FALSE,INV1: oh it's really .
out,FALSE,FALSE,BRO: my turn .
