in/out/ambiguous,start,end,Transcript
out,FALSE,FALSE,CHI: now what do I write ?
out,FALSE,FALSE,INV1: it's up to you .
out,FALSE,FALSE,INV1: anything you want .
out,FALSE,FALSE,CHI: okay .
out,FALSE,FALSE,CHI: (.) <how do you expect> [//] do I write my name on it ?
out,FALSE,FALSE,MOT: well why don't you use the way you wrote letters ?
in,TRUE,FALSE,MOT: at school today .
in,FALSE,FALSE,MOT: didn't you say you wrote a letter to (.) who was it the mayor ?
in,FALSE,FALSE,CHI: no that was yesterday [!] .
out,FALSE,FALSE,MOT: oh .
in,FALSE,FALSE,CHI: before yesterday ?
out,FALSE,FALSE,CHI: okay let's see .
in,FALSE,TRUE,MOT: he was out here for most of the time .
in,TRUE,FALSE,MOT: he just xxx this time [>] .
in,FALSE,FALSE,CHI: <all we did was write> [<] +...
in,FALSE,FALSE,CHI: <like &-um> [/] like Chi@q .
in,FALSE,FALSE,CHI: then we wrote twenty one Address .
in,FALSE,FALSE,CHI: <then &-um> [/] then (.) Address .
in,FALSE,FALSE,CHI: ma@k [= Massachusetts] .
in,FALSE,FALSE,CHI: and a comma ma@k .
in,FALSE,FALSE,CHI: then [//] and a zip code .
in,FALSE,TRUE,CHI: that's all we did .
out,FALSE,FALSE,MOT: well (.) that's not a whole letter though .
out,FALSE,FALSE,MOT: <why don't> [//] you said you could do what you want .
out,FALSE,FALSE,MOT: you get to decide (.) what you wanna do .
out,FALSE,FALSE,CHI: the flashlight is dead .
out,FALSE,FALSE,CHI: &=laughs .
out,FALSE,FALSE,MOT: why don't you write a letter to Terminator ?
out,FALSE,FALSE,MOT: +^ he's your favorite guy huh [>] ?
out,FALSE,FALSE,CHI: okay [<] .
out,FALSE,FALSE,CHI: let's see .
out,FALSE,FALSE,MOT: and don't be silly .
out,FALSE,FALSE,CHI: <I willn't> [>] .
out,FALSE,FALSE,MOT: <alright> [<] ?
out,FALSE,FALSE,CHI: okay .
out,FALSE,FALSE,CHI: how do you spell Arnold Schwarzenegger ?
out,FALSE,FALSE,MOT: <oh jeez don't ask me> [>] !
out,FALSE,FALSE,INV1: &=laughs [<] .
out,FALSE,FALSE,MOT: <I don't know> [=! laughing] [>] !
out,FALSE,FALSE,CHI: &=laughs [<] .
out,FALSE,FALSE,CHI: (be)cause I was gonna write dear Arnold Schwarzenegger would you send me a giant Terminator robot .
out,FALSE,FALSE,CHI: what ?
out,FALSE,FALSE,MOT: Chi (.) I don't know how to spell Arnold +//.
out,FALSE,FALSE,MOT: oh <I can> [/] I can handle <the first part> [=! laughing] [>] .
out,FALSE,FALSE,INV1: <you can abbreviate it> [=! laughing] [<] .
out,FALSE,FALSE,CHI: &=laughs .
out,FALSE,FALSE,INV2: you can just say dear Arnold .
out,FALSE,FALSE,MOT: dear Arnold that's a good one !
out,FALSE,FALSE,CHI: what ?
out,FALSE,FALSE,CHI: what &=laughs +...
out,FALSE,FALSE,CHI: what &=laughs ?
out,FALSE,FALSE,MOT: I don't think any of us know how to spell Schwarzenegger@q .
out,FALSE,FALSE,CHI: &=laughs .
out,FALSE,FALSE,CHI: well sw@k .
out,FALSE,FALSE,CHI: or +...
out,FALSE,FALSE,CHI: I [/] <I don't know how to spell his name> [=! laughing] .
out,FALSE,FALSE,CHI: wait o@l (.) r@l .
in,TRUE,FALSE,MOT: <xxx write [=? right]> [//] I don't think he spells it the way it sounds .
in,FALSE,TRUE,MOT: actually I never really paid enough <attention to his last name> [=! laughing] .
out,FALSE,FALSE,MOT: <why don't> [/] why don't you address it to dear Mr Shriver .
out,FALSE,FALSE,CHI: who's he ?
out,FALSE,FALSE,MOT: &=laughs .
out,FALSE,FALSE,INV1: &=laughs .
out,FALSE,FALSE,CHI: who's he ?
in,TRUE,TRUE,MOT: well he's married to somebody named <Maria Shriver> [=! laughing] .
out,FALSE,FALSE,CHI: &=laughs .
out,FALSE,FALSE,CHI: how_about +...
out,FALSE,FALSE,CHI: to a professor ?
out,FALSE,FALSE,MOT: why don't you just write what you want okay ?
out,FALSE,FALSE,CHI: dear Terminator I want a real &~Terbi (.) Terminator giant robot .
out,FALSE,FALSE,MOT: whatever you want .
out,FALSE,FALSE,CHI: okay .
out,FALSE,FALSE,CHI: (.) how do you spell Terminator@q ?
out,FALSE,FALSE,MOT: sound it out .
out,FALSE,FALSE,CHI: &~g .
out,FALSE,FALSE,CHI: &-uh (.) I never looked xxx .
out,FALSE,FALSE,MOT: okay you had term@q on your spelling words a while ago remember ?
out,FALSE,FALSE,CHI: yup .
out,FALSE,FALSE,MOT: term .
out,FALSE,FALSE,CHI: okay .
out,FALSE,FALSE,MOT: in .
out,FALSE,FALSE,CHI: wait .
out,FALSE,FALSE,MOT: (..) oh you're writing dear@q .
out,FALSE,FALSE,CHI: huh ?
out,FALSE,FALSE,MOT: dear [!] Terminator huh [>] ?
out,FALSE,FALSE,CHI: what [<] ?
out,FALSE,FALSE,MOT: close personal friends ?
out,FALSE,FALSE,CHI: yeah &=laughs .
out,FALSE,FALSE,CHI: (.) best friends .
out,FALSE,FALSE,CHI: ter@u .
out,FALSE,FALSE,CHI: t@l ?
out,FALSE,FALSE,CHI: right ?
out,FALSE,FALSE,CHI: e@l (.) r@l .
out,FALSE,FALSE,CHI: (..) &~term !
out,FALSE,FALSE,MOT: (.) what's the next word in that ?
out,FALSE,FALSE,MOT: &~term what [>] ?
out,FALSE,FALSE,INV2: xxx [<] .
out,FALSE,FALSE,CHI: wait I have my Terminator Card !
out,FALSE,FALSE,MOT: oh no that's cheating !
out,FALSE,FALSE,CHI: xxx .
out,FALSE,FALSE,MOT: you can spell it !
out,FALSE,FALSE,MOT: +^ it's easy to spell &~Termin .
out,FALSE,FALSE,MOT: <they're all> [//] you can <break it down> [>] into lit(tle) +/.
out,FALSE,FALSE,CHI: xxx [<] e@l (.) n@l .
out,FALSE,FALSE,MOT: in ?
out,FALSE,FALSE,MOT: is that how you spell [>] like in the house ?
out,FALSE,FALSE,CHI: r@l [<] [?] .
out,FALSE,FALSE,CHI: r@l r@l .
out,FALSE,FALSE,MOT: xxx not spelling it right .
out,FALSE,FALSE,MOT: you got the spelling word .
out,FALSE,FALSE,CHI: <&-um that I> [/] that I need .
out,FALSE,FALSE,CHI: I xxx spelling word [>] &=laughs .
out,FALSE,FALSE,MOT: xxx [<] .
out,FALSE,FALSE,MOT: xxx it .
out,FALSE,FALSE,MOT: yes [//] okay .
out,FALSE,FALSE,MOT: in .
out,FALSE,FALSE,MOT: like I'm gonna go in [!] (.) the house .
out,FALSE,FALSE,CHI: I hope <you're right> [=! laughing] .
out,FALSE,FALSE,MOT: I don't think this is a pass or fail paper Chi &=laughs .
out,FALSE,FALSE,CHI: what ?
out,FALSE,FALSE,CHI: are you gonna mail this <to the Terminator> [>] ?
out,FALSE,FALSE,MOT: ay [<] .
out,FALSE,FALSE,MOT: I think they're gonna take it .
out,FALSE,FALSE,MOT: <sound it (.) &~br> [//] see you're breakin(g) it into separate words .
out,FALSE,FALSE,MOT: +^ term in a .
out,FALSE,FALSE,MOT: what's the last sound in it ?
out,FALSE,FALSE,CHI: t@l .
out,FALSE,FALSE,CHI: o@l (.) r@l .
out,FALSE,FALSE,MOT: there you go .
out,FALSE,FALSE,CHI: terminator@q ?
out,FALSE,FALSE,CHI: or terminater@q ?
out,FALSE,FALSE,MOT: I xxx .
out,FALSE,FALSE,MOT: I think it's (.) o@l (.) r@l .
out,FALSE,FALSE,MOT: isn't it ?
out,FALSE,FALSE,MOT: <this is so awful> [=! laughing] .
out,FALSE,FALSE,CHI: <o@l (.) r@l> [>] ?
out,FALSE,FALSE,MOT: <we watched> [<] the movie too [?] .
out,FALSE,FALSE,MOT: +^ I paid no attention whatsoever .
out,FALSE,FALSE,CHI: o@l (.) r@l ?
out,FALSE,FALSE,MOT: at least xxx .
out,FALSE,FALSE,MOT: I think that's the correct way .
out,FALSE,FALSE,CHI: I &=giggles .
out,FALSE,FALSE,CHI: I want &=giggles .
out,FALSE,FALSE,MOT: oh Chi .
out,FALSE,FALSE,CHI: what ?
out,FALSE,FALSE,MOT: please .
out,FALSE,FALSE,CHI: what ?
out,FALSE,FALSE,MOT: <when you> [/] when you write a (.) iy@q meaning me@q .
out,FALSE,FALSE,CHI: what [>] ?
out,FALSE,FALSE,MOT: <what kind> [<] of letter do you use ?
out,FALSE,FALSE,MOT: <when you put an> [>] iy@q meaning +/.
out,FALSE,FALSE,CHI: <capital iy@q> [<] .
out,FALSE,FALSE,MOT: thank you .
out,FALSE,FALSE,MOT: (.) you know they might photocopy this and give a copy to <Miss Steed> [= Chi's teacher] .
out,FALSE,FALSE,MOT: +^ then what would you do &=laughs ?
out,FALSE,FALSE,CHI: &=growls .
out,FALSE,FALSE,MOT: no .
out,FALSE,FALSE,MOT: +^ they're not gonna do it .
out,FALSE,FALSE,INV2: +^ no [>] .
out,FALSE,FALSE,MOT: <I'm teasing you> [<] .
out,FALSE,FALSE,INV1: if you wanted to we can <&-uh (.) photocopy and> [>] bring [/] bring the original back to you .
out,FALSE,FALSE,CHI: <uhuh (.) uhuh> [<] .
out,FALSE,FALSE,INV1: that's up to you .
out,FALSE,FALSE,CHI: I'd like &-um the orizinal [: original] .
out,FALSE,FALSE,MOT: the orizinal [: original] ?
out,FALSE,FALSE,INV1: &=laughs .
out,FALSE,FALSE,CHI: and I wanna send [/] send it to Terminator .
out,FALSE,FALSE,MOT: okay .
out,FALSE,FALSE,CHI: well whatever you call him .
out,FALSE,FALSE,MOT: mm (.) Mr Shriver .
out,FALSE,FALSE,INV1: &=laughs .
out,FALSE,FALSE,CHI: what's that ?
out,FALSE,FALSE,MOT: Arnold .
out,FALSE,FALSE,BRO: www .
out,FALSE,FALSE,CHI: <Mr Shriver> [=! laughing] .
out,FALSE,FALSE,CHI: oop &=giggles .
out,FALSE,FALSE,CHI: (..) want@q .
out,FALSE,FALSE,CHI: want .
out,FALSE,FALSE,CHI: (.) a@q +...
out,FALSE,FALSE,CHI: (..) <real@q> [?] .
out,FALSE,FALSE,CHI: how do you spell real@q ?
out,FALSE,FALSE,MOT: that was on your <spelling list> [>] .
out,FALSE,FALSE,CHI: <oh wait> [<] that www &=laughs .
out,FALSE,FALSE,MOT: &=laughs .
out,FALSE,FALSE,CHI: I know .
out,FALSE,FALSE,CHI: I just (.) really xxx .
out,FALSE,FALSE,MOT: that's a fishing reel .
out,FALSE,FALSE,CHI: what ?
out,FALSE,FALSE,CHI: oh &=laughs .
out,FALSE,FALSE,MOT: Chi I think they want you to speed it up here okay ?
out,FALSE,FALSE,INV1: &=laughs .
out,FALSE,FALSE,CHI: xxx &=laughs .
out,FALSE,FALSE,FAT: Chi !
out,FALSE,FALSE,FAT: quit jabbing there and go ahead !
out,FALSE,FALSE,CHI: okay now alls [: all] that I do is (.) to spell Terminator@q .
out,FALSE,FALSE,CHI: which is easy .
out,FALSE,FALSE,MOT: (..) how many of the original kids are they still following ?
out,FALSE,FALSE,CHI: okay there we go .
out,FALSE,FALSE,INV1: that's it ?
out,FALSE,FALSE,CHI: yup .
out,FALSE,FALSE,INV1: &=laughs .
out,FALSE,FALSE,CHI: xxx ?
out,FALSE,FALSE,CHI: what ?
