in/out/ambiguous,start,end,Transcript
out,FALSE,FALSE,MOT: okay now Aaron [>] .
out,FALSE,FALSE,CHI: <xxx down at> [<] +/.
out,FALSE,FALSE,CHI: down at the Cape [= Cape Cod Massachusetts] .
out,FALSE,FALSE,MOT: okay .
out,FALSE,FALSE,MOT: <how do you want> [>] to start it ?
out,FALSE,FALSE,CHI: <we don't> [//] we are not gonna start [=? stop] that way .
out,FALSE,FALSE,CHI: +^ we're gonna start it this way .
out,FALSE,FALSE,MOT: well (.) you want me to write a &~let +/.
out,FALSE,FALSE,MOT: go [/] go away you .
out,FALSE,FALSE,BRO: no [>] !
out,FALSE,FALSE,CHI: <you write> [<] it .
out,FALSE,FALSE,MOT: no you're gonna write it .
out,FALSE,FALSE,MOT: I'll tell you how to write +/.
out,FALSE,FALSE,MOT: no no no xxx I'll tell you .
out,FALSE,FALSE,MOT: write dear@q .
out,FALSE,FALSE,MOT: d@l .
out,FALSE,FALSE,CHI: I'm writing it up here .
out,FALSE,FALSE,MOT: no you write it this way .
out,FALSE,FALSE,MOT: it's easier .
out,FALSE,FALSE,MOT: right across this way .
out,FALSE,FALSE,MOT: +^ oh I don't care .
out,FALSE,FALSE,CHI: I can't write <that way> [>] .
out,FALSE,FALSE,MOT: <d@l it hasta> [<] +/.
out,FALSE,FALSE,MOT: d@l .
out,FALSE,FALSE,MOT: d@l [>] !
out,FALSE,FALSE,CHI: <did you> [<] write it (.) right there ?
out,FALSE,FALSE,MOT: no I didn't write anything .
out,FALSE,FALSE,MOT: +^ go ahead .
out,FALSE,FALSE,MOT: d@l .
out,FALSE,FALSE,CHI: d@l [>] .
out,FALSE,FALSE,MOT: xxx [<] .
out,FALSE,FALSE,BRO: www .
out,FALSE,FALSE,MOT: e@l .
out,FALSE,FALSE,CHI: e@l .
out,FALSE,FALSE,CHI: (.) e@l .
out,FALSE,FALSE,MOT: www .
out,FALSE,FALSE,BRO: I wanna xxx .
out,FALSE,FALSE,MOT: a@l .
out,FALSE,FALSE,CHI: a@l .
out,FALSE,FALSE,MOT: r@l .
out,FALSE,FALSE,CHI: r@l .
out,FALSE,FALSE,MOT: okay right next_to it (.) what do you wanna write Aaron@q ?
out,FALSE,FALSE,CHI: yeah .
out,FALSE,FALSE,MOT: a@l .
out,FALSE,FALSE,CHI: a@l .
out,FALSE,FALSE,MOT: you don't need a period .
out,FALSE,FALSE,MOT: +^ xxx a@l .
out,FALSE,FALSE,CHI: mhm .
out,FALSE,FALSE,MOT: a@l .
out,FALSE,FALSE,CHI: a@l .
out,FALSE,FALSE,MOT: r@l .
out,FALSE,FALSE,CHI: r@l .
out,FALSE,FALSE,MOT: o@l .
out,FALSE,FALSE,CHI: o@l .
out,FALSE,FALSE,MOT: n@l .
out,FALSE,FALSE,CHI: n@l .
out,FALSE,FALSE,MOT: okay .
out,FALSE,FALSE,MOT: now you put a comma .
out,FALSE,FALSE,MOT: like this .
