in/out/ambiguous,start,end,Transcript
out,FALSE,FALSE,MOT: my.
out,FALSE,FALSE,CHI: my .
out,FALSE,FALSE,INV: book reading activity .
out,FALSE,FALSE,MOT: (.) sister@q .
out,FALSE,FALSE,CHI: sister .
out,FALSE,FALSE,SIS: Christa@q .
out,FALSE,FALSE,CHI: (.) Christa .
out,FALSE,FALSE,CHI: (.) oh no .
out,FALSE,FALSE,MOT: &=laughs .
out,FALSE,FALSE,MOT: (..) in@q .
out,FALSE,FALSE,CHI: in (.) the (.) &~sl (.) little ?
out,FALSE,FALSE,MOT: light .
out,FALSE,FALSE,CHI: light .
out,FALSE,FALSE,MOT: (..) www &=laughs of the .
out,FALSE,FALSE,CHI: of the .
out,FALSE,FALSE,SIS: moon .
out,FALSE,FALSE,SIS: moon .
out,FALSE,FALSE,CHI: moon .
out,FALSE,FALSE,CHI: a .
in,TRUE,FALSE,SIS: what did you say for this one ?
in,FALSE,TRUE,CHI: not the same word [=? one] ?
out,FALSE,FALSE,MOT: little .
out,FALSE,FALSE,CHI: little .
out,FALSE,FALSE,CHI: (.) egg@q ?
out,FALSE,FALSE,CHI: &~l .
out,FALSE,FALSE,MOT: lay .
in,TRUE,FALSE,CHI: lay on a +...
out,FALSE,FALSE,MOT: ++ (.) leaf@q .
in,FALSE,FALSE,CHI: leaf .
out,FALSE,FALSE,CHI: whoa .
in,FALSE,FALSE,SIS: one .
out,FALSE,FALSE,SIS: one .
in,FALSE,FALSE,CHI: one .
out,FALSE,FALSE,MOT: Sunday@q .
in,FALSE,FALSE,CHI: Sunday .
in,FALSE,FALSE,SIS: morning .
in,FALSE,TRUE,CHI: morning the@q .
out,FALSE,FALSE,SIS: (.) warm@q .
out,FALSE,FALSE,CHI: worm ?
in,TRUE,FALSE,CHI: that's not a worm .
in,FALSE,FALSE,SIS: yes it is .
in,FALSE,TRUE,MOT: that's what the word is .
out,FALSE,FALSE,SIS: warm .
out,FALSE,FALSE,MOT: the warm .
out,FALSE,FALSE,SIS: warm .
in,TRUE,FALSE,MOT: the warm sun came .
in,FALSE,FALSE,CHI: the warm sun came .
in,FALSE,FALSE,SIS: up .
out,FALSE,FALSE,SIS: up .
out,FALSE,FALSE,CHI: up [>] .
out,FALSE,FALSE,MOT: &=laughs [<] .
in,FALSE,FALSE,MOT: and .
out,FALSE,FALSE,CHI: and .
out,FALSE,FALSE,CHI: &~p .
in,FALSE,FALSE,SIS: popped .
out,FALSE,FALSE,CHI: poop .
out,FALSE,FALSE,MOT: pop .
out,FALSE,FALSE,CHI: pop .
out,FALSE,FALSE,CHI: (.) &~ou .
out,FALSE,FALSE,MOT: out .
in,FALSE,FALSE,CHI: out (.) of (.) the +...
in,FALSE,FALSE,SIS: ++ egg@q .
out,FALSE,FALSE,CHI: egg ?
out,FALSE,FALSE,MOT: egg .
out,FALSE,FALSE,SIS: egg !
out,FALSE,FALSE,CHI: egg .
out,FALSE,FALSE,CHI: &-uh &-uh &-uh &-uh &-uh .
out,FALSE,FALSE,CHI: look [?] .
out,FALSE,FALSE,CHI: come a +/.
in,FALSE,FALSE,MOT: came [>] .
out,FALSE,FALSE,SIS: came [<] .
out,FALSE,FALSE,CHI: came a@q .
out,FALSE,FALSE,SIS: +^ tiny@q .
in,FALSE,FALSE,SIS: tiny .
out,FALSE,FALSE,SIS: tiny [>] .
in,FALSE,TRUE,CHI: diamond [<] [?] ?
out,FALSE,FALSE,MOT: &=laughs .
out,FALSE,FALSE,SIS: tiny !
out,FALSE,FALSE,CHI: tiny .
out,FALSE,FALSE,SIS: and .
out,FALSE,FALSE,CHI: +^ and .
out,FALSE,FALSE,SIS: very .
out,FALSE,FALSE,CHI: very .
in,TRUE,FALSE,SIS: I don't know that word either &=laughs .
in,FALSE,FALSE,MOT: I don't know why you don't .
in,FALSE,FALSE,MOT: you three are always are www &=laughs .
in,FALSE,TRUE,MOT: hungry .
out,FALSE,FALSE,CHI: hungry callipillar@c [: caterpillar] .
out,FALSE,FALSE,CHI: oh no !
in,TRUE,FALSE,SIS: oh I like doin(g) [?] these .
in,FALSE,TRUE,CHI: well I'm [!] doin(g) .
in,FALSE,FALSE,CHI: he .
out,FALSE,FALSE,SIS: (.) keep saying <scared@q> [>] .
in,TRUE,FALSE,MOT: started [<] .
in,FALSE,FALSE,CHI: started (.) to (.) look (.) for .
in,FALSE,FALSE,SIS: some .
out,FALSE,FALSE,SIS: some .
in,FALSE,FALSE,CHI: some (.) food@q .
out,FALSE,FALSE,CHI: oh no .
out,FALSE,FALSE,MOT: &=laughs .
in,FALSE,FALSE,SIS: on .
out,FALSE,FALSE,CHI: on .
in,FALSE,FALSE,SIS: Monday@q .
out,FALSE,FALSE,SIS: Monday@q .
out,FALSE,FALSE,CHI: Monday he@q .
in,FALSE,FALSE,SIS: +^ ate@q .
out,FALSE,FALSE,CHI: ate .
out,FALSE,FALSE,MOT: (..) through@q .
out,FALSE,FALSE,SIS: through .
out,FALSE,FALSE,CHI: through .
in,FALSE,FALSE,SIS: one apple .
out,FALSE,FALSE,MOT: one .
out,FALSE,FALSE,CHI: one [>] .
out,FALSE,FALSE,SIS: apple [<] .
out,FALSE,FALSE,SIS: apple .
out,FALSE,FALSE,CHI: apple .
out,FALSE,FALSE,MOT: but .
out,FALSE,FALSE,SIS: but [>] .
out,FALSE,FALSE,CHI: but [<] .
in,FALSE,FALSE,SIS: he .
out,FALSE,FALSE,CHI: he .
in,FALSE,FALSE,MOT: was .
out,FALSE,FALSE,CHI: was .
in,FALSE,FALSE,MOT: (.) still@q .
