in/out/ambiguous,start,end,Transcript
out,FALSE,FALSE,NAN: remember I can't see this so you hafta tell me all about this picture .
in,TRUE,FALSE,CHI: and <they was baking> [*] a cake .
out,FALSE,FALSE,NAN: mhm .
in,FALSE,FALSE,CHI: and put the eggs in and stir it up .
in,FALSE,FALSE,CHI: and mix it and put it in the stove .
in,FALSE,FALSE,CHI: then they got the cake and they put it in (.) went in the oven .
out,FALSE,FALSE,NAN: mhm .
in,FALSE,FALSE,CHI: and it came out and it was a cake .
out,FALSE,FALSE,NAN: good job !
out,FALSE,FALSE,NAN: do the same thing with this picture [^c] .
out,FALSE,FALSE,NAN: tell me all about it [^c] .
in,FALSE,TRUE,CHI: it <0is> [*] at the playground [^c] .
out,FALSE,FALSE,NAN: mhm [^c] .
in,TRUE,FALSE,CHI: and the kids are playing [^c] .
out,FALSE,FALSE,NAN: mhm [^c] .
in,FALSE,FALSE,CHI: and a kid slides down <(.)> [>] the slidingboard [^c] .
out,FALSE,FALSE,NAN: mhm [>] [^c] .
out,FALSE,FALSE,NAN: mhm [^c] .
in,FALSE,TRUE,CHI: and the girl is on the horse going back and forth [^c] .
out,FALSE,FALSE,NAN: mhm [^c] .
in,TRUE,FALSE,CHI: and the girl is going up [^c] .
in,FALSE,TRUE,CHI: and the girl is swinging [^c] .
in,TRUE,FALSE,CHI: and the boy is pushing her [^c] .
out,FALSE,FALSE,NAN: mhm [^c] .
in,FALSE,FALSE,CHI: and she's going back and forth [^c] .
out,FALSE,FALSE,NAN: mhm [^c] .
in,FALSE,FALSE,CHI: and [/] and [^c] +...
in,FALSE,TRUE,CHI: and the girl is going down the slidingboard [^c] .
out,FALSE,FALSE,NAN: mhm [^c] .
out,FALSE,FALSE,CHI: and that's it [^c] .
out,FALSE,FALSE,NAN: and that's it [^c] .
out,FALSE,FALSE,NAN: Cal what's this ?
out,FALSE,FALSE,CHI: a bag .
out,FALSE,FALSE,NAN: and what do you think came in here ?
out,FALSE,FALSE,CHI: Mcnuggets .
out,FALSE,FALSE,NAN: you are really good at this game .
out,FALSE,FALSE,NAN: what came in there ?
out,FALSE,FALSE,CHI: coffee .
out,FALSE,FALSE,NAN: mhm .
out,FALSE,FALSE,CHI: a knife .
out,FALSE,FALSE,CHI: french_fries .
out,FALSE,FALSE,CHI: french_fries .
out,FALSE,FALSE,CHI: cheeseburger .
out,FALSE,FALSE,NAN: did you read that word ?
out,FALSE,FALSE,CHI: 0 . [+ trn]
out,FALSE,FALSE,NAN: it looked like you were reading that word .
out,FALSE,FALSE,NAN: did you recognize that word ?
out,FALSE,FALSE,CHI: 0 . [+ trn]
out,FALSE,FALSE,NAN: I think you might have .
out,FALSE,FALSE,CHI: spoon .
out,FALSE,FALSE,CHI: fork .
out,FALSE,FALSE,NAN: do you know what came inside of here ?
out,FALSE,FALSE,NAN: a straw .
out,FALSE,FALSE,CHI: straw . [+ i]
out,FALSE,FALSE,NAN: a straw .
out,FALSE,FALSE,NAN: do you know what came in there ?
out,FALSE,FALSE,CHI: apple .
out,FALSE,FALSE,NAN: an apple what ?
out,FALSE,FALSE,NAN: an apple pie ?
out,FALSE,FALSE,CHI: uhhuh .
out,FALSE,FALSE,NAN: do you wanna help me put everything back in here Cal ?
out,FALSE,FALSE,CHI: uhhuh .
out,FALSE,FALSE,NAN: okay .
out,FALSE,FALSE,NAN: what should you put away first ?
out,FALSE,FALSE,CHI: 0 . [+ r]
out,FALSE,FALSE,NAN: oh you're putting away the Mcnuggets away first .
out,FALSE,FALSE,CHI: 0 . [+ trn]
out,FALSE,FALSE,NAN: no ?
out,FALSE,FALSE,NAN: what was that ?
out,FALSE,FALSE,CHI: coffee .
out,FALSE,FALSE,NAN: oh now you're putting away the Mcnuggets .
out,FALSE,FALSE,NAN: oh bye Mcnuggets .
out,FALSE,FALSE,CHI: 0 . [+ trn]
out,FALSE,FALSE,NAN: oh that wasn't the Mcnuggets either ?
out,FALSE,FALSE,NAN: what was it ?
out,FALSE,FALSE,CHI: hamburger .
out,FALSE,FALSE,NAN: a hamburger (.) you're right !
out,FALSE,FALSE,NAN: now you're putting away the Mcnuggets .
out,FALSE,FALSE,NAN: was I right ?
out,FALSE,FALSE,CHI: uhhuh .
out,FALSE,FALSE,NAN: oh good .
out,FALSE,FALSE,NAN: oh I got some coffee again .
out,FALSE,FALSE,CHI: french_fries .
out,FALSE,FALSE,NAN: more french_fries .
out,FALSE,FALSE,CHI: a straw .
out,FALSE,FALSE,NAN: should I +/.
out,FALSE,FALSE,NAN: a straw .
out,FALSE,FALSE,CHI: apple pie .
out,FALSE,FALSE,NAN: good job .
out,FALSE,FALSE,CHI: knife .
out,FALSE,FALSE,NAN: mhm .
out,FALSE,FALSE,CHI: spoon .
out,FALSE,FALSE,CHI: a fork .
out,FALSE,FALSE,CHI: paper bag .
out,FALSE,FALSE,NAN: terrific job .
out,FALSE,FALSE,NAN: okay (.) Cal (.) this is what we hafta do next .
out,FALSE,FALSE,NAN: I want you to tell me what happens when you go to McDonalds from the first thing you hafta to do to the next thing you hafta do to the next thing you hafta do until you're all done at McDonalds .
in,TRUE,FALSE,CHI: you get your food .
out,FALSE,FALSE,NAN: good job .
in,FALSE,FALSE,CHI: eat it .
out,FALSE,FALSE,NAN: mhm .
in,FALSE,TRUE,CHI: throw it away .
in,TRUE,FALSE,CHI: go home .
out,FALSE,FALSE,NAN: you did it !
out,FALSE,FALSE,NAN: what do you think this is ?
out,FALSE,FALSE,NAN: it's for your hair .
out,FALSE,FALSE,CHI: shampoo .
out,FALSE,FALSE,NAN: you got it .
out,FALSE,FALSE,CHI: toothbrush .
out,FALSE,FALSE,CHI: another toothbrush .
out,FALSE,FALSE,NAN: this isn't a toothbrush .
out,FALSE,FALSE,NAN: it kind of looks like it .
out,FALSE,FALSE,CHI: toothpaste .
out,FALSE,FALSE,NAN: that's right .
out,FALSE,FALSE,CHI: towel .
out,FALSE,FALSE,CHI: baby powder .
out,FALSE,FALSE,NAN: that's right .
out,FALSE,FALSE,NAN: so what room in my house do you think I might find these things in ?
out,FALSE,FALSE,CHI: bathroom .
out,FALSE,FALSE,NAN: what room ?
out,FALSE,FALSE,CHI: bathtub .
out,FALSE,FALSE,NAN: so these might be things you use to take a shower or a bath ?
out,FALSE,FALSE,CHI: mhm .
out,FALSE,FALSE,NAN: good job .
out,FALSE,FALSE,NAN: you wanna put them back in here for me ?
out,FALSE,FALSE,CHI: uhhuh .
out,FALSE,FALSE,CHI: toothbrush .
out,FALSE,FALSE,NAN: mhm .
out,FALSE,FALSE,CHI: tooth [/] toothpaste .
out,FALSE,FALSE,NAN: mhm .
out,FALSE,FALSE,CHI: baby powder .
out,FALSE,FALSE,NAN: mhm .
out,FALSE,FALSE,CHI: shampoo and a towel .
out,FALSE,FALSE,NAN: good job .
out,FALSE,FALSE,NAN: okay (.) Cal (.) this is like our last game .
out,FALSE,FALSE,NAN: I want you to tell me what happens when you go to take a shower or a bath the first thing then the next thing and the next thing until you're all done .
in,FALSE,TRUE,CHI: first you take your clothes off .
out,FALSE,FALSE,NAN: mhm .
in,TRUE,FALSE,CHI: and then take a shower .
out,FALSE,FALSE,NAN: how do you do that ?
in,FALSE,FALSE,CHI: put the water in .
out,FALSE,FALSE,NAN: oh that's good .
out,FALSE,FALSE,NAN: and then what do you hafta do ?
in,FALSE,FALSE,CHI: &~mm wash yourself off .
out,FALSE,FALSE,NAN: mhm .
in,FALSE,FALSE,CHI: let the water run out .
out,FALSE,FALSE,NAN: good job .
in,FALSE,FALSE,CHI: then get your towel .
out,FALSE,FALSE,NAN: uhhuh .
in,FALSE,FALSE,CHI: then dry yourself .
out,FALSE,FALSE,NAN: uhhuh .
in,FALSE,FALSE,CHI: then put on your pajamas .
out,FALSE,FALSE,NAN: uhhuh .
in,FALSE,FALSE,CHI: then go to bed .
