in/out/ambiguous,start,end,Transcript
in,TRUE,FALSE,INV: there the glue works .
out,FALSE,FALSE,INV: fantastic .
in,FALSE,FALSE,INV: &=laughs sometimes it doesn't work .
in,FALSE,FALSE,INV: it gets all stuck .
in,FALSE,TRUE,CHI: before my dad hadta cut the top off because I was going &-um &-um +//.
in,TRUE,FALSE,CHI: and then my [//] I told my dad and he cut the top off and when I like that it got right there .
out,FALSE,FALSE,INV: oh and it got right there ?
out,FALSE,FALSE,INV: &=laughs uhhuh ?
in,FALSE,TRUE,"CHI: and I said +""/."
in,TRUE,FALSE,"CHI: +"" mom where's the [/] the washcloth and +/?"
out,FALSE,FALSE,INV: some washcloth ?
out,FALSE,FALSE,INV: uhhuh ?
in,FALSE,TRUE,"CHI: and then she said +""/."
in,TRUE,FALSE,"CHI: +"" what is on your face ?"
in,FALSE,TRUE,"CHI: and I said +""/."
in,TRUE,FALSE,"CHI: +"" glue ."
out,FALSE,FALSE,CHI: &=giggles .
out,FALSE,FALSE,INV: &=laughs .
in,FALSE,TRUE,CHI: and my mommy started cracking up .
out,FALSE,FALSE,INV: have you ever done anything like that ?
in,TRUE,FALSE,CHI: one time when I was sick I was drinking milk .
in,FALSE,FALSE,CHI: and &-um I was drinking it [/] it so fast it went down my shirt .
out,FALSE,FALSE,INV: it went down your shirt ?
in,FALSE,FALSE,CHI: yeah the whole thing .
out,FALSE,FALSE,INV: the whole thing ?
out,FALSE,FALSE,INV: (.) uhhuh ?
in,FALSE,FALSE,CHI: I was thirsty .
out,FALSE,FALSE,INV: you were thirsty ?
out,FALSE,FALSE,INV: &=laughs .
in,FALSE,TRUE,CHI: I had ice in it .
in,TRUE,FALSE,CHI: oh Mo:m .
in,FALSE,TRUE,CHI: our friend you_know ?
out,FALSE,FALSE,INV: uhhuh ?
in,TRUE,FALSE,CHI: our [//] we were &~go going up to &-uh our friend's house .
out,FALSE,FALSE,INV: uhhuh ?
in,FALSE,TRUE,CHI: Sunday and &-um <she was> [//] she &-uh the [//] &~g &-um had a brace on her foot but she could walk though .
in,TRUE,FALSE,CHI: and &-um we made her something that +//.
in,FALSE,FALSE,CHI: &-um we got <like a pic> [//] like a <piece of> [//] little piece of paper and then we put &-um like a nurse and a bunny .
in,FALSE,FALSE,CHI: like drawed [: drew] [* m:=ed] a bunny .
out,FALSE,FALSE,INV: like a nurse and a bunny ?
in,FALSE,FALSE,CHI: yeah and we put like a egg in there .
out,FALSE,FALSE,INV: uhhuh ?
out,FALSE,FALSE,INV: uhhuh ?
in,FALSE,FALSE,"CHI: and it was made out_of candy , the Easter egg ."
out,FALSE,FALSE,"INV: it was made out_of candy , the Easter egg ?"
out,FALSE,FALSE,CHI: yeah .
in,FALSE,FALSE,"CHI: and the [//] we colored the top of it real pretty and then we put in back +""/."
in,FALSE,TRUE,"CHI: +"" we [/] &~ea we hope you get better soon ."
in,TRUE,FALSE,CHI: uhhuh (.) my friend Jody went too .
in,FALSE,TRUE,"CHI: I was sick before and she came in you_know and &-um she made me draw the picture , the bunny on it though ."
out,FALSE,FALSE,INV: uhhuh ?
in,TRUE,FALSE,"CHI: and then &-um she colored on it and then <she said> [//] it said +""/."
in,FALSE,TRUE,"CHI: +"" I hope you get better soon ."
out,FALSE,FALSE,INV: oh .
in,TRUE,FALSE,CHI: Lorna said it was &~fro from Jody to Lorna .
out,FALSE,FALSE,INV: have you ever been down south ?
in,FALSE,TRUE,CHI: no I been up to our cottage .
out,FALSE,FALSE,INV: oh tell me about it .
in,TRUE,FALSE,"CHI: <we caught a> [//] before we got cats , <two cats> [//] no [//] five catfishes and perch and one perch and [/] and a other baby catfish ."
in,FALSE,TRUE,CHI: before when we went up there my dad caught a little fish like that .
out,FALSE,FALSE,INV: a little fish like that ?
out,FALSE,FALSE,CHI: yeah .
out,FALSE,FALSE,INV: uhhuh ?
in,TRUE,FALSE,CHI: &=giggles when Rick caught a big fish like that .
out,FALSE,FALSE,INV: uhhuh ?
in,FALSE,FALSE,"CHI: and Billy , my brother , he was washing it off ."
in,FALSE,TRUE,"CHI: then it went plop@o right back in the air and I said +""/."
in,TRUE,FALSE,"CHI: +"" don't Billy ."
in,FALSE,TRUE,CHI: he was with a small little boxer and he dropped in the water .
in,TRUE,FALSE,CHI: but we found a net and we dropped it we [//] to [//] way far down there and we got it back .
in,FALSE,TRUE,CHI: before you_know <we was &~go going> [/] we was going to go to school you_know .
in,TRUE,FALSE,CHI: then &-um the bus was right out in front .
out,FALSE,FALSE,INV: the bus was right out in front ?
out,FALSE,FALSE,INV: uhhuh ?
in,FALSE,TRUE,"CHI: +, of our house and we wasn't [* m:a] even dressed and <we said> [//] I said +""/."
in,TRUE,FALSE,"CHI: +"" oh Mom there's the bus !"
in,FALSE,TRUE,CHI: and I [//] we got every [//] any kind of clothes on .
in,TRUE,FALSE,CHI: I got a top [//] red top on .
in,FALSE,FALSE,CHI: I have one like that .
in,FALSE,FALSE,CHI: my mom had one of them and I wore my mom's clothes to school .
out,FALSE,FALSE,INV: you wore your mom's top to school ?
out,FALSE,FALSE,CHI: uhhuh .
in,FALSE,TRUE,CHI: and &-um I forgot my money then huh .
in,TRUE,FALSE,CHI: I forgot (..) my library book .
out,FALSE,FALSE,CHI: &=giggles and +...
out,FALSE,FALSE,INV: you forgot your library book and your money ?
out,FALSE,FALSE,INV: uhhuh ?
in,FALSE,TRUE,CHI: Billy missed the bus .
in,TRUE,FALSE,CHI: today I missed the bus .
out,FALSE,FALSE,INV: you missed the bus ?
out,FALSE,FALSE,INV: oh tell me about it .
out,FALSE,FALSE,INV: what happened ?
in,FALSE,TRUE,CHI: my mom drove me to school .
in,TRUE,FALSE,"CHI: and we was going to bring my dog, but my mom said +""/."
in,FALSE,FALSE,"CHI: +"" well she'll mess all over the place in the car ."
out,FALSE,FALSE,INV: she'll mess all over the place in your car ?
out,FALSE,FALSE,CHI: yeah .
out,FALSE,FALSE,CHI: xxx .
out,FALSE,FALSE,CHI: yeah .
in,FALSE,TRUE,CHI: my grandma and me went Florida .
out,FALSE,FALSE,INV: oh tell me about it .
in,TRUE,FALSE,"CHI: see , &-um my grandma and my &-um grandpa were going to Florida ."
in,FALSE,TRUE,"CHI: and she said if we send pictures of them and she said +""/."
in,TRUE,FALSE,"CHI: +"" I don't care ."
in,FALSE,TRUE,CHI: because they had a truck like in the back of +//.
in,TRUE,FALSE,CHI: we could sleep in it [//] those .
out,FALSE,FALSE,INV: uhhuh ?
out,FALSE,FALSE,INV: you could sleep in the back ?
out,FALSE,FALSE,CHI: yeah .
in,FALSE,TRUE,CHI: my dad didn't get to go because he hadta work .
out,FALSE,FALSE,INV: he hadta work ?
out,FALSE,FALSE,CHI: yeah .
out,FALSE,FALSE,INV: uhhuh ?
in,TRUE,FALSE,CHI: and me and Billy and my mom gotta go .
in,FALSE,FALSE,"CHI: you know how we was [* m:a] walking out , all of us , <when we got back from Florida> [//] when we was in Florida ohhhhhmm@i ."
out,FALSE,FALSE,INV: you were walking like that ?
in,FALSE,FALSE,CHI: yeah because we got so bad of a suntan .
out,FALSE,FALSE,"INV: you got so brown , so suntanned ?"
out,FALSE,FALSE,CHI: uhhuh .
out,FALSE,FALSE,INV: I bet you mean sunburned too huh ?
out,FALSE,FALSE,CHI: uhhuh .
out,FALSE,FALSE,INV: uhhuh ?
in,FALSE,TRUE,"CHI: &-um I kept on wanting change pillows and my mom +""/."
in,TRUE,FALSE,"CHI: +"" I want that pillow here , here ."
out,FALSE,FALSE,INV: you want that pillow here ?
in,FALSE,FALSE,"CHI: +"" I want that pillow Billy &=giggles ."
in,FALSE,TRUE,"CHI: and I kept on changing and changing and changing, until I [/] &~w I didn't want no pillows ."
out,FALSE,FALSE,"INV: so you didn't want any pillows , no pillows ?"
out,FALSE,FALSE,CHI: nope .
out,FALSE,FALSE,INV: uhhuh ?
in,TRUE,FALSE,CHI: and [/] (.) and so next morning we hadta go back &~huh and you know what ?
out,FALSE,FALSE,INV: what ?
in,FALSE,TRUE,CHI: my brother [/] brother got seasick in the &~t truck .
out,FALSE,FALSE,INV: he got seasick in the truck ?
in,TRUE,FALSE,CHI: yeah and he was in by the door .
in,FALSE,TRUE,"CHI: <my dad said> [/] my grandpa said +""/."
in,TRUE,FALSE,"CHI: +"" roll down the window !"
in,FALSE,TRUE,"CHI: +"" here Billy , stick your head out the window ."
in,TRUE,FALSE,CHI: now we have a mess to clean up out <on the wood> [/] on the wood truck .
out,FALSE,FALSE,INV: some on the what ?
in,FALSE,FALSE,CHI: truck .
out,FALSE,FALSE,INV: uhhuh ?
in,FALSE,TRUE,CHI: &~huh some was on the [/] &-um the road .
out,FALSE,FALSE,INV: some was on the road ?
out,FALSE,FALSE,INV: uhhuh ?
out,FALSE,FALSE,CHI: yeah .
out,FALSE,FALSE,INV: uhhuh ?
out,FALSE,FALSE,INV: some was on the road huh ?
in,TRUE,FALSE,CHI: so this year my cousin and my grandma went to Florida .
in,FALSE,TRUE,CHI: they couldn't tell us apart .
in,TRUE,FALSE,CHI: two guys walked up to me and Billy and one said they know my dad .
out,FALSE,FALSE,INV: oh .
out,FALSE,FALSE,CHI: you know what ?
in,FALSE,TRUE,CHI: &-um you had a picture like of a bridge .
out,FALSE,FALSE,INV: had a picture of a bridge ?
in,TRUE,FALSE,CHI: yeah and they said they went under the bridge .
in,FALSE,TRUE,CHI: &=giggles and they went over top of the bridge .
out,FALSE,FALSE,INV: have you ever been in a car wreck ?
in,TRUE,FALSE,CHI: no but we saw a_lot_of them .
out,FALSE,FALSE,INV: oh tell me about one of them .
in,FALSE,TRUE,"CHI: one time &-uh my aunt , she was &~dr driving ."
in,TRUE,FALSE,CHI: and &-um <she was> [//] &-uh <she had> [/] &-uh she had a kid and she was looking back at him .
in,FALSE,FALSE,CHI: and then <she wasn't> [//] she was [//] had one hand out like this and she was looking back at him .
in,FALSE,TRUE,CHI: and she [//] <then a> [//] then she hit a bump and her hand went through it and it went right up by the rail .
out,FALSE,FALSE,INV: it went right up by the rail ?
out,FALSE,FALSE,INV: uhhuh ?
in,TRUE,FALSE,CHI: then &-um she was alright but &-um she broke her leg .
in,FALSE,FALSE,CHI: her kids was [* m:a] alright .
in,FALSE,FALSE,CHI: just that they had a few marks on their faces .
out,FALSE,FALSE,INV: they had a few marks on their faces ?
out,FALSE,FALSE,INV: uhhuh ?
in,FALSE,TRUE,CHI: we got a picture of them when they was [* m:a] [//] were sick .
in,TRUE,FALSE,CHI: yeah (.) then my uncle Steve came down and with two presents and &-um we thought it was for &-um my mom and dad because it was their anniversary .
out,FALSE,FALSE,INV: uhhuh ?
out,FALSE,FALSE,CHI: what do you call it by Christmas ?
out,FALSE,FALSE,INV: yeah ?
in,FALSE,FALSE,"CHI: and &-um we said +""/."
in,FALSE,FALSE,"CHI: +"" who's the presents for ?"
in,FALSE,TRUE,"CHI: says +""/."
in,TRUE,FALSE,"CHI: +"" for you guys ."
in,FALSE,TRUE,CHI: and then we opened it and I got like a little teddy bear .
in,TRUE,FALSE,CHI: flowers right here round his tummy .
out,FALSE,FALSE,INV: flowers round his tummy ?
in,FALSE,TRUE,CHI: I still have it .
out,FALSE,FALSE,INV: you still have it ?
in,TRUE,FALSE,"CHI: yeah we [//] Billy got a [//] &-uh one of them Race_To_The_Flag those little cap and we [//] my dad said +""/."
in,FALSE,TRUE,"CHI: +"" all three of you xxx ."
out,FALSE,FALSE,INV: he said what ?
in,TRUE,FALSE,"CHI: +"" all three of you get up in like a line ."
out,FALSE,FALSE,INV: get up in like a line ?
in,FALSE,TRUE,CHI: yeah I was right here and Billy was here and my Steve was here and you know what ?
out,FALSE,FALSE,INV: what ?
in,TRUE,FALSE,CHI: you couldn't even see my face .
in,FALSE,TRUE,CHI: I was holding it like this .
in,TRUE,FALSE,CHI: &=giggles (.) couldn't even see it .
out,FALSE,FALSE,INV: have you ever seen any other car wrecks that you can remember ?
in,FALSE,TRUE,CHI: mm: I saw the one .
in,TRUE,FALSE,CHI: a policeman &~w &-um <was rid> [//] was rot going too fast you_know ?
out,FALSE,FALSE,INV: a policeman was going too fast ?
in,FALSE,FALSE,CHI: yeah and <his hand> [//] he was &~ster steering it but &-um his hand was [//] slipped off his steering wheel and it wrecked and he died .
in,FALSE,TRUE,"CHI: <my &~a aunt> [//] my uncle , he was in a car wreck ."
in,TRUE,FALSE,CHI: and he [/] he didn't die but he broke his leg and scratched and &~huh (.) his arm was in the cast like .
out,FALSE,FALSE,INV: have you ever had a birthday party ?
out,FALSE,FALSE,CHI: uhhuh .
out,FALSE,FALSE,INV: you have ?
in,FALSE,TRUE,"CHI: this was before my brother was [//] had a birthday party , you_know ?"
out,FALSE,FALSE,INV: uhhuh ?
in,TRUE,FALSE,CHI: and I was sitting right next to him .
in,FALSE,FALSE,CHI: he was going to go huh@i and I went whewww@i heh .
out,FALSE,FALSE,INV: he was going to go hooh@i and you went whew@i ?
in,FALSE,TRUE,CHI: I did .
out,FALSE,FALSE,INV: you did ?
out,FALSE,FALSE,INV: uhhuh ?
in,TRUE,FALSE,CHI: yeah just went that and he was closing his eyes and went whewwwww@i .
in,FALSE,TRUE,CHI: and before my mom was &~ge getting &-um married when [//] and &-um my dad he made the cake .
out,FALSE,FALSE,INV: he made a cake ?
in,TRUE,FALSE,CHI: yeah and my mom tasted it .
out,FALSE,FALSE,"CHI: +"" oh what is this ?"
out,FALSE,FALSE,CHI: &=giggles .
out,FALSE,FALSE,INV: have you ever ripped anything ?
in,FALSE,TRUE,CHI: no but when I was going to sit down <on our friend's> [//] on our &-um &-um couch .
out,FALSE,FALSE,INV: uhhuh ?
in,TRUE,FALSE,"CHI: you_know &~wh when I sit down the back of it, it ripped all ."
out,FALSE,FALSE,INV: it ripped all ?
in,FALSE,TRUE,CHI: yeah because it was too tight down at the bottom of my &=giggles +...
in,TRUE,FALSE,"CHI: my cousin , he sat down on his bed and his bed fell apart ."
in,FALSE,TRUE,CHI: &=giggles (.) because we didn't get it [/] it tight enough .
in,TRUE,FALSE,CHI: before I had tonsilitis and then I caught &-um a little bit .
in,FALSE,TRUE,CHI: and my dad &~og took our dog to the vet and you know what <the doc> [//] the vet said ?
out,FALSE,FALSE,INV: what ?
in,TRUE,FALSE,CHI: the dog had tonsilitis &=giggles .
out,FALSE,FALSE,INV: the dog had tonsilitis huh ?
in,FALSE,FALSE,CHI: yeah but no one heard of that (.) but the vet said it .
in,FALSE,TRUE,CHI: &=laughs my dog hadta get a shoot .
in,TRUE,FALSE,CHI: I left because Billy hadta get the shot when I had the measles .
out,FALSE,FALSE,CHI: &=laughs (.) xxx .
out,FALSE,FALSE,INV: oh really ?
out,FALSE,FALSE,CHI: yeah .
out,FALSE,FALSE,CHI: you know what ?
out,FALSE,FALSE,INV: what ?
in,FALSE,FALSE,CHI: he didn't wanna have the shot so he [/] he put his feet on the pillow case and he put his head by down sideways like .
out,FALSE,FALSE,INV: down sideways ?
out,FALSE,FALSE,INV: uhhuh ?
out,FALSE,FALSE,CHI: yeah .
in,FALSE,FALSE,"CHI: &=laughs and he said +""/."
in,FALSE,FALSE,"CHI: +"" Billy you don't go so good ."
in,FALSE,TRUE,"CHI: +"" Da:d turn around ."
in,TRUE,FALSE,"CHI: <and he said> [//] and she said +""/."
in,FALSE,FALSE,"CHI: +"" no I like it this way ."
out,FALSE,FALSE,"INV: he said +""/."
out,FALSE,FALSE,"INV: +"" no I like it this way ?"
out,FALSE,FALSE,INV: do you fight with your brother that way ?
out,FALSE,FALSE,CHI: unhunh .
out,FALSE,FALSE,INV: no ?
in,FALSE,FALSE,CHI: we're not allowed to fight .
in,FALSE,TRUE,CHI: I lay down on the floor you_know ?
out,FALSE,FALSE,INV: you laid down on the floor ?
in,TRUE,FALSE,CHI: and watch tv .
out,FALSE,FALSE,INV: uhhuh ?
in,FALSE,TRUE,CHI: Billy comes along and jumps on my back .
out,FALSE,FALSE,INV: jumps on your back ?
out,FALSE,FALSE,CHI: uhhuh .
out,FALSE,FALSE,INV: uhhuh ?
in,TRUE,FALSE,"CHI: then he &-um says +""/."
in,FALSE,TRUE,"CHI: +"" Billy [//] Lorna I wanna play !"
in,TRUE,FALSE,"CHI: and I says [* m:+es] +""/."
in,FALSE,FALSE,"CHI: +"" no I wanna watch tv !"
out,FALSE,FALSE,INV: uhhuh ?
in,FALSE,FALSE,CHI: because I love Gilligan's_Island .
out,FALSE,FALSE,INV: you love Gilligan's_Island ?
out,FALSE,FALSE,CHI: yeah .
out,FALSE,FALSE,INV: uhhuh ?
out,FALSE,FALSE,INV: and +..?
in,FALSE,TRUE,CHI: and the boy was watching it .
in,TRUE,FALSE,CHI: the girl and I couldn't hardly keep my eyes open .
in,FALSE,TRUE,CHI: Billy turned it on .
in,TRUE,FALSE,"CHI: +"" hey Lorna !"
in,FALSE,TRUE,CHI: jumped right on my stomach .
out,FALSE,FALSE,INV: have you ever been to the doctor's office ?
out,FALSE,FALSE,INV: you have ?
out,FALSE,FALSE,INV: oh tell me about it .
in,TRUE,FALSE,CHI: uhhuh (.) see I hadta go to the doctor's office for tonsilitis .
out,FALSE,FALSE,INV: oh tell me about it .
in,FALSE,FALSE,CHI: and then &-um I was sick there <and I> [/] &-um and I sat .
in,FALSE,FALSE,CHI: I was waiting .
out,FALSE,FALSE,INV: you were waiting ?
in,FALSE,FALSE,CHI: yeah and then this doc +//.
in,FALSE,FALSE,CHI: I saw Doctor_Lastname with the shot .
out,FALSE,FALSE,INV: and you saw Doctor_Lastname with the shot ?
out,FALSE,FALSE,CHI: yeah .
in,FALSE,TRUE,"CHI: and I said +""/."
in,TRUE,FALSE,"CHI: +"" hey is that for me ?"
in,FALSE,TRUE,"CHI: &=giggles (.) but [//] and she said +""/."
in,TRUE,FALSE,"CHI: +"" no it's for that other little boy ."
in,FALSE,TRUE,CHI: I heard him screaming and screaming and screaming .
in,TRUE,FALSE,CHI: I saw him went [: go] [* m] out .
out,FALSE,FALSE,INV: you saw him what ?
in,FALSE,FALSE,CHI: I even saw them go out crying .
out,FALSE,FALSE,INV: you even saw them go out crying ?
in,FALSE,FALSE,CHI: crying .
out,FALSE,FALSE,INV: uhhuh ?
in,FALSE,TRUE,CHI: his mother was holding him .
in,TRUE,FALSE,CHI: he was laying down over her shoulder .
out,FALSE,FALSE,INV: have you ever been in a hospital ?
in,FALSE,TRUE,CHI: no yeah because I [/] I had kidneys you_know .
in,TRUE,FALSE,CHI: my side was sore .
in,FALSE,FALSE,CHI: I hadta go in the hospital and I hadta get cut open right there .
in,FALSE,FALSE,"CHI: when I [/] &-um I went in and said +""/."
in,FALSE,TRUE,"CHI: +"" Mom the [/] the [/] &-um the playroom is too open ."
in,TRUE,FALSE,"CHI: and my mom said +""/."
in,FALSE,TRUE,"CHI: +"" okay you can go down and look ."
in,TRUE,FALSE,CHI: then I go down and look .
in,FALSE,TRUE,"CHI: +"" hey Mom see ?"
in,TRUE,FALSE,"CHI: +"" I told you it's open ."
in,FALSE,TRUE,"CHI: goes +""/."
in,TRUE,FALSE,"CHI: +"" okay ."
in,FALSE,TRUE,"CHI: +"" come_on go on in ."
out,FALSE,FALSE,CHI: &=giggles .
in,TRUE,FALSE,CHI: because I'd been in there a long time ago .
in,FALSE,TRUE,"CHI: my brother he lived with Grandma and my mom went over to her and said +""/."
in,TRUE,FALSE,"CHI: +"" what's this for ?"
in,FALSE,TRUE,"CHI: she said +""/."
in,TRUE,FALSE,"CHI: +"" what do you wanna know like a little &-um bunny ?"
out,FALSE,FALSE,"INV: uhhuh, a little bunny ?"
in,FALSE,TRUE,CHI: <I stayed> [//] and I stayed there even past Easter a lo:n:g time ago .
in,TRUE,FALSE,CHI: not that &-um Easter .
out,FALSE,FALSE,INV: but a long time ago you stayed there past Easter ?
out,FALSE,FALSE,INV: uhhuh ?
out,FALSE,FALSE,CHI: uhhuh .
in,FALSE,TRUE,"CHI: and my mom said +""/."
in,TRUE,FALSE,"CHI: +"" &~he here Lorna ."
in,FALSE,FALSE,"CHI: +"" here's a bunny what Grandma gave you ."
in,FALSE,FALSE,"CHI: said +""/."
in,FALSE,FALSE,"CHI: +"" oh_boy I always wanted a pet ."
in,FALSE,FALSE,FALSE
