in/out/ambiguous,start,end,Transcript
out,FALSE,FALSE,NAN: I want you to tell me what happens when you go to McDonalds (.) the firs thing you hafta do and the next thing you hafta do and the next thing you hafta do (.) everything you hafta do until you're done at McDonalds .
in,TRUE,FALSE,CHI: at McDonalds (.) first I go to the bathroom (.) second I go the bathroom (.) third I go the bathroom (.) fourth I go to the bathroom (.) <fifth I go to the bathroom> [>] .
out,FALSE,FALSE,NAN: and then what happens ?
in,FALSE,FALSE,CHI: and then I sit down and eat .
in,FALSE,FALSE,CHI: I'm done in a second .
in,FALSE,FALSE,CHI: <so then I hafta > [//] so then I hafta go again .
in,FALSE,FALSE,CHI: then we leave or they leave without me .
out,FALSE,FALSE,NAN: what happens from the time you go [/] go in to the bathroom and wash your hands and stuff and you eat your food ?
out,FALSE,FALSE,NAN: how do you get your food ?
in,FALSE,FALSE,CHI: you get it up at the register .
out,FALSE,FALSE,CHI: why ?
out,FALSE,FALSE,CHI: have you ever been there ?
out,FALSE,FALSE,NAN: I want you to tell me about it though .
in,FALSE,FALSE,CHI: at our McDonalds <(.)> [>] they have these trays .
out,FALSE,FALSE,NAN: uhhuh [>] .
out,FALSE,FALSE,NAN: uhhuh .
in,FALSE,FALSE,CHI: <and then if you> [/] <if you don't use the trays> [//] some people don't use the trays .
in,FALSE,FALSE,CHI: some people dump their food on the floor and say they are done .
out,FALSE,FALSE,NAN: that (i)s not very good .
in,FALSE,FALSE,NAN: so there are trays .
in,FALSE,FALSE,NAN: so you said you go the register and they have trays .
out,FALSE,FALSE,NAN: and what else happens ?
out,FALSE,FALSE,NAN: how do you get your food ?
in,FALSE,FALSE,CHI: you order it .
in,FALSE,FALSE,NAN: oh you order it .
out,FALSE,FALSE,NAN: and then what happens ?
in,FALSE,FALSE,CHI: you like up there .
in,FALSE,FALSE,CHI: you see the food .
in,FALSE,FALSE,CHI: if you could read what the sentence says you could go like lalalalala@o .
out,FALSE,FALSE,NAN: uhhuh .
in,FALSE,FALSE,CHI: like what <the sentence say> [*] .
out,FALSE,FALSE,NAN: uhhuh .
in,FALSE,FALSE,CHI: you hafta pick the food you want .
in,FALSE,FALSE,CHI: you can have as much food as you want .
out,FALSE,FALSE,NAN: okay .
in,FALSE,TRUE,CHI: but you can't have more than seventeen food .
out,FALSE,FALSE,NAN: okay (.) here (i)s my part of the story (.) alright ?
in,TRUE,FALSE,NAN: once upon a time there was a jungle with all kinds of animals in it .
in,FALSE,FALSE,NAN: giraffes (.) and elephants (.) lions .
out,FALSE,FALSE,NAN: you know what happened one day ?
out,FALSE,FALSE,CHI: what ?
in,FALSE,FALSE,"NAN: one of the baby elephants came over and to the hippopotamus and said +""/."
in,FALSE,FALSE,"NAN: +"" mister hippopotamus you are big and you are green and you look just like a big green grape ."
out,FALSE,FALSE,NAN: oh_no (.) now what (i)s gonna happen ?
out,FALSE,FALSE,NAN: you finish the story .
in,FALSE,FALSE,CHI: then +...
in,FALSE,FALSE,NAN: he (i)s the hippopotamus .
out,FALSE,FALSE,NAN: you can give him a name .
in,FALSE,FALSE,CHI: scary .
in,FALSE,FALSE,"CHI: one day the little baby elephant went over to scary (.) said +""/."
in,FALSE,FALSE,"CHI: +"" you look like a big pig ."
in,FALSE,FALSE,"CHI: +"" I wanna fight with you ."
in,FALSE,FALSE,CHI: then they both started to fight .
in,FALSE,FALSE,CHI: and then the mother elephant came over .
in,FALSE,FALSE,"CHI: and then she said +""/."
in,FALSE,FALSE,"CHI: +"" what are you doing <to my> [/] to my little baby ."
in,FALSE,FALSE,"CHI: +"" I was giving him food ."
in,FALSE,FALSE,"CHI: +"" <no she> [//] <no he> [//] no scary wasn't ."
in,FALSE,FALSE,"CHI: +"" he was fighting with me ."
in,FALSE,FALSE,"CHI: +"" he hurt me ."
in,FALSE,FALSE,"CHI: +"" scary (.) stop it ."
in,FALSE,FALSE,CHI: and scary fell down .
in,FALSE,FALSE,CHI: let (u)s get that now .
out,FALSE,FALSE,CHI: can I take it home ?
out,FALSE,FALSE,NAN: okay (.) so scary fell down ?
in,FALSE,FALSE,CHI: and then the mother came home .
in,FALSE,FALSE,CHI: she slipped and fell on her back but her babies helped her up .
in,FALSE,FALSE,CHI: then the babies started sneaking around her .
out,FALSE,FALSE,CHI: your turn .
in,FALSE,FALSE,NAN: when along came a huge big dragon [>] .
in,FALSE,FALSE,CHI: dragon [<] .
in,FALSE,FALSE,NAN: and he landed in the middle of the pond in the middle of the jungle .
